sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.47	GCA_002889555	65	1	11268	0	100.0000	461	0	26.8139	42023	1	11852	28.2036027889489	100
rand.28	GCA_002889555	66	1	11268	0	100.0000	462	0	24.9469	45168	1	11834	26.1999645766915	100
rand.66	GCA_002889555	85	1	11268	0	100.0000	461	0	21.1932	53168	1	11845	22.2784381582907	100
rand.20	GCA_002889555	48	1	11268	0	100.0000	461	0	34.8822	32303	1	11830	36.6219855740953	100
rand.100	GCA_002889555	53	1	11268	0	100.0000	461	0	32.3561	34825	1	11841	34.0014357501795	100
rand.89	GCA_002889555	65	2	11268	2	100.0000	460	0	30.0860	38503	2	12277	31.8858270784095	100
rand.72	GCA_002889555	62	1	11268	0	100.0000	460	0	28.0543	40165	1	11873	29.5605626789493	100
rand.63	GCA_002889555	29	1	11268	0	100.0000	460	0	47.6408	23652	1	11890	50.2705902249281	100
rand.52	GCA_002889555	15	1	11268	0	100.0000	460	0	62.3437	18074	1	11931	66.0119508686511	100
rand.1	GCA_002889555	74	1	11268	0	100.0000	460	0	26.2572	42914	1	11901	27.732208603253	100
rand.82	GCA_002889555	47	1	11268	0	100.0000	460	0	36.7371	30672	1	11966	39.0127803860198	100
rand.56	GCA_000854045	58	1	11826	0	100.0000	495	17	32.3749	36485	1	11863	32.5147320816774	100
rand.57	GCA_002889555	81	1	11268	0	100.0000	462	0	23.1390	48697	1	11829	24.2910240877261	100
rand.86	GCA_002889555	50	1	11268	0	100.0000	460	0	33.4889	33647	1	11951	35.5187683894552	100
rand.74	GCA_002889555	75	1	11268	0	100.0000	460	0	24.7654	45499	1	11935	26.2313457438625	100
rand.8	GCA_002889555	51	1	11268	0	100.0000	460	0	34.0444	33098	1	11884	35.9054927790199	100
rand.76	GCA_002889555	93	1	11268	0	100.0000	462	0	20.6916	54457	1	11839	21.7400885102007	100
rand.79	GCA_000854045	59	1	11826	2	100.0000	495	17	29.1168	40997	1	11945	29.1362782642632	100
rand.40	GCA_000854045	48	1	11826	0	100.0000	495	17	34.5704	34168	1	11863	34.7196206977289	100
rand.50	GCA_002889555	48	1	11268	0	100.0000	460	0	34.6686	32502	1	11947	36.7577379853548	100
rand.3	GCA_002889555	51	1	11268	0	100.0000	459	0	35.1499	32057	1	11832	36.9092553888386	100
rand.81	GCA_002889555	70	1	11268	0	100.0000	460	0	26.9119	41870	1	11881	28.3759254836398	100
rand.44	GCA_002889555	63	1	11268	0	100.0000	461	0	27.1806	41456	1	11860	28.6086453106909	100
rand.34	GCA_002889555	36	1	11268	0	100.0000	460	0	42.3482	26608	1	11837	44.4866205652435	100
rand.6	GCA_002889555	58	1	11268	0	100.0000	459	0	30.7953	36590	1	11885	32.481552336704	100
rand.73	GCA_002889555	69	1	11268	0	100.0000	460	0	25.5406	44118	1	11820	26.7917856657147	100
rand.70	GCA_002889555	51	1	11268	0	100.0000	461	0	33.5277	33608	1	11846	35.247560104737	100
rand.17	GCA_002889555	37	1	11268	0	100.0000	460	0	41.8807	26905	1	11876	44.1404943319086	100
rand.35	GCA_002889555	74	1	11268	0	100.0000	460	0	24.4606	46066	1	11876	25.7804020318673	100
rand.49	GCA_002889555	78	1	11224	1	99.6095	461	0	23.3566	48055	1	11761	24.474040162314	100
rand.90	GCA_002889555	46	1	11268	0	100.0000	461	0	35.9036	31384	1	11841	37.729416263064	100
rand.84	GCA_002889555	30	1	11268	0	100.0000	460	0	47.7356	23605	1	11939	50.5782673162466	100
rand.2	GCA_002889555	51	1	11268	0	100.0000	461	0	32.3171	34867	1	11843	33.966214472137	100
rand.15	GCA_000854045	67	1	11826	0	100.0000	497	13	26.5877	44434	1	11843	26.6530134581627	100
rand.69	GCA_002889555	56	1	11268	0	100.0000	461	0	29.9617	37608	1	11910	31.6687938736439	100
rand.10	GCA_002889555	49	1	11268	0	100.0000	460	0	35.0351	32162	1	11881	36.9411106274485	100
rand.85	GCA_002889555	61	1	11268	0	100.0000	459	0	27.1767	41462	1	11833	28.5393854613863	100
rand.23	GCA_002889555	60	1	11268	0	100.0000	461	0	30.2562	37242	1	11834	31.7759518822834	100
rand.68	GCA_002889555	61	1	11268	0	100.0000	460	0	28.6041	39393	1	11900	30.2084126621481	100
rand.29	GCA_002889555	95	1	11268	0	100.0000	462	0	19.3180	58329	1	11866	20.3432254967512	100
rand.87	GCA_000854045	18	1	11826	2	100.0000	494	17	65.9073	18086	1	11940	66.0179144089351	100
