contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k71_3	270	0.392592592592593	2	6.55438485136994	0.304702210938326	0	0	0	Y	N
k71_5	499	0.416833667334669	2	1.89972768312218	0.240873015873016	27	0.381332295512535	0.0262879689502182	N	N
k71_0	270	0.322222222222222	1	3.4361010830325	0.2	0	0	0	Y	N
k71_19	687	0.368267831149927	3	12.4102067490823	0.329597370907577	0	0	0	Y	N
k71_4	260	0.403846153846154	1	0.857564575645756	0.2	2	0.0041996649999844	0.00246898754511115	N	N
k71_30	241	0.33195020746888	2	20.1803651987111	0.317894736842105	0	0	0	Y	N
k71_17	222	0.306306306306306	1	1.08434782608696	0.2	0	0	0	Y	N
k71_7	215	0.358139534883721	1	1.59732142857143	0.2	0	0	0	Y	N
k71_6	229	0.441048034934498	1	0.618803418803418	0.2	0	0	0	Y	N
k71_8	223	0.461883408071749	1	0.888510638297872	0.16936170212766	5	0.00947479799923048	0.00589168911119662	N	N
k71_15	318	0.336477987421384	2	6.01715886141066	0.288057767785695	0	0	0	Y	N
k71_12	230	0.417391304347826	1	1.31784232365145	0.2	16	0.392837122205526	0.0249948637986704	N	N
k71_28	249	0.385542168674699	2	0.732066201596776	0.217243279845047	0	0	0	Y	N
k71_13	224	0.174107142857143	1	1.24937238493724	0.2	22	0.179588542125782	0.0357884614228484	N	N
k71_2	274	0.372262773722628	3	16.4744780741185	0.460388572570173	0	0	0	Y	N
k71_29	247	0.421052631578947	2	26.0689375	0.2519125	0	0	0	Y	N
k71_21	328	0.375	3	4.36272102918629	0.342712501020658	0	0	0	Y	N
k71_10	469	0.364605543710021	1	1.51165644171779	0.2	0	0	0	Y	N
k71_22	233	0.369098712446352	2	1.29958877167888	0.223783300554264	0	0	0	Y	N
k71_24	298	0.479865771812081	2	0.954018833025055	0.334210526315789	0	0	0	N	N
k71_18	227	0.462555066079295	1	1.11054852320675	0.2	0	0	0	N	N
k71_16	423	0.399527186761229	3	11.4984019732883	0.450662810524252	0	0	0	Y	N
k71_11	246	0.40650406504065	3	3.0207171314741	0.423107569721116	0	0	0	Y	N
k71_25	337	0.347181008902077	4	33.3767869468134	0.396117977842202	0	0	0	Y	N
k71_9	215	0.362790697674419	1	1.59464285714286	0.2	0	0	0	N	N
k71_1	247	0.433198380566802	1	1.3992125984252	0.2	0	0	0	Y	N
k71_23	250	0.448	2	31.0889101687187	0.289411764705882	0	0	0	Y	N
k71_27	246	0.313008130081301	2	79.6494162697301	0.260997478285234	0	0	0	Y	N
k71_20	242	0.326446280991736	3	22.4851372838291	0.366530612244898	0	0	0	Y	N
k71_14	407	0.385749385749386	3	6.72667828106852	0.333736680085247	0	0	0	Y	N
k71_26	250	0.364	1	0.324324324324324	0.123552123552124	5	0.00529515380649596	0.00529515380649596	N	N
