sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.28	covid	27	2	24901	6	83.2726	10	0	74.3069	33651	2	25052	74.4465246203679	83.7775661700333
rand.96	covid	124	1	29861	4	99.8595	20	0	27.9113	107136	1	29942	27.9476553166069	100
rand.29	covid	3902	1	29836	6	99.7759	24	0	1.0133	2962634	1	30020	1.01328750024471	100
rand.27	covid	3082	1	29836	6	99.7759	16	0	1.3131	2289667	1	30066	1.31311671085795	100
rand.51	covid	125	1	29858	4	99.8495	18	0	24.5094	122186	1	29969	24.5273599266692	100
rand.97	covid	20	4	29771	12	99.5586	24	0	83.0609	36218	4	30210	83.4115633110608	100
rand.52	covid	26	1	29871	6	99.8930	14	6	74.8408	40196	1	30101	74.8855607523137	100
rand.80	covid	311	1	29827	4	99.7458	12	0	17.4293	171527	1	29896	17.4293259953244	99.9765459751232
rand.14	covid	3864	1	29796	2	99.6422	12	0	1.3632	2185700	1	29810	1.36386512330146	99.6890180561149
rand.65	covid	373	1	29843	4	99.7994	14	0	14.9303	200364	1	29915	14.9303268052145	100
rand.10	covid	94	1	29855	4	99.8395	18	0	44.8902	66705	1	29969	44.9276665917098	100
rand.48	covid	45	1	29836	6	99.7759	14	0	61.4859	48899	1	30066	61.4859199574633	100
rand.79	covid	177	1	29858	4	99.8495	18	0	19.0368	157295	1	29966	19.0508280619219	100
rand.95	covid	490	1	29849	4	99.8194	24	0	9.5828	312882	1	30022	9.59531069220984	100
rand.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.59	covid	10	1	29858	4	99.8495	18	0	85.9755	34832	1	29969	86.0387000459348	100
rand.15	covid	8	1	29836	6	99.7759	16	0	92.2185	32603	1	30066	92.2185074993099	100
rand.75	covid	67	1	29796	2	99.6422	12	0	40.0942	74315	1	29810	40.1130323622418	99.6890180561149
rand.21	covid	30	1	29822	4	99.7291	16	0	57.0910	52334	1	29899	57.1311193487981	99.9865991851653
rand.57	covid	474	1	29796	2	99.6422	12	0	12.1711	244810	1	29820	12.180874964258	99.7224595247684
rand.58	covid	43	2	29858	6	99.8495	28	0	59.4022	50387	2	29951	59.4419195427392	100
rand.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.49	covid	248	1	29849	4	99.8194	16	0	20.0847	149283	1	30022	20.1107962728509	100
rand.60	covid	1662	3	29856	10	99.8428	22	4	2.9651	1012014	3	30056	2.96991938846696	100
rand.5	covid	46	1	29796	2	99.6422	12	0	57.3806	51927	1	29840	57.4652878078841	99.7893424620754
rand.74	covid	79	1	29796	2	99.6422	12	0	41.0804	72531	1	29810	41.0996677282817	99.6890180561149
rand.77	covid	24	1	29871	6	99.8930	10	6	76.6441	39262	1	30092	76.6440833375783	100
rand.71	covid	78	1	29858	4	99.8495	18	0	38.1622	78473	1	29967	38.1876569010997	100
rand.35	covid	67	1	29861	4	99.8595	18	0	54.1718	55204	1	29959	54.2696181436128	100
rand.3	covid	679	1	29836	6	99.7759	16	0	8.7986	341715	1	30066	8.7985602036785	100
rand.54	covid	355	1	29849	4	99.8194	14	6	15.9324	187806	1	29922	15.9323983259321	100
rand.78	covid	73	1	29865	6	99.8729	20	0	39.3504	76294	1	30022	39.3504076336278	100
rand.66	covid	3630	2	29843	6	99.7994	14	0	1.4696	2042164	2	30393	1.48827420324714	100
rand.18	covid	65	2	29839	4	99.7860	20	0	47.8062	62494	2	29958	47.9374019905911	100
rand.17	covid	176	32	16508	72	55.2052	11	0	16.6525	101462	32	17084	16.8378309120656	57.1314294160407
rand.34	covid	80	1	29856	4	99.8428	18	0	50.2167	59542	1	29940	50.2838332605556	100
rand.1	covid	214	1	29843	4	99.7994	14	0	22.9682	130511	1	29976	22.9681789274467	100
rand.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.7	covid	192	1	29849	4	99.8194	18	0	23.2450	128987	1	30022	23.2752137812338	100
rand.9	covid	73	2	29858	8	99.8495	24	0	52.0485	57798	2	30096	52.0710059171598	100
rand.45	covid	24	1	29818	4	99.7157	12	0	78.0455	38302	1	29907	78.0820844864498	100
rand.90	covid	3003	1	29818	4	99.7157	24	0	1.3783	2169665	1	29918	1.37892255255996	100
rand.40	covid	220	1	29871	6	99.8930	10	6	14.9417	201396	1	30092	14.9417068859362	100
rand.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.22	covid	109	3	29856	8	99.8428	18	0	44.7239	67085	3	30047	44.7894462249385	100
rand.4	covid	25	1	29818	4	99.7157	12	0	78.0943	38296	1	29921	78.1308752872363	100
rand.43	covid	6918	1	29843	4	99.7994	14	0	0.5810	5152749	1	29940	0.58104906720665	100
