sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.83	GCA_003104595	121	9	4936	18	53.7808	498	45	8.5537	59857	9	5358	8.95133401273034	58.3787317498366	59857	9	5358	8.95133401273034	5.93915498605009	85.1095110012196
rand.17	GCA_003112285	1944	3	3317	6	65.0392	359	25	0.3809	880330	5	4995	0.567400861040746	97.9411764705882	880014	5	4995	0.567604606290354	8.22202828591363	91.210367107796
rand.75	GCA_003104415	1918	7	9201	14	100.0000	911	162	1.4822	874230	9	14345	1.64087253926312	100	873569	9	14345	1.64211413179726	4.64473899600375	93.713146872199
rand.70	GCA_003100495	286	2	770	4	10.1570	96	4	0.5703	135025	2	807	0.597667098685429	10.6450336367234	135025	2	807	0.597667098685429	24.5761895945195	74.826143306795
rand.20	GCA_003112285	789	1	5063	2	99.2745	613	48	1.5047	337143	2	9540	2.82965981794076	100	336796	2	9540	2.8325752087317	4.71977101865818	92.4476537726101
rand.48	GCA_003112285	283	4	2134	8	41.8431	237	17	1.6047	132425	5	2505	1.89163677553332	49.1176470588235	132425	5	2505	1.89163677553332	23.2863885218048	74.8219747026619
rand.67	GCA_003101195	218	8	8730	14	100.0000	917	110	13.0967	106813	9	16888	15.8108095456546	100	106813	9	16888	15.8108095456546	4.08096392761181	80.1082265267336
rand.57	GCA_003112285	195	3	4686	6	91.8824	568	39	5.4090	87503	4	7855	8.97683507994012	100	87503	4	7855	8.97683507994012	3.57016330868656	87.4530016113733
rand.71	GCA_003102955	500	16	9176	32	100.0000	1038	120	6.6585	224736	17	15924	7.08564715933362	100	224398	17	15924	7.09631993155019	15.9127977967718	76.990882271678
rand.42	GCA_003112285	33	5	3510	10	68.8235	352	40	18.0203	19700	6	4204	21.3401015228426	82.4313725490196	19700	6	4204	21.3401015228426	0	78.6598984771574
rand.31	GCA_003112285	194	1	1023	2	20.0588	109	2	1.2026	85066	1	1024	1.20377118942938	20.078431372549	85066	1	1024	1.20377118942938	8.18658453436155	90.6096442762091
rand.87	GCA_003100195	139	7	6416	14	73.8065	673	48	8.9480	79124	7	7172	9.06425357666448	82.5031634648568	79124	7	7172	9.06425357666448	22.6075527020879	68.3281937212477
rand.96	GCA_003112285	175	3	1528	6	29.9608	169	15	1.7700	86157	4	1931	2.24125723969033	37.8627450980392	86157	4	1931	2.24125723969033	60.0380700349362	37.7206727253735
rand.5	GCA_003102695	566	5	3558	9	43.6083	468	43	1.4369	247412	5	3861	1.56055486395163	47.3219757323201	247412	5	3861	1.56055486395163	14.8024348051024	83.637010330946
rand.86	GCA_003112285	35	1	5080	1	99.6078	523	47	18.1880	28046	4	9875	35.2100121229409	100	28046	4	9875	35.2100121229409	2.46737502674178	62.3226128503173
rand.63	GCA_003112325	1194	2	1145	4	21.5104	149	5	0.2143	533929	2	1351	0.253029897233527	25.3804245726094	533929	2	1351	0.253029897233527	4.45358839845747	95.293381704309
rand.58	GCA_003102495	2109	6	8939	12	100.0000	1025	204	1.2830	948013	7	13118	1.3837362989748	100	948013	7	13118	1.3837362989748	7.77056854705579	90.8456951539694
rand.93	GCA_003855775	214	5	2024	10	22.9271	235	25	2.3292	89002	5	2101	2.36062110963799	23.7992750339828	89002	5	2101	2.36062110963799	7.20433248691041	90.4350464034516
rand.74	GCA_003099995	449	5	8777	11	100.0000	636	83	7.8203	217281	6	18387	8.46231377801096	100	217281	6	18387	8.46231377801096	25.2645192170507	66.2731670049383
rand.92	GCA_003112285	694	2	5080	3	99.6078	520	47	1.8497	305340	3	9500	3.11128577978647	100	305340	3	9500	3.11128577978647	4.92205410362219	91.9666601165913
rand.76	GCA_003112285	683	2	5036	4	98.7451	637	34	1.6718	300627	2	8397	2.7931622908122	100	300627	2	8397	2.7931622908122	4.79131947562927	92.4155182335585
rand.100	GCA_003112285	2174	3	1392	6	27.2941	135	8	0.1399	1000820	4	1793	0.179153094462541	35.156862745098	1000820	4	1793	0.179153094462541	3.31278351751564	96.5080633880218
rand.84	GCA_003097815	1640	3	9637	11	99.4530	734	99	1.3803	778684	3	11374	1.46066953989038	100	778294	3	11374	1.46140147553495	4.03176691584414	94.5068316086209
rand.6	GCA_003188925	1531	2	8950	4	100.0000	889	98	1.3267	677234	2	9130	1.34813077902173	100	677234	2	9130	1.34813077902173	4.99886302223456	93.6530061987437
rand.99	GCA_003101195	213	2	8730	6	100.0000	868	61	9.3754	97990	2	9793	9.99387692621696	100	97990	2	9793	9.99387692621696	3.77385447494642	86.2322685988366
rand.2	GCA_003187725	461	4	8688	6	100.0000	913	178	5.2810	206571	4	11266	5.45381491109594	100	206571	4	11266	5.45381491109594	5.76896079314134	88.7772242957627
rand.34	GCA_003102495	1932	1	8939	2	100.0000	1129	130	1.0158	898320	1	9253	1.03003384094755	100	898320	1	9253	1.03003384094755	4.01115415442159	94.9588120046309
rand.54	GCA_003097815	1805	12	8765	26	90.4541	514	104	2.1326	825066	12	17766	2.15328228287192	100	825066	12	17766	2.15328228287192	5.65130547131987	92.1954122458082
rand.49	GCA_003189165	371	11	6184	21	69.2110	734	69	4.4211	159801	11	7444	4.65829375285511	83.3128147733632	159801	11	7444	4.65829375285511	12.344102978079	82.9976032690659
rand.72	GCA_003099995	1434	18	8777	34	100.0000	754	164	3.6086	654554	24	27885	4.26015271467289	100	654554	24	27885	4.26015271467289	5.06833660782762	90.6715106774995
rand.82	GCA_003103995	1352	1	8674	0	100.0000	1148	152	1.4693	592235	1	9178	1.54972266076811	100	592235	1	9178	1.54972266076811	5.15572365699427	93.2945536822376
rand.80	GCA_003101195	205	3	5363	6	61.4318	668	99	5.9527	89640	4	5832	6.50602409638554	66.8041237113402	89640	4	5832	6.50602409638554	7.50111557340473	85.9928603302097
rand.1	GCA_003102955	1584	12	9176	24	100.0000	927	103	1.9903	719841	12	14521	2.01725103182508	100	719841	12	14521	2.01725103182508	5.37076937823769	92.6119795899372
rand.32	GCA_003101195	213	2	8730	2	100.0000	1116	113	9.1907	97892	2	9363	9.5646222367507	100	97892	3	9693	9.90172843541862	5.23536141870633	84.862910145875
rand.15	GCA_003112285	326	5	4735	10	92.8431	446	38	3.4668	159283	5	9472	5.94664841822417	100	158576	5	9472	5.97316113409343	37.0276712743416	56.9991675915649
rand.77	GCA_003188985	357	2	782	4	9.4708	106	15	0.5132	152966	2	791	0.51710837702496	9.57975051471479	152966	2	791	0.51710837702496	18.6047879921028	80.8781036308722
rand.65	GCA_003112285	379	1	535	2	10.4902	48	0	0.3385	158070	1	538	0.340355538685393	10.5490196078431	158070	1	538	0.340355538685393	9.68748023027772	89.9721642310369
