sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.21	KM821997_KM821998	139	2	10202	1	95.8744	738	5	11.5826	88072	2	10275	11.6665909710237	96.5604736396955	88072	2	10275	11.6665909710237	3.50395131256245	84.8294577164138
rand.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.13	KM821997_KM821998	126	5	10493	12	98.6092	730	1	12.9324	82073	5	10835	13.2016619351066	100	82073	5	10835	13.2016619351066	31.9447321287147	54.8536059361788
rand.86	KM821997_KM821998	22	2	10166	3	95.5361	681	5	50.6831	20056	2	10259	51.1517750299162	96.4101118315948	20056	2	10259	51.1517750299162	6.49680893498205	42.3514160351017
rand.61	KM821997_KM821998	216	13	6728	29	63.2271	435	2	6.6136	117651	13	7960	6.76577334659289	74.8049995301194	117651	13	7960	6.76577334659289	6.21159191167096	87.0226347417361
rand.45	KM821997_KM821998	64	1	339	2	3.1858	23	0	0.7753	43723	1	411	0.940008691077922	3.86241894558782	43723	1	411	0.940008691077922	11.9410836401894	87.1189076687327
rand.82	KM821997_KM821998	41	4	10140	6	95.2918	729	1	52.4571	38338	4	21195	55.2845740518545	100	38338	4	21195	55.2845740518545	4.58031196202201	40.1351139861234
rand.35	KM821997_KM821998	72	4	3565	10	33.5025	228	0	10.8360	35585	4	3866	10.8641281438808	36.3311718823419	35585	4	3866	10.8641281438808	2.79893213432626	86.3369397217929
rand.59	KM821997_KM821998	182	1	464	2	4.3605	40	0	0.4502	103055	1	464	0.450245014797923	4.36049243492153	103055	1	464	0.450245014797923	3.36616369899568	96.1835912862064
rand.65	KM821997_KM821998	140	8	9386	15	88.2060	645	0	20.5407	96735	8	20512	21.2043210833721	100	96735	8	20512	21.2043210833721	0.728795162040626	78.0668837545873
rand.73	KM821997_KM821998	74	2	10202	1	95.8744	738	5	18.6316	54751	2	10275	18.7667805154244	96.5604736396955	54751	2	10275	18.7667805154244	0	81.2332194845756
rand.2	KM821997_KM821998	16	2	1203	4	11.3053	66	0	13.5825	8857	2	1206	13.6163486507847	11.3335212855935	8857	2	1206	13.6163486507847	12.1937450604042	74.1899062888111
rand.79	KM821997_KM821998	137	8	4283	16	40.2500	276	0	6.7521	75339	8	5241	6.95655636522917	49.2528897659994	75339	8	5241	6.95655636522917	4.05235004446568	88.9910935903052
rand.6	KM821997_KM821998	51	2	1595	4	14.9892	116	0	4.6221	34508	2	1629	4.72064448823461	15.3087115872568	34508	2	1629	4.72064448823461	7.93728990379043	87.342065607975
rand.19	KM821997_KM821998	10	4	1819	8	17.0943	148	0	33.3700	5451	4	1820	33.3883691065859	17.1036556714594	5451	4	1820	33.3883691065859	29.8660796184186	36.7455512749954
rand.55	KM821997_KM821998	42	19	8237	40	77.4081	501	1	42.0646	21738	19	9463	43.5320636673107	88.9296118785828	21738	19	9463	43.5320636673107	9.92271598123102	46.5452203514583
rand.18	KM821997_KM821998	61	2	10171	3	95.5831	751	0	19.5307	52077	2	10338	19.8513739270695	97.1525232590922	51767	2	10338	19.9702513184075	43.4852319044951	36.5445167770974
rand.56	KM821997_KM821998	105	8	6505	18	61.1315	417	0	9.2026	71404	8	6691	9.3706234944821	66.9204022178367	70134	9	7121	10.1534205948613	21.3990361308353	68.4475432743035
rand.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.97	KM821997_KM821998	146	3	10608	5	99.6899	788	3	10.1509	104493	3	10957	10.485869866881	100	104493	3	10957	10.485869866881	1.58096714612462	87.9331629869943
rand.74	KM821997_KM821998	126	6	8611	12	80.9228	1314	10	13.5289	75956	6	11789	15.5208278477013	100	75570	7	12117	16.0341405319571	0.881302104009527	83.0845573640334
rand.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.81	KM821997_KM821998	131	1	294	2	2.7629	16	0	0.4187	70221	1	325	0.462824511186112	3.05422422704633	70221	1	325	0.462824511186112	1.15065293857963	98.3865225502343
rand.32	KM821997_KM821998	47	2	10171	3	95.5831	751	0	29.5317	34441	2	10338	30.016550042101	97.1525232590922	34441	2	10338	30.016550042101	4.56432740048198	65.419122557417
rand.87	KM821997_KM821998	85	5	3062	10	28.7755	236	2	6.6671	45897	5	3116	6.78911475695579	29.2829621276196	45897	5	3116	6.78911475695579	4.1004858705362	89.110399372508
rand.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
