sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.32	KM821997_KM821998	56	1	6781	2	63.7252	519	0	2.2406	302638	1	6832	2.25748253689226	64.204492059017	302638	1	6832	2.25748253689226	0	97.7425174631077
rand.22	KM821997_KM821998	4	2	727	4	6.8321	47	0	52.2270	1392	2	753	54.0948275862069	7.07640259374119	1392	2	753	54.0948275862069	23.2758620689655	22.6293103448276
rand.57	KM821997_KM821998	7	1	906	2	8.5142	56	0	29.8419	3036	1	917	30.2042160737813	8.6176111267738	3036	1	917	30.2042160737813	0	69.7957839262187
rand.45	KM821997_KM821998	10	1	339	2	3.1858	23	0	9.6034	3530	1	411	11.643059490085	3.86241894558782	3530	1	411	11.643059490085	30.6232294617564	57.7337110481586
rand.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.70	KM821997_KM821998	6	1	6806	1	63.9602	505	5	77.4704	8784	1	6813	77.5614754098361	64.0259374118974	8784	1	6813	77.5614754098361	3.60883424408015	18.8296903460838
rand.48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.56	KM821997_KM821998	73	8	6505	18	61.1315	417	0	17.7259	37070	8	6691	18.0496358241165	66.9204022178367	31500	9	7121	22.6063492063492	33.4920634920635	43.9015873015873
rand.51	KM821997_KM821998	45	3	2711	6	25.4769	197	0	14.1301	19186	3	2872	14.9692484102992	26.9899445540833	19186	3	2872	14.9692484102992	33.2794746169082	51.7512769727927
rand.9	KM821997_KM821998	6	3	10600	5	99.6147	679	3	70.6497	15131	3	10901	72.0441477760888	100	15131	4	14285	94.4088295552178	0	5.59117044478224
rand.75	KM821997_KM821998	2	1	261	2	2.4528	14	0	39.1892	666	1	309	46.3963963963964	2.90386241894559	666	1	309	46.3963963963964	0	53.6036036036036
rand.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.71	KM821997_KM821998	5	1	2195	2	20.6278	158	0	21.5048	10207	1	2196	21.514646811012	20.6371581618269	10207	1	2196	21.514646811012	43.8228666601352	34.6624865288527
rand.5	KM821997_KM821998	27	5	3025	9	28.4278	209	2	26.8014	11380	5	3146	27.6449912126538	33.3897190113711	11380	6	3553	31.2214411247803	11.6256590509666	57.1528998242531
rand.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.47	KM821997_KM821998	24	1	573	2	5.3848	43	1	5.8715	9742	1	601	6.16916444261959	5.64796541678414	9742	1	601	6.16916444261959	6.32313693286799	87.5076986245124
rand.50	KM821997_KM821998	9	7	4794	16	45.0522	315	2	85.3228	5839	7	5192	88.9193355026546	48.7924067286909	5839	7	5192	88.9193355026546	0	11.0806644973454
rand.35	KM821997_KM821998	4	4	3565	10	33.5025	228	0	99.7413	3866	4	3866	100	36.3311718823419	3866	4	3866	100	0	0
rand.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.82	KM821997_KM821998	7	1	6762	2	63.5467	494	1	76.9520	8786	1	6846	77.9194172547234	64.3360586411052	8786	1	6846	77.9194172547234	0	22.0805827452766
rand.86	KM821997_KM821998	2	1	6830	1	64.1857	467	5	95.4437	7155	1	6829	95.4437456324249	64.1762992199981	7155	1	6829	95.4437456324249	0	4.55625436757512
rand.33	KM821997_KM821998	11	4	10600	7	99.6147	679	3	78.5149	14019	4	11218	80.0199728939297	100	14019	4	11218	80.0199728939297	8.19601968756687	11.7840074185035
rand.49	KM821997_KM821998	6	1	6806	1	63.9602	505	5	79.8240	8525	1	6813	79.9178885630499	64.0259374118974	8525	1	6813	79.9178885630499	0	20.0821114369501
rand.73	KM821997_KM821998	3	1	6806	1	63.9602	505	5	82.2356	8275	1	6813	82.3323262839879	64.0259374118974	8275	1	6813	82.3323262839879	0	17.6676737160121
rand.13	KM821997_KM821998	30	4	7143	10	67.1271	493	1	33.1887	21887	4	7370	33.67295654955	69.2604078564045	21887	4	7370	33.67295654955	62.0779458125828	4.24909763786724
rand.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.58	KM821997_KM821998	15	1	6811	1	64.0071	491	1	56.1629	12129	1	6825	56.2700964630225	69.4859505685556	12129	2	7394	60.961332343969	6.24124000329788	32.7974276527331
rand.79	KM821997_KM821998	33	7	3682	14	34.6020	271	0	28.4316	13485	7	3988	29.5736002966259	37.4776806691101	13485	7	3988	29.5736002966259	8.70596959584724	61.7204301075269
rand.90	KM821997_KM821998	5	1	6781	2	63.7252	519	0	82.0051	8269	1	6832	82.6218406095054	64.204492059017	8269	1	6832	82.6218406095054	4.77687749425565	12.601281896239
rand.42	KM821997_KM821998	13	2	6703	6	62.9922	461	1	61.0892	11164	2	6877	61.5997850232891	68.0387181655859	11164	3	7240	64.851307774991	3.05446076675027	32.0942314582587
rand.16	KM821997_KM821998	9	8	5071	16	47.6553	355	0	87.3371	5986	8	5344	89.2749749415302	50.220843905648	5986	8	5344	89.2749749415302	0	10.7250250584698
rand.87	KM821997_KM821998	8	5	3062	10	28.7755	236	2	71.6460	4271	5	3116	72.9571528915945	29.2829621276196	4271	5	3116	72.9571528915945	7.1177710138141	19.9250760945914
rand.7	KM821997_KM821998	15	4	6933	7	65.1537	877	12	41.7370	28912	4	15940	55.1328168234643	100	28912	14	28564	98.7963475373547	0	1.20365246264527
