contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k141_1263	367	0.465940054495913	2	2390.95630656109	0.917420814479638	0	0	0	Y	N
k141_965	1169	0.608212147134303	1	202.986635676932	0.5	19	0.0219223396873294	0.00487196037856639	N	N
k141_1210	563	0.635879218472469	1	412.076109936575	0.5	21	0.0389718245568918	0.0079973545173194	N	N
k141_165	461	0.470715835140998	1	178.4016563147	0.497929606625259	0	0	0	N	N
k141_1696	719	0.561891515994437	1	221.153263954588	0.5	12	0.00738048610520548	0.00227019680556248	N	N
k141_1853	32753	0.6406741367203	1	469.754397858435	0.5	264	0.0751118338687291	0.0117205658344804	N	N
k141_1783	537	0.599627560521415	1	444.895413870246	0.5	14	0.0287265034775505	0.00558619878533464	N	N
k141_610	478	0.543933054393305	1	1288.78671875	0.5	27	0.0986266110099314	0.00799810413338374	N	N
k141_595	315	0.628571428571429	1	310.686011904762	0.5	0	0	0	N	N
k141_1371	18715	0.602404488378306	1	495.114328249379	0.5	61	0.0329712022740046	0.00690063286297119	N	N
k141_387	376	0.678191489361702	1	762.12044817927	0.5	10	0.00754079854516141	0.00285268920277356	N	N
k141_1573	404	0.410891089108911	2	4430.90997378005	0.730807302292545	0	0	0	N	N
k141_2344	3271	0.618771018037298	1	458.423328616908	0.5	31	0.0452489449390406	0.00891339002420685	N	N
k141_429	388	0.641752577319588	1	122.984560570071	0.471496437054632	8	0.0166598063852099	0.00171090290128418	N	N
k141_2242	4307	0.646621778500116	1	464.877960047625	0.5	57	0.0627951691135341	0.011143841164809	N	N
k141_1663	12638	0.620113942079443	1	481.003247778428	0.5	58	0.0437546702529694	0.00862195277227155	N	N
k141_1648	320	0.475	1	553.106469002695	0.5	0	0	0	N	N
k141_824	3734	0.605516871987145	1	763.04293865906	0.5	30	0.0704598861891647	0.0104752776009172	N	N
k141_1404	12092	0.599818061528283	1	272.376891443032	0.5	24	0.00330879881201324	0.000904307847638231	N	N
k141_1789	4275	0.607953216374269	1	498.179637526652	0.5	35	0.0426081909237265	0.00858175626416544	N	N
k141_1472	13432	0.643314472900536	1	454.97655051968	0.5	174	0.0890910425258609	0.0110795990100849	N	N
k141_792	2602	0.606840891621829	1	460.321586879432	0.5	34	0.0539201361323617	0.00895383790950981	N	N
k141_807	697	0.680057388809182	1	543.227674979885	0.5	8	0.00201021144605141	0.00139037814879015	N	N
k141_195	304	0.493421052631579	1	139.701277955272	0.5	42	0.31483979901378	0.0154518538765171	N	N
k141_1918	21047	0.630683707891861	1	463.026070915059	0.5	100	0.0523101156785104	0.00942668407991005	N	N
k141_928	430	0.613953488372093	1	235.804538799414	0.5	24	0.0861213208124278	0.0107847782895033	N	N
k141_731	302	0.662251655629139	1	366.176470588235	0.5	9	0.00178223316439279	0.00178223316439279	N	N
k141_329	338	0.653846153846154	1	76.3157142857145	0.5	30	0.0102900003512772	0.00595717944397181	N	N
k141_1898	371	0.657681940700809	1	161.757772020725	0.5	2	0.000436596487823809	0.000291064325215872	N	N
k141_21	370	0.662162162162162	1	998.77136752137	0.5	28	0.00794632910102291	0.00556620031824223	N	N
k141_1001	356	0.626404494382023	1	170.90037593985	0.5	17	0.0383466148337843	0.00680068480764397	N	N
k141_1889	448	0.676339285714286	1	33.1947483588621	0.5	0	0	0	N	N
k141_2050	22162	0.622642360797762	1	489.962594125053	0.5	186	0.0678205882115899	0.0114081638766066	N	N
k141_1385	7246	0.621722329561137	1	465.253532801769	0.5	59	0.0522888694786342	0.0100006029636761	N	N
