sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.82	covid	40	1	29875	1	99.9064	18	0	51.8988	57564	1	29917	51.9717184351331	100	57564	1	29917	51.9717184351331	6.31471058300327	41.7135709818637
rand.33	covid	336	1	29865	8	99.8729	10	0	17.2331	175087	1	30180	17.2371449622188	100	175087	1	30180	17.2371449622188	43.3013301958455	39.4615248419357
rand.86	covid	1169	1	29871	2	99.8930	10	0	4.0204	742988	1	29894	4.02348355558905	99.9699026853493	742497	1	29894	4.02614421337729	2.77684623641577	93.1970095502069
rand.81	covid	273	1	29871	2	99.8930	10	0	11.4083	261835	1	29944	11.4362098267993	100	261835	1	29944	11.4362098267993	0.389176389711078	88.1746137834896
rand.64	covid	1190	2	29858	4	99.8495	0	0	3.2348	926882	2	30376	3.27722406951478	100	926882	2	30376	3.27722406951478	0.31363215598102	96.4091437745042
rand.54	covid	38	1	29863	2	99.8662	20	0	53.7336	55576	1	29964	53.9153591478336	100	55576	1	29964	53.9153591478336	2.25816899381028	43.8264718583561
rand.41	covid	24	2	29872	6	99.8963	14	0	64.8238	46631	2	30742	65.9261006626493	100	46631	2	30742	65.9261006626493	2.70849863824494	31.3654006991057
rand.47	covid	35	1	29873	4	99.8997	6	0	47.3610	63206	1	29957	47.3958168528304	100	63206	1	29957	47.3958168528304	4.97895769388982	47.6252254532798
rand.13	covid	19	1	29874	1	99.9030	19	0	68.0284	43914	1	30064	68.4610830259143	100	43914	1	30064	68.4610830259143	0.719588286195746	30.81932868789
rand.55	covid	4493	1	29859	2	99.8529	10	0	0.9500	3142953	1	29897	0.951239169023527	99.9799351235662	3142564	1	29897	0.951356917472484	1.16579964640338	97.8828434361241
rand.25	covid	66	1	29871	2	99.8930	12	0	47.7447	62564	1	29893	47.7798734096285	99.966558539277	62564	1	29893	47.7798734096285	13.6228502013938	38.5972763889777
rand.11	covid	22	1	29853	6	99.8328	20	0	59.0493	50954	1	30092	59.0571888369902	100	50954	1	30092	59.0571888369902	2.11759626329631	38.8252148997135
