fragment	annotation	frquency	length	status
k141_1504 flag=1 multi=129.0000 len=312	NA	NA	312	Unannotated
k141_77 flag=1 multi=54.0000 len=305	Rhodococcus qingshengii	25	305	Annotated
k141_81 flag=1 multi=555.0000 len=617	Rhodococcus qingshengii	25	617	Annotated
k141_49 flag=1 multi=155.0000 len=391	Rhodococcus qingshengii	25	391	Annotated
k141_90 flag=1 multi=338.0000 len=384	Rhodococcus qingshengii	25	384	Annotated
k141_96 flag=1 multi=281.0000 len=448	Rhodococcus qingshengii	25	448	Annotated
k141_1504 flag=1 multi=129.0000 len=312	NA	NA	312	Unannotated
k141_77 flag=1 multi=54.0000 len=305	Rhodococcus qingshengii	25	305	Annotated
k141_81 flag=1 multi=555.0000 len=617	Rhodococcus qingshengii	25	617	Annotated
k141_49 flag=1 multi=155.0000 len=391	Rhodococcus qingshengii	25	391	Annotated
k141_90 flag=1 multi=338.0000 len=384	Rhodococcus qingshengii	25	384	Annotated
k141_96 flag=1 multi=281.0000 len=448	Rhodococcus qingshengii	25	448	Annotated
k141_895 flag=1 multi=245.0000 len=310	Pseudomonas aeruginosa	68	310	Target
k141_423 flag=1 multi=440.0000 len=326	NA	NA	326	Unannotated
k141_2300 flag=1 multi=362.0000 len=20758	Rhodococcus qingshengii	22	20758	Annotated
k141_1510 flag=1 multi=574.0000 len=3405	Rhodococcus qingshengii	25	3405	Annotated
k141_1603 flag=1 multi=278.0000 len=324	Rhodococcus qingshengii	25	324	Annotated
k141_1514 flag=1 multi=597.0000 len=2895	Rhodococcus qingshengii	34	2895	Annotated
k141_1545 flag=1 multi=633.0000 len=4645	Rhodococcus qingshengii	25	4645	Annotated
k141_1079 flag=1 multi=123.0000 len=437	Pseudomonas oryziphila	2	437	Target
k141_1008 flag=1 multi=528.0000 len=987	Rhodococcus qingshengii	25	987	Annotated
k141_523 flag=1 multi=683.0000 len=9078	Rhodococcus qingshengii	25	9078	Annotated
k141_935 flag=1 multi=632.0000 len=1211	Rhodococcus qingshengii	25	1211	Annotated
k141_1114 flag=1 multi=250.0000 len=569	Rhodococcus qingshengii	25	569	Annotated
k141_347 flag=1 multi=621.0000 len=311	Penicillium manginii	1	311	Target
k141_1817 flag=1 multi=110.0000 len=350	Rhodococcus qingshengii	25	350	Annotated
k141_1819 flag=1 multi=302.0000 len=319	Rhodococcus qingshengii	25	319	Annotated
k141_785 flag=1 multi=69.0000 len=314	Escherichia coli	98	314	Target
k141_183 flag=1 multi=632.0000 len=3604	Rhodococcus qingshengii	25	3604	Annotated
k141_2123 flag=1 multi=320.0000 len=589	Rhodococcus qingshengii	15	589	Annotated
k141_100 flag=1 multi=615.0000 len=2213	Rhodococcus qingshengii	25	2213	Annotated
k141_109 flag=1 multi=184.0000 len=329	Rhodococcus qingshengii	25	329	Annotated
k141_1342 flag=1 multi=78.0000 len=321	Stutzerimonas stutzeri	23	321	Target
k141_2125 flag=1 multi=239.0000 len=419	Rhodococcus qingshengii	25	419	Annotated
k141_1211 flag=1 multi=1806.0000 len=6450	Rhodococcus qingshengii	16	6450	Annotated
k141_1265 flag=1 multi=695.0000 len=1959	Rhodococcus qingshengii	24	1959	Annotated
k141_984 flag=1 multi=569.0000 len=2983	Rhodococcus qingshengii	25	2983	Annotated
k141_2152 flag=1 multi=512.0000 len=317	Rhodococcus qingshengii	30	317	Annotated
k141_181 flag=1 multi=747.0000 len=1180	Rhodococcus qingshengii	11	1180	Annotated
k141_124 flag=1 multi=1001.0000 len=355	NA	NA	355	Unannotated
k141_1859 flag=1 multi=609.0000 len=1626	Rhodococcus qingshengii	25	1626	Annotated
k141_1934 flag=1 multi=602.0000 len=977	Rhodococcus qingshengii	25	977	Annotated
k141_1864 flag=1 multi=294.0000 len=634	Rhodococcus ruber	10	634	Annotated
k141_227 flag=1 multi=484.0000 len=11526	Rhodococcus qingshengii	10	11526	Annotated
k141_228 flag=1 multi=408.0000 len=8808	Rhodococcus qingshengii	17	8808	Annotated
k141_1520 flag=1 multi=163.0000 len=395	Rhodococcus qingshengii	25	395	Annotated
k141_1214 flag=1 multi=398.0000 len=13081	Rhodococcus qingshengii	25	13081	Annotated
k141_1721 flag=1 multi=250.0000 len=355	Rhodococcus erythropolis	2	355	Annotated
k141_1723 flag=1 multi=602.0000 len=2832	Rhodococcus qingshengii	25	2832	Annotated
k141_746 flag=1 multi=711.0000 len=16257	Rhodococcus qingshengii	25	16257	Annotated
k141_1084 flag=1 multi=734.0000 len=1033	Rhodococcus qingshengii	16	1033	Annotated
k141_572 flag=1 multi=318.0000 len=5519	Rhodococcus qingshengii	38	5519	Annotated
k141_1564 flag=1 multi=96.0000 len=509	Limnobacter thiooxidans	1	509	Target
