contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k51_321	816	0.363970588235294	2	5.9865194446959	0.984562461060019	0	0	0	Y	N
k51_48	714	0.397759103641457	2	8.51329039661665	0.969021739130435	0	0	0	Y	N
k51_671	296	0.375	2	17.2391280460216	0.996296296296296	1	0.000191865648900911	0.000191865648900911	Y	N
k51_892	898	0.361915367483296	2	5.37948579647609	0.985922330097088	0	0	0	Y	N
k51_798	654	0.437308868501529	2	10.7844126704986	0.981165923814722	0	0	0	Y	N
k51_678	785	0.412738853503185	2	6.37071288780519	0.974943052391799	0	0	0	Y	N
k51_630	202	0.534653465346535	2	19.0607889314101	0.993355481727575	0	0	0	Y	N
k51_394	244	0.418032786885246	2	10.6719354766539	0.976950354609929	0	0	0	Y	N
k51_331	211	0.364928909952607	2	4.24993794766328	0.904661016949152	0	0	0	Y	N
k51_83	268	0.305970149253731	2	2.16762535272411	0.59409594095941	0	0	0	Y	N
k51_804	274	0.54014598540146	1	3.62801204819277	0.5	27	0.0579632837257777	0.00632610585284433	N	N
k51_921	595	0.319327731092437	2	3.6259927618635	0.873986931643833	0	0	0	Y	N
k51_532	226	0.398230088495575	2	5.11247869318182	0.979730113636363	0	0	0	Y	N
k51_156	255	0.301960784313725	2	3.00888877503971	0.723282442748092	0	0	0	Y	N
k51_132	1134	0.435626102292769	2	9.05985637198854	0.98599977934244	0	0	0	Y	N
k51_209	373	0.340482573726542	2	12.3683521155736	0.980743822433538	0	0	0	Y	N
k51_802	431	0.354988399071926	2	4.67647837599294	0.953187434807029	0	0	0	Y	N
k51_65	452	0.365044247787611	2	6.42367588932807	0.963280632411067	0	0	0	Y	N
k51_715	4884	0.414414414414414	2	8.41634303822413	0.981932211970266	1	1.17388641336959e-05	1.17388641336959e-05	Y	N
k51_257	389	0.359897172236504	2	4.08170159955874	0.976236440522155	0	0	0	Y	N
k51_645	500	0.272	2	3.03148674242424	0.830886994949494	0	0	0	Y	N
k51_273	2109	0.371740161213845	2	6.07423756019262	0.984307561976101	0	0	0	Y	N
k51_404	2966	0.42211732973702	2	7.31247740432323	0.987556221889055	0	0	0	Y	N
k51_832	468	0.523504273504274	2	14.0777685920905	0.997227356746766	0	0	0	Y	N
k51_886	331	0.377643504531722	2	6.22025281849663	0.953517587939698	0	0	0	Y	N
