sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.21	LT605058	118	2	18873	6	99.5464	778	2	24.7022	77236	2	19679	25.4790512196385	100	77236	2	19679	25.4790512196385	14.7353565694754	59.7855922108861
rand.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.31	LT605058	14	1	18853	4	99.4409	772	2	77.8921	24290	1	18929	77.9291889666529	99.8417638061079	24290	1	18929	77.9291889666529	0	22.0708110333471
rand.18	LT605058	109	2	18873	4	99.5464	777	2	25.8349	73900	2	19696	26.6522327469553	100	73362	2	19696	26.8476868133366	17.0687822033205	56.0835309833429
rand.64	LT605058	12	1	401	2	2.1151	10	0	4.4275	9057	1	417	4.60417356740643	2.19948309509995	9057	1	417	4.60417356740643	4.31710279341945	91.0787236391741
rand.44	LT605058	9	1	18858	2	99.4673	778	2	78.1938	24117	1	18915	78.430153004105	99.7679202489583	24117	1	18915	78.430153004105	0	21.569846995895
rand.52	LT605058	30	6	1821	12	9.6049	78	8	13.5428	13402	6	2046	15.2663781525146	10.7917084234401	12739	6	2046	16.0609152994741	0	83.9390847005259
rand.55	AF086833	48	2	962	4	5.0741	17	0	3.6217	26562	2	985	3.70830509750772	5.19542169945672	26562	2	985	3.70830509750772	0	96.2916949024923
rand.11	LT605058	43	1	18858	4	99.4673	778	2	43.5201	43527	1	18974	43.5913341144577	100	43527	1	18974	43.5913341144577	1.48643370781354	54.9222321777288
rand.45	LT605058	17	1	18858	2	99.4673	778	2	66.6102	28311	1	18908	66.7867613295186	99.7309984703835	28311	1	18908	66.7867613295186	4.84617286567059	28.3670658048108
rand.79	LT605058	9	1	18858	2	99.4673	778	2	78.2392	24103	1	18917	78.4840061403145	99.7784693285511	24103	1	18917	78.4840061403145	0	21.5159938596855
rand.36	LT605058	123	1	18858	4	99.4673	778	2	22.2390	85179	2	19619	23.0326723722983	100	83328	3	19958	23.9511328725038	28.7910426267281	47.257824500768
rand.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.48	LT605058	19	1	18858	4	99.4673	778	2	62.6982	30213	1	18974	62.8007811207096	100	30213	1	18974	62.8007811207096	1.11872372819647	36.0804951510939
rand.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.61	LT605058	18	1	18853	4	99.4409	776	2	71.5344	26446	1	18927	71.5684791650911	99.8312147265151	26446	1	18927	71.5684791650911	0	28.4315208349089
rand.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.14	KU182898	25	8	6464	16	34.0946	106	0	32.2579	20054	8	6700	33.409793557395	35.3394166358985	20054	8	6700	33.409793557395	0	66.590206442605
rand.3	LT605058	47	1	18858	2	99.4673	778	2	41.1441	45834	1	18982	41.4146703320679	100	45834	1	18982	41.4146703320679	2.90177597416765	55.6835536937645
rand.10	KU182898	60	8	6459	16	34.0683	106	0	17.9855	35940	8	6678	18.5809682804674	35.2233767603777	35940	8	6678	18.5809682804674	2.67668336115748	78.7423483583751
rand.66	LT605058	93	3	18801	8	99.1666	778	2	28.4976	67883	3	19999	29.4609843407039	100	67343	3	19999	29.6972216859956	10.7182632196368	59.5845150943676
rand.35	LT605058	19	1	221	2	1.1657	2	0	1.9688	11225	1	334	2.97550111358575	1.76169629199852	11225	1	334	2.97550111358575	2.73496659242762	94.2895322939866
rand.86	LT605058	85	1	18873	2	99.5464	777	2	30.2229	62446	1	18913	30.2869679403004	99.7573711693655	62135	1	18913	30.4385611973928	7.11998068721333	62.4414581153939
rand.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.98	LT605058	10	1	18858	2	99.4673	778	2	70.2085	26860	1	18907	70.3909158600149	99.7257239305871	26860	1	18907	70.3909158600149	0	29.6090841399851
rand.96	LT605058	91	2	18858	4	99.4673	778	2	28.8339	65853	2	19723	29.9500402411431	100	65853	2	19723	29.9500402411431	7.94800540597999	62.1019543528769
rand.63	LT605058	121	2	18873	4	99.5464	777	2	24.2107	78548	2	19617	24.9745378621989	100	77643	2	19617	25.265638885669	7.13135762399701	67.603003490334
rand.82	LT605058	12	1	18853	4	99.4409	775	2	74.6734	25337	1	18929	74.7089237084106	99.8417638061079	25337	1	18929	74.7089237084106	0	25.2910762915894
rand.93	KU182898	33	19	11864	44	62.5771	151	1	59.3343	20430	19	12724	62.2809593734704	67.1132443694288	19768	19	12724	64.3666531768515	1.70477539457709	33.9285714285714
rand.27	LT605058	12	1	18858	2	99.4673	778	2	75.3597	25024	1	18917	75.5954283887468	99.7784693285511	25024	1	18917	75.5954283887468	0	24.4045716112532
rand.33	LT605058	21	1	281	2	1.4821	7	0	2.6497	10605	1	307	2.89486091466289	1.61928371749565	10605	1	307	2.89486091466289	3.31918906176332	93.7859500235738
rand.25	AF086833	31	17	13224	38	69.7505	262	0	62.6697	21283	17	13882	65.2257670441197	73.2211614536632	21283	17	13882	65.2257670441197	0	34.7742329558803
rand.53	LT605058	30	16	10602	34	55.9207	410	3	55.2638	19235	16	11071	57.5565375617364	58.394430085975	19235	16	11071	57.5565375617364	1.67403171302313	40.7694307252404
rand.69	LT605058	28	3	18853	8	99.4409	773	2	58.9155	32236	3	19128	59.3373867725524	100	32236	3	19128	59.3373867725524	1.04851718575506	39.6140960416925
rand.99	LT605058	17	2	632	4	3.3335	27	0	6.5581	9637	2	725	7.5230880979558	3.824041352392	9637	2	725	7.5230880979558	3.7356023658815	88.7413095361627
rand.16	LT605058	125	2	18873	4	99.5464	778	2	23.0750	82414	2	19617	23.8029946368335	100	82414	2	19617	23.8029946368335	15.8468221418691	60.3501832212974
rand.46	AF086833	43	18	11701	40	61.7174	225	1	48.8297	24309	18	12579	51.74626681476	66.3484360989504	23647	18	12579	53.1949084450459	1.42935678944475	45.3757347655094
rand.42	LT605058	120	2	18873	4	99.5464	777	2	24.3592	78377	2	19686	25.1170624035112	100	78377	2	19686	25.1170624035112	12.0711433201067	62.8117942763821
rand.94	LT605058	93	2	18876	6	99.5622	776	2	28.6833	66551	2	19656	29.5352436477288	100	65888	2	19656	29.8324429334628	11.8413064594463	58.3262506070908
rand.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.49	LT605058	17	2	18853	6	99.4409	775	2	70.3929	27007	2	19076	70.6335394527345	100	27007	2	19076	70.6335394527345	0	29.3664605472655
rand.73	LT605058	120	2	18873	6	99.5464	778	2	24.2819	78573	2	19682	25.0493171954743	100	78573	2	19682	25.0493171954743	13.0782838888677	61.872398915658
rand.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.54	LT605058	16	1	622	2	3.2808	22	0	8.3975	7407	1	637	8.59997299851492	3.35988185030856	7407	1	637	8.59997299851492	0	91.4000270014851
rand.88	AF086833	31	10	7614	20	40.1603	155	0	41.9435	18153	10	7991	44.0202721313282	42.1488475130545	18153	10	7991	44.0202721313282	7.99316917313943	47.9865586955324
rand.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.59	LT605058	112	2	18873	4	99.5464	778	2	26.0097	73115	2	19617	26.8303357724133	100	73115	2	19617	26.8303357724133	12.734732954934	60.4349312726527
rand.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.100	KU182898	58	9	8125	18	42.8556	130	0	22.5008	36132	9	8402	23.2536255950404	44.316683369376	36132	9	8402	23.2536255950404	6.34063987601018	70.4057345289494
rand.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.40	LT605058	114	1	18873	2	99.5464	778	2	23.9922	78663	1	18913	24.043069804101	99.7573711693655	78663	1	18913	24.043069804101	31.5294356940366	44.4274945018624
rand.92	LT605058	16	1	18858	2	99.4673	778	2	68.1927	27654	1	18938	68.4819555941274	99.8892346642755	27654	1	18938	68.4819555941274	0	31.5180444058726
rand.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.83	LT605058	51	1	18850	2	99.4251	776	2	40.8965	46092	1	18936	41.0830512887269	99.8786855846827	46092	1	18936	41.0830512887269	1.37767942376117	57.5392692875119
rand.60	LT605058	46	1	18858	2	99.4673	778	2	40.8651	46147	1	18907	40.9712440678701	99.7257239305871	46147	1	18907	40.9712440678701	0	59.0287559321299
rand.74	AF086833	64	17	12951	38	68.3106	251	0	31.5805	41912	17	13709	32.7090093529299	72.3086660688855	41912	17	13709	32.7090093529299	4.7122542469937	62.5787364000764
rand.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
