sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.35	KM821997_KM821998	4	4	3565	10	33.5025	228	0	99.7413	3866	4	3866	100	36.3311718823419	3866	4	3866	100	0	0
rand.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.34	KM821997_KM821998	7	4	1426	8	13.4010	77	0	43.8634	3251	4	1621	49.861581051984	15.2335306832065	3251	4	1621	49.861581051984	31.0673638880344	19.0710550599815
rand.25	KM821997_KM821998	5	3	1328	6	12.4800	112	0	65.2597	2156	3	1442	66.8831168831169	17.6957052908561	2156	4	1883	87.3376623376623	0	12.6623376623377
rand.36	NA	12	2	1275	NA	11.943793911007	NA	NA	25.1777251184834	5064	2	1275	25.1777251184834	11.943793911007	5064	2	1275	25.1777251184834	68.2661927330174	6.55608214849921
rand.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.13	KM821997_KM821998	20	4	7143	10	67.1271	493	1	43.6775	16631	4	7370	44.3148337442126	69.2604078564045	16631	4	7370	44.3148337442126	55.6851662557874	0
rand.43	KM821997_KM821998	9	4	10592	8	99.5395	685	3	88.7610	19726	4	17886	90.6722092669573	100	19726	4	17886	90.6722092669573	9.32779073304268	5.32907051820075e-15
rand.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.15	KM821997_KM821998	3	3	1487	6	13.9743	94	3	98.0185	1514	3	1514	100	14.2279860915328	1514	3	1514	100	0	0
rand.57	KM821997_KM821998	1	1	906	2	8.5142	56	0	98.8004	917	1	917	100	8.6176111267738	917	1	917	100	0	0
rand.32	KM821997_KM821998	2	1	6781	2	63.7252	519	0	90.4133	7500	1	6832	91.0933333333333	64.204492059017	7500	1	6832	91.0933333333333	0	8.90666666666667
rand.72	KM821997_KM821998	3	3	2722	6	25.5803	321	3	99.9635	2743	3	2743	100	25.777652476271	2743	3	2743	100	0	0
rand.53	KM821997_KM821998	4	2	7217	3	67.8226	502	5	88.9108	8116	2	7240	89.2065056678167	68.0387181655859	8116	2	7240	89.2065056678167	7.08477082306555	3.70872350911779
rand.58	KM821997_KM821998	4	1	6811	1	64.0071	491	1	83.5726	8151	1	6825	83.7320574162679	69.4859505685556	8151	2	7394	90.7127959759539	9.28720402404613	0
rand.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.8	KM821997_KM821998	2	1	6757	2	63.4997	511	2	93.8750	7200	1	6840	95	64.2796729630674	7200	1	6840	95	5	0
rand.94	KM821997_KM821998	8	8	5034	15	47.3076	306	0	98.4982	5327	8	5327	100	50.0610844845409	5327	8	5327	100	0	0
rand.52	KM821997_KM821998	3	3	1165	6	10.9482	87	0	90.8736	1282	3	1282	100	12.047739874072	1282	3	1282	100	0	0
rand.81	KM821997_KM821998	2	1	294	2	2.7629	16	0	35.6364	825	1	325	39.3939393939394	3.05422422704633	825	1	325	39.3939393939394	60.6060606060606	0
rand.63	KM821997_KM821998	4	3	1796	6	16.8781	125	0	82.4610	2178	3	1832	84.1138659320477	17.216427027535	2178	3	1832	84.1138659320477	15.8861340679523	3.5527136788005e-15
rand.30	KM821997_KM821998	2	1	308	2	2.8945	18	0	45.8333	672	1	308	45.8333333333333	2.89446480593929	672	1	308	45.8333333333333	54.1666666666667	7.105427357601e-15
rand.69	KM821997_KM821998	2	1	876	2	8.2323	52	0	35.9606	2436	1	876	35.9605911330049	8.23230899351565	2436	1	876	35.9605911330049	64.0394088669951	0
rand.5	KM821997_KM821998	9	5	3025	9	28.4278	209	2	67.7326	4503	5	3146	69.864534754608	33.3897190113711	4503	6	3553	78.9029535864979	14.079502553853	7.01754385964913
rand.51	KM821997_KM821998	19	3	2711	6	25.4769	197	0	29.0911	9319	3	2872	30.818757377401	26.9899445540833	9319	3	2872	30.818757377401	61.1975533855564	7.98368923704261
rand.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.59	KM821997_KM821998	6	1	464	2	4.3605	40	0	21.9801	2111	1	464	21.9801042160114	4.36049243492153	2111	1	464	21.9801042160114	63.6665087636191	14.3533870203695
rand.22	KM821997_KM821998	3	2	727	4	6.8321	47	0	67.5023	1077	2	753	69.91643454039	7.07640259374119	1077	2	753	69.91643454039	30.08356545961	0
rand.3	KM821997_KM821998	10	10	4958	21	46.5934	319	0	98.8169	5663	10	5663	100	53.2186824546565	5663	10	5663	100	0	0
rand.55	KM821997_KM821998	25	19	8237	40	77.4081	501	1	78.3346	11673	19	9463	81.0674205431337	88.9296118785828	11673	19	9463	81.0674205431337	13.0043690567977	5.92821040006854
rand.19	KM821997_KM821998	5	4	1819	8	17.0943	148	0	85.6000	2125	4	1820	85.6470588235294	17.1036556714594	2125	4	1820	85.6470588235294	0	14.3529411764706
rand.45	KM821997_KM821998	6	1	339	2	3.1858	23	0	15.1746	2234	1	411	18.3974932855864	3.86241894558782	2234	1	411	18.3974932855864	48.3885407341092	33.2139659803044
rand.61	KM821997_KM821998	21	12	5792	28	54.4310	380	2	59.2368	10404	12	6283	60.3902345251826	59.0452025185603	10404	12	6283	60.3902345251826	36.8992695117263	2.71049596309112
rand.68	KM821997_KM821998	13	12	5577	23	52.4105	416	0	90.6818	7920	12	7338	92.6515151515152	68.959684240203	7920	12	7338	92.6515151515152	7.34848484848485	0
rand.71	KM821997_KM821998	3	1	2195	2	20.6278	158	0	50.5062	4346	1	2196	50.5292222733548	20.6371581618269	4346	1	2196	50.5292222733548	30.1656695812241	19.3051081454211
rand.66	KM821997_KM821998	1	1	3620	2	34.0194	632	8	50.9285	7108	1	7108	100	66.7982332487548	7108	1	7108	100	0	0
rand.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.21	KM821997_KM821998	4	1	6806	1	63.9602	505	5	84.0227	8099	1	6813	84.121496481047	64.0259374118974	8099	1	6813	84.121496481047	11.0383998024447	4.84010371650821
rand.99	KM821997_KM821998	18	13	7115	26	66.8640	543	0	76.1800	10000	13	8156	81.56	76.6469316793534	10000	13	8156	81.56	18.44	0
rand.87	KM821997_KM821998	5	5	3062	10	28.7755	236	2	98.2028	3116	5	3116	100	29.2829621276196	3116	5	3116	100	0	0
rand.40	KM821997_KM821998	8	6	3308	12	31.0873	233	0	83.1214	4011	6	3375	84.1436050860135	37.6938257682549	4011	8	4011	100	0	0
