sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.6	GCA_003188885	602	2	8904	4	100.0000	838	67	3.3861	264787	2	9130	3.44805447397342	100	264787	2	9130	3.44805447397342	12.2842133488427	84.2677321771839
rand.2	GCA_003100975	206	4	8667	6	100.0000	908	150	11.6251	93814	4	11266	12.0088686123606	100	93814	4	11266	12.0088686123606	13.7761954505724	74.214935937067
rand.96	GCA_003112285	243	3	1528	6	29.9608	169	15	1.1404	133729	4	1931	1.44396503376231	37.8627450980392	132891	4	1931	1.45307056158807	83.9989164051742	14.5480130332378
rand.67	GCA_003101195	99	8	8730	14	100.0000	917	110	25.8768	54060	9	16888	31.2393636699963	100	54060	9	16888	31.2393636699963	8.12615612282649	60.6344802071772
rand.84	GCA_003097815	594	3	9637	11	99.4530	734	99	3.7846	283993	3	11374	4.00502829295088	100	283603	3	11374	4.01053585469829	10.5732308896591	85.4162332556426
rand.86	GCA_003112285	8	1	5080	1	99.6078	523	47	45.4797	11216	4	9875	88.0438659058488	100	11216	4	9875	88.0438659058488	6.169757489301	5.78637660485021
rand.71	GCA_003102955	110	16	9176	32	100.0000	1038	120	23.4917	63699	17	15924	24.9988225874818	100	63361	17	15924	25.1321791007086	54.7339846277679	20.1338362715235
rand.42	GCA_003112285	9	5	3510	10	68.8235	352	40	65.8261	5393	6	4204	77.9529019098832	82.4313725490196	5393	6	4204	77.9529019098832	0	22.0470980901168
rand.5	GCA_003102695	92	5	3558	9	43.6083	468	43	7.0707	50278	5	3861	7.67930307490354	47.3219757323201	50278	5	3861	7.67930307490354	71.43283344604	20.8878634790564
rand.88	GCA_003112285	746	3	2056	6	40.3137	218	12	0.6769	324561	3	2295	0.707108987216579	45	323828	3	2295	0.708709561866176	10.7547834035352	88.5365070345986
rand.48	GCA_003112285	58	4	2134	8	41.8431	237	17	5.5855	38045	5	2505	6.58430805624918	49.1176470588235	38045	5	2505	6.58430805624918	78.851360231305	14.5643317124458
rand.80	GCA_003101195	29	3	5363	6	61.4318	668	99	33.7828	15795	4	5832	36.9230769230769	66.8041237113402	15795	4	5832	36.9230769230769	42.5704336815448	20.5064893953783
rand.75	GCA_003104595	637	8	9178	16	100.0000	893	163	4.6225	288436	9	14345	4.97337364267983	100	287775	9	14345	4.98479715055165	13.8479715055165	81.1672313439319
rand.3	GCA_003100495	29	6	6308	12	83.2080	702	48	25.2451	25910	6	7573	29.2280972597453	99.8944730246669	25910	6	7573	29.2280972597453	56.615206483983	14.1566962562717
rand.70	GCA_003100495	78	2	770	4	10.1570	96	4	1.6283	47288	2	807	1.70656403315852	10.6450336367234	47288	2	807	1.70656403315852	75.5265606496363	22.7668753172052
rand.74	GCA_003104595	166	6	9178	11	100.0000	838	163	17.1248	106781	6	18387	17.2193555033199	100	106781	6	18387	17.2193555033199	65.6624305822197	17.1182139144604
rand.32	GCA_003101195	66	2	8730	2	100.0000	1116	113	25.5793	35173	2	9363	26.6198504534728	100	35173	3	9693	27.5580701105962	13.4904614334859	58.9514684559179
rand.57	GCA_003112285	22	3	4686	6	91.8824	568	39	31.9129	14831	4	7855	52.9633874991572	100	14831	4	7855	52.9633874991572	16.8161283797451	30.2204841210977
rand.77	GCA_003188985	78	2	782	4	9.4708	106	15	1.9827	39592	2	791	1.9978783592645	9.57975051471479	39592	2	791	1.9978783592645	72.6459890887048	25.3561325520307
rand.82	GCA_003099635	515	1	8775	0	100.0000	812	134	3.8895	226019	1	9178	4.06072055889107	100	226019	1	9178	4.06072055889107	13.5094837159708	82.4297957251381
rand.58	GCA_003101215	687	7	8727	14	100.0000	868	124	3.8471	317666	7	13118	4.12949450051312	100	317666	7	13118	4.12949450051312	22.6234472685147	73.2470582309722
rand.49	GCA_003189165	69	11	6184	21	69.2110	734	69	19.6753	35908	11	7444	20.7307563774089	83.3128147733632	35908	11	7444	20.7307563774089	52.8266681519439	26.4425754706472
rand.1	GCA_003102955	625	12	9176	24	100.0000	927	103	4.9877	287249	12	14521	5.05519601460754	100	287249	12	14521	5.05519601460754	13.4590546877448	81.4857492976477
rand.34	GCA_003099855	763	1	8372	2	100.0000	1096	143	2.4620	347968	1	9253	2.65915256575317	100	347968	1	9253	2.65915256575317	10.1408750229906	87.1999724112562
rand.83	GCA_003104595	50	9	4936	18	53.7808	498	45	21.5961	23708	9	5358	22.5999662561161	58.3787317498366	23708	9	5358	22.5999662561161	13.1854226421461	64.2146111017378
rand.99	GCA_003099855	25	1	8372	2	100.0000	884	90	46.8743	18268	2	9793	53.6074009196409	100	18268	2	9793	53.6074009196409	18.8197941756076	27.5728049047515
rand.35	GCA_003100975	352	1	8667	0	100.0000	919	150	5.5453	154708	1	8936	5.77604260930269	100	154708	1	8936	5.77604260930269	12.9030172971016	81.3209400935957
rand.31	GCA_003112285	73	1	1023	2	20.0588	109	2	3.4335	29795	1	1024	3.436818258097	20.078431372549	29795	1	1024	3.436818258097	18.989763383118	77.573418358785
rand.54	GCA_003097815	703	12	8765	26	90.4541	514	104	5.4518	322736	12	17766	5.50480888404145	100	322736	12	17766	5.50480888404145	14.1787715036438	80.3164196123147
rand.72	GCA_003100975	571	18	8667	33	100.0000	329	23	8.7019	265906	24	27885	10.4867885643799	100	265906	24	27885	10.4867885643799	12.4762133987198	77.0369980369003
rand.87	GCA_003100195	48	7	6416	14	73.8065	673	48	25.0797	28230	7	7172	25.4055968827488	82.5031634648568	28230	7	7172	25.4055968827488	63.3652143110167	11.2291888062345
rand.100	GCA_003112285	800	3	1392	6	27.2941	135	8	0.3888	360118	4	1793	0.49789235750504	35.156862745098	360118	4	1793	0.49789235750504	8.93873674739946	90.5633708950955
rand.15	GCA_003112285	370	5	4735	10	92.8431	446	38	2.0393	270775	5	9472	3.49810728464592	100	267610	5	9472	3.53947909270954	81.1427076716117	15.3178132356788
rand.63	GCA_003112325	465	2	1145	4	21.5104	149	5	0.5540	206512	2	1351	0.654199271713024	25.3804245726094	206512	2	1351	0.654199271713024	11.363988533354	87.981812194933
rand.20	GCA_003112285	293	1	5063	2	99.2745	613	48	3.9761	127588	2	9540	7.47719221243377	100	127241	2	9540	7.49758332612916	12.4928285694077	80.0095881044632
rand.65	GCA_003112285	67	1	535	2	10.4902	48	0	1.8872	28349	1	538	1.89777417192846	10.5490196078431	28349	1	538	1.89777417192846	51.4621327030936	46.640093124978
rand.93	GCA_003855775	29	5	2024	10	22.9271	235	25	18.1635	11413	5	2101	18.4088320336458	23.7992750339828	11413	5	2101	18.4088320336458	56.1815473582757	25.4096206080785
rand.17	GCA_003112285	721	3	3317	6	65.0392	359	25	1.0080	332643	5	4995	1.50160983396614	97.9411764705882	332327	5	4995	1.50303767072793	21.6539733455302	76.8429889837419
rand.76	GCA_003112285	242	2	5036	4	98.7451	637	34	4.5517	110421	2	8397	7.60453174667862	100	110421	2	8397	7.60453174667862	12.0602059390877	80.3352623142337
rand.92	GCA_003112285	257	2	5080	3	99.6078	520	47	4.8137	117332	3	9500	8.09668291685133	100	117332	3	9500	8.09668291685133	12.8089523744588	79.0943647086899
