contig	length	gc	frequency	meanDepth	meanCov	S1_fre	S1_meanDepth	S1_meanCov	Specy
k141_2851	218	0.555045871559633	7	182.119453172906	0.926569081588537	667	675.124444760144	0.818301288377167	0
k141_3993	209	0.516746411483254	3	0.47805179708068	0.255324524353408	NA	NA	NA	0
k141_4567	249	0.51004016064257	5	4.59061802725514	0.669499080318709	555	81.8819002512253	0.618783827536146	0
k141_6087	286	0.646853146853147	5	6.06029533467717	0.675391309218298	575	299.996256506315	0.517820983227462	0
k141_8317	237	0.510548523206751	5	1.28325742818733	0.345929472230605	569	152.724943348061	0.547634937445171	0
k141_7720	488	0.532786885245902	7	20.333904785278	0.946564745398173	668	626.503795036223	0.78078683537699	0
k141_1108	1646	0.558930741190765	7	29.1720400012845	0.575379448406847	682	309.021551211972	0.480545701877576	0
k141_2001	303	0.590759075907591	3	0.286488862614917	0.197567131261226	NA	NA	NA	0
k141_1440	518	0.552123552123552	6	1.31922220385556	0.442699087477593	575	66.2395260513309	0.353679373841515	0
k141_6798	308	0.594155844155844	2	0.374085610932476	0.18524632521819	NA	NA	NA	0
k141_7073	205	0.531707317073171	6	20.5088127605469	0.772786831460301	618	231.504311271902	0.736787195027971	0
k141_5768	349	0.573065902578797	7	181.8152851966	0.91671082420322	676	452.697797928549	0.842712890000614	0
k141_561	1791	0.549972082635399	2	0.0162446249402771	0.0162446249402771	NA	NA	NA	0
k141_7287	887	0.576099210822999	5	1.4962016302758	0.415274410062965	66	0.162971978693483	0.0276211793085664	0
k141_6152	539	0.458256029684601	6	1.01644090975071	0.382961655703514	410	3.24134075583002	0.272452180971889	0
k141_1725	1190	0.594957983193277	7	130.47528883494	0.838307087481517	679	411.44997211192	0.695145653195539	0
k141_2178	281	0.544483985765125	7	103.114678714545	0.973275024295432	674	924.033390337934	0.859919348527449	0
k141_4349	753	0.51527224435591	5	1.01753933146096	0.513610644333678	364	11.2996344861187	0.14884123888738	0
k141_7445	284	0.475352112676056	7	3.42774345522656	0.870675056426907	592	199.69579829299	0.606840861434579	0
