sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.36	covid	2398	3	29804	6	99.6689	8	0	3.4661	860337	3	29820	3.46608363931808	99.7224358759991	852106	3	29820	3.49956460815908	9.93620512002028	86.5642302718206
rand.100	covid	1252	2	29855	4	99.8395	6	0	6.3649	469102	2	29858	6.36492703079501	99.8495134267465	468188	2	29858	6.37735268738199	8.28064794484267	85.3419993677753
rand.71	covid	4576	1	246	2	0.8227	0	0	0.0156	1574738	1	246	0.0156216462675061	0.822659933785908	1574353	1	246	0.0156254664614607	2.81118656362328	97.1731879699153
rand.79	covid	4356	19	20711	38	69.2606	2	0	1.0600	1956096	19	20735	1.06001954914278	69.3408688091496	1955849	19	20735	1.0601534167515	2.57898232430009	96.3608642589484
rand.97	covid	1349	28	15896	56	53.1585	0	2	2.8751	553063	28	15902	2.87526014215379	53.1786108417216	549527	28	15902	2.89376136204409	3.42367163032936	93.6825670076266
rand.9	covid	4837	2	535	4	1.7891	2	0	0.0385	1390490	2	535	0.0384756452761257	1.78911814868073	1389805	2	535	0.0384946089559327	3.1062631088534	96.8552422821907
rand.7	covid	777	1	29801	2	99.6589	2	0	10.7401	277473	1	29801	10.7401440860913	99.6588971006254	277121	1	29801	10.7537862522147	9.31975563021207	79.9264581175732
rand.3	covid	539	7	3510	14	11.7380	0	0	2.0739	169249	7	3510	2.07386749700146	11.7379527137745	162494	7	3510	2.16007975679102	6.47593141900624	91.3639888242027
rand.70	covid	5706	2	29855	4	99.8395	4	0	1.5579	1917189	2	29869	1.55795803126348	99.8862990335418	1917189	2	29869	1.55795803126348	3.5410697641182	94.9009722046183
rand.82	covid	6867	5	28690	10	95.9436	8	0	0.9214	3113660	5	28690	0.921423662185338	95.9435508142996	3112335	5	28690	0.921815935623897	1.37414513540477	97.7040389289713
rand.67	covid	6772	3	26691	6	89.2586	6	0	0.6580	4058229	3	26703	0.657996382165718	89.2987325686386	4057122	3	26703	0.658175918791695	1.92466482398114	97.4171592572272
rand.65	covid	2353	1	258	2	0.8628	0	0	0.0308	837958	1	258	0.030789132629559	0.862789686653513	837226	1	258	0.0308160520576284	0.810892160539687	99.1582917874027
rand.19	covid	10066	1	29801	2	99.6589	2	0	0.6789	4389715	1	29801	0.678882342019926	99.6588971006254	4388665	1	29801	0.679044766460871	1.11494042037841	98.2060148131607
rand.35	covid	2194	29	16136	58	53.9611	0	2	1.8317	881206	29	16142	1.83180777252992	53.9812058990737	852016	29	16142	1.89456536027492	7.87133105481587	90.2341035849092
rand.6	covid	14627	3	29792	6	99.6288	6	0	0.4285	6955076	3	29804	0.428521557492686	99.6689295388422	6928843	3	29804	0.430143964872635	2.5183425284712	97.0515135066561
rand.29	covid	487	17	13244	34	44.2899	4	0	7.5241	176022	17	13258	7.53201304382407	44.3366886265592	173744	17	13258	7.63076710562667	6.74440556220646	85.6248273321669
rand.30	covid	17150	2	885	4	2.9596	2	0	0.0110	8042217	2	885	0.0110044282565367	2.95956927398589	8023180	2	885	0.0110305390132092	3.49810175017886	96.4908677108079
rand.78	covid	806	2	1915	4	6.4040	0	0	0.6801	281568	2	1915	0.680119899988635	6.40403972845534	281568	2	1915	0.680119899988635	1.44831799068076	97.8715621093306
rand.16	covid	8808	1	29801	2	99.6589	2	0	0.5844	5099081	1	29801	0.584438646885586	99.6588971006254	5097547	1	29801	0.584614521455123	2.5585247178692	96.8568607606757
rand.62	covid	2907	2	27249	4	91.1246	4	0	2.6705	1020367	2	27249	2.67050972836244	91.1246363241146	1020062	2	27249	2.67130821459872	7.08692216747609	90.2417696179252
rand.92	covid	10896	23	28776	46	96.2311	4	0	0.5319	5423541	23	28846	0.531866542541118	96.4652376015784	5413603	23	28846	0.532842914413931	3.19722373435954	96.2699333512265
rand.98	covid	1743	1	29801	2	99.6589	2	0	4.9127	606611	1	29801	4.91270352829078	99.6588971006254	605388	1	29801	4.92262813270167	3.20191348358408	91.8754583837142
rand.46	covid	755	3	29766	6	99.5419	6	0	11.0180	270158	3	29767	11.0183670296641	99.5451961341671	270158	3	29767	11.0183670296641	4.66800909097639	84.3136238793595
rand.60	covid	1603	26	21873	52	73.1465	6	0	3.4803	629426	26	21908	3.48063155954791	73.263552151958	628979	26	21908	3.48310515931374	10.2407234581759	86.2761713825104
