contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k141_135	335	0.540298507462687	1	1.32703488372093	0.5	73	0.294320015061673	0.0490790169648689	N	N
k141_47	355	0.453521126760563	1	1.46603260869565	0.5	68	0.321404740500153	0.0481228760136511	N	N
k141_178	582	0.400343642611684	2	3.93062295784455	0.662445765707858	12	0.00290036084774895	0.00262991015692011	Y	N
k141_198	554	0.427797833935018	1	3.75123966942149	0.5	16	0.00536484652261065	0.00415429218467329	N	N
k141_116	368	0.418478260869565	1	1.21052631578948	0.389473684210527	160	0.758604544511432	0.0960117473531529	N	N
k141_268	367	0.435967302452316	1	0.810160427807485	0.5	8	0.00220337639692479	0.00220337639692479	N	N
k141_251	426	0.415492957746479	1	3.16594360086768	0.5	11	0.00253129310328865	0.00231179227143344	N	N
k141_17	409	0.444987775061125	1	0.73798076923077	0.5	23	0.0117764941239896	0.0081149530450559	N	N
k141_92	671	0.400894187779434	1	2.12731152204837	0.495732574679943	145	0.386654449227912	0.0621763149777491	N	N
k141_158	483	0.432712215320911	1	2.29474708171206	0.498054474708171	41	0.0170745730214407	0.0101562028600924	N	N
k141_55	329	0.401215805471125	1	2.07080924855491	0.5	5	0.00142864679763596	0.00142864679763596	N	N
k141_275	338	0.405325443786982	1	0.891304347826085	0.5	11	0.00299453673383891	0.00243483919065589	N	N
k141_82	314	0.378980891719745	1	2.60179640718563	0.5	23	0.0117162041003681	0.0080316897609389	N	N
k141_231	390	0.453846153846154	1	2.70072115384616	0.5	97	0.345082432419956	0.0605564337997168	N	N
k141_125	416	0.432692307692308	1	1.25291375291376	0.5	83	0.0996855063160824	0.0275157370455321	N	N
k141_266	325	0.344615384615385	1	3.2378223495702	0.5	20	0.0099060328767685	0.00635731292168833	N	N
k141_264	723	0.51313969571231	1	3.30739795918368	0.5	0	0	0	N	N
k141_98	771	0.43579766536965	1	3.1753640776699	0.5	37	0.0129244925404122	0.00854917943345223	N	N
k141_259	602	0.406976744186047	1	1.51275917065391	0.5	39	0.0258727121266325	0.0138164377971213	N	N
k141_4	304	0.401315789473684	2	1.20814681714058	0.54415967887691	84	0.299426546152784	0.0562400701671318	N	N
k141_0	332	0.478915662650602	1	1.34839650145773	0.4067055393586	10	0.00449509154312501	0.00329674927767656	N	N
k141_72	677	0.344165435745938	1	1.55263157894737	0.5	16	0.00398274643133132	0.00360817561474914	N	N
k141_179	492	0.453252032520325	1	2.00096899224806	0.414728682170542	18	0.00554311289601494	0.00442252131906559	N	N
k141_230	343	0.396501457725948	1	3.28918918918919	0.5	10	0.0031402816592763	0.00309470557760396	N	N
k141_212	388	0.347938144329897	1	4.41046511627907	0.5	11	0.00494107680225921	0.00318133758551179	N	N
k141_243	412	0.424757281553398	1	2.02314814814815	0.5	86	0.263687014545552	0.0434743761178661	N	N
k141_276	626	0.549520766773163	1	2.14848484848485	0.5	0	0	0	N	N
k141_217	847	0.396694214876033	1	5.2507953340403	0.5	28	0.0101090758290225	0.00575424496620484	N	N
