fragment	sample	count	start	alignment
k141_396	21JS836529-1DL-UDB-121-S200033143-L1-NA	1	1094	11S29M10S
k141_396	21JS836484-1RL-UDB-120-S200028699-L1-NA	1	1094	12S29M9S
k141_396	21JS836484-1RL-UDB-120-S200028699-L1-NA	2	1094	12S29M9S
k141_396	MBX5660901-1DL-UDB-102-S200035309-L1-NA	1	1094	11S29M10S
k141_396	MAX75109-1DL-AD-UDB-97-S200038121-L1-NA	1	1094	20S29M1S
k141_396	20JS80421-1DL-UDB-169-S200028724-L1-NA	1	1094	18S29M3S
k141_396	ZZ22JS000347-AD-1D-1L-UDB-105-S250007158-L1-NA	1	1094	12S29M9S
k141_396	MBX63622-1RL-UDB-191-S200027817-L1-NA	1	1094	16S28M6S
k141_396	ZZ21JS934504-1D-1L-UDB-110-S250006875-L1-NA	1	1094	11S29M10S
k141_396	ZZ22JS021595-1R-1L-UDB-135-S250015156-L1-NA	1	1097	19S26M5S
k141_396	ZZ22JS000118-1D-1L-UDB-129-S200043030-L1-NA	1	1094	4S8M1D22M16S
k141_396	MAX67191-1DL-UDB-125_PART1-S200029002-L1-NA	1	1095	18S29M3S
k141_396	ZZ21JS942741-1D-1L-UDB-160-S250006977-L1-NA	1	1094	11S29M10S
k141_396	ZZMAX21786-AD-2D-1L-UDB-159-S250007227-L1-NA	1	1094	4S29M17S
k141_396	21JS942195-1DL-UDB-147_PART1-S200042469-L1-NA	1	1094	12S29M9S
k141_396	21JS942378-1DL-UDB-163-S200038046-L1-NA	1	1094	10S29M11S
k141_396	MAX74858-1RL-UDB-109-S200032951-L1-NA	2	1094	10S29M11S
k141_396	21JS942195-1DL-UDB-147-S200042469-L1-NA	1	1094	12S29M9S
k141_396	21JS820313-1DL-AD-UDB-110-S200035229-L1-NA	1	1094	7S29M14S
k141_396	ZZMAX89791-AD-1D-1L-UDB-114-S250015125-L1-NA	1	1094	2S29M19S
k141_396	MAX82294-1DL-UDB-149-S200037954-L1-NA	1	1094	11S29M10S
k141_396	21JS942027-1DL-DH-UDB-132-S200037836-L1-NA	1	1094	8S29M13S
k141_396	21JS836496-1RL-UDB-127-S200029018-L1-NA	1	1094	7S29M14S
k141_396	MAX74858-1RL-UDB-109-S200032951-L1-NA	1	1094	10S29M11S
k141_396	20JS80431-1DL-UDB-111-S200028705-L1-NA	1	1094	11S29M10S
k141_396	ZZ22JS000413-AD-2D-1L-UDB-119-S250007150-L1-NA	1	1094	20S29M1S
k141_396	MAX67191-1DL-UDB-125-S200029002-L1-NA	1	1095	18S29M3S
k141_396	MBX101381-1DL-UDB-149-S200038640-L1-NA	1	1094	12S29M9S
k141_396	ZZ22JS022494-AD-1D-1L-UDB-187-S250011302-L1-NA	1	1094	16S33M1S
k141_396	MAX85196-1DL-AD-UDB-106-S200035229-L1-NA	1	1094	7S29M14S
