sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.72	covid	114	38	15765	76	52.7205	62	44	41.2788	38240	38	15789	41.2892259414226	52.8007595623216
rand.84	covid	50	2	29860	4	99.8562	166	58	68.4447	43644	2	29908	68.5271744111447	100
rand.90	covid	39	27	28884	54	96.5923	167	56	90.0709	32148	27	28957	90.0740325992286	96.8364226249827
rand.75	covid	72	2	29825	4	99.7392	186	64	54.2114	54946	2	29805	54.2441670003276	99.6723170494552
rand.16	covid	63	3	29779	6	99.5853	143	58	59.7218	50114	3	29964	59.7916749810432	100
rand.88	covid	12	6	29541	12	98.7894	196	70	95.5645	30887	6	29536	95.6259915174669	98.772679272875
rand.18	covid	341	1	29823	2	99.7325	204	70	23.9346	124368	1	29830	23.9852695227068	99.7559090299433
rand.30	covid	10	6	29647	12	99.1439	101	56	94.3069	31424	6	29660	94.3864562118126	99.1873738995514
rand.85	covid	918	1	29838	2	99.7826	171	56	7.1499	416536	1	29782	7.14992221560681	99.5953278772036
rand.79	covid	36	1	29845	2	99.8060	151	56	77.3318	38521	1	29842	77.4694322577296	99.7959675657564
rand.54	covid	15	1	29855	2	99.8395	198	70	85.1595	34992	1	29799	85.1594650205761	99.6522277842907
rand.82	covid	22	1	29830	2	99.7559	194	70	76.8282	38754	1	29774	76.8281983795221	99.5686277774053
rand.48	covid	1681	10	29469	20	98.5486	75	44	1.5129	1947637	10	29481	1.51368042402152	98.5887297363331
rand.76	covid	17	2	29832	4	99.7626	155	56	82.4774	36119	2	29832	82.5936487721144	99.7626
rand.6	covid	27	2	29842	4	99.7960	156	56	46.4272	64264	2	29843	46.4381302128719	99.7993441458347
rand.26	covid	417	38	13536	76	45.2664	73	20	1.0030	1360147	38	13675	1.00540603331846	45.7312367021277
rand.71	covid	99	3	29826	6	99.7425	155	56	49.3786	60350	3	29841	49.4465617232809	99.7926621907061
rand.25	covid	14	1	29813	2	99.6990	150	64	84.8819	35064	1	29797	84.9788957335159	99.6454936772549
rand.97	covid	31	24	28242	48	94.4454	71	0	92.0504	30769	24	28389	92.2649419870649	94.9369896112173
rand.80	covid	16	1	29844	2	99.8027	175	56	85.7579	34735	1	29788	85.7578810997553	99.6154278112854
rand.100	covid	217	1	29854	2	99.8361	131	59	27.5548	108130	1	29795	27.5547951539813	99.6387954545455
rand.65	covid	3	1	29833	2	99.7659	200	67	95.6787	31125	1	29841	95.8746987951807	99.7926531659572
rand.62	covid	23	12	29415	24	98.3681	83	18	90.9113	32414	12	29508	91.0347380761399	98.6791057215706
rand.73	covid	30	5	29749	10	99.4850	191	56	72.9056	40728	5	29745	73.0332940483206	99.4716234159131
rand.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.20	covid	20	3	29804	6	99.6689	194	70	87.2928	34091	3	29759	87.2928338857763	99.5184134713461
rand.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.51	covid	831	8	29767	16	99.5452	137	56	6.4340	463478	8	29830	6.43611994528327	99.7558812107367
