sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.17	GCA_003112285	105	3	3317	6	65.0392	359	25	5.5933	59947	5	4995	8.33236025155554	97.9411764705882	59631	5	4995	8.37651557076017	85.3448709563817	6.27861347285808
rand.20	GCA_003112285	22	1	5063	2	99.2745	613	48	29.6945	17084	2	9540	55.8417232498244	100	17084	2	9540	55.8417232498244	36.0922500585343	8.06602669164131
rand.77	GCA_003188985	51	2	782	4	9.4708	106	15	2.7985	28051	2	791	2.81986381947168	9.57975051471479	28051	2	791	2.81986381947168	93.1339346190867	4.04620156144165
rand.74	GCA_003100975	115	5	8667	11	100.0000	747	120	20.2537	80953	6	18387	22.7131792521587	100	80953	6	18387	22.7131792521587	75.5920101787457	1.69481056909565
rand.3	GCA_003100495	24	6	6308	12	83.2080	702	48	29.4083	22242	6	7573	34.0481971045769	99.8944730246669	22242	6	7573	34.0481971045769	65.9518028954231	0
rand.76	GCA_003112285	16	2	5036	4	98.7451	637	34	37.0758	13556	2	8397	61.9430510475066	100	13556	2	8397	61.9430510475066	28.4302154027737	9.62673354971968
rand.54	GCA_003097815	59	12	8765	26	90.4541	514	104	47.9258	36713	12	17766	48.3915779151799	100	36713	12	17766	48.3915779151799	41.4948383406423	10.1135837441778
rand.48	GCA_003112285	44	4	2134	8	41.8431	237	17	6.5056	32664	5	2505	7.66899338721528	49.1176470588235	32664	5	2505	7.66899338721528	91.100293901543	1.23071271124174
rand.88	GCA_003112285	61	3	2056	6	40.3137	218	12	8.6133	25507	3	2295	8.99753008977928	45	24229	3	2295	9.4721201865533	57.6623055016716	32.8655743117751
rand.1	GCA_003102955	47	12	9176	24	100.0000	927	103	42.7659	33501	12	14521	43.3449747768723	100	33501	12	14521	43.3449747768723	53.7088445121041	2.94618071102356
rand.80	GCA_003101195	18	3	5363	6	61.4318	668	99	45.3395	11769	4	5832	49.55391282182	66.8041237113402	11769	4	5832	49.55391282182	37.811198912397	12.634888265783
rand.57	GCA_003112285	9	3	4686	6	91.8824	568	39	48.3354	9792	4	7855	80.218545751634	100	9792	4	7855	80.218545751634	15.5841503267974	4.19730392156863
rand.99	GCA_003097795	11	2	9643	4	100.0000	782	121	74.5356	13136	2	9793	74.5508526187576	100	13136	2	9793	74.5508526187576	20.2192448233861	5.22990255785627
