sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.30	LT605058	102	3	18850	6	99.4251	771	2	26.2440	72386	3	19148	26.4526289614014	100	72386	3	19148	26.4526289614014	1.48233083745476	72.0650402011439
rand.55	AF086833	54	2	962	4	5.0741	17	0	3.2557	29548	2	985	3.33355895492081	5.19542169945672	29548	2	985	3.33355895492081	0	96.6664410450792
rand.58	LT605058	30	2	18853	6	99.4409	777	3	53.8810	35146	2	18971	53.9776930518409	100	35146	2	18971	53.9776930518409	1.19216980595231	44.8301371422068
rand.72	AF086833	45	1	206	2	1.0866	3	0	0.9531	21614	1	310	1.43425557509022	1.63510733688486	21614	1	310	1.43425557509022	0	98.5657444249098
rand.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.100	KU182898	78	9	8125	18	42.8556	130	0	16.9396	47994	9	8402	17.5063549610368	44.316683369376	47994	9	8402	17.5063549610368	4.77351335583615	77.7201316831271
rand.69	LT605058	59	3	18853	8	99.4409	773	2	41.4013	45873	3	19128	41.6977306912563	100	45873	3	19128	41.6977306912563	0.736816863950472	57.5654524447932
rand.44	LT605058	20	1	18858	2	99.4673	778	2	64.8175	29094	1	18915	65.0134048257373	99.7679202489583	29094	1	18915	65.0134048257373	0	34.9865951742627
rand.39	LT605058	143	3	18801	8	99.1666	778	2	20.6649	93613	3	20048	21.4158289981092	100	93613	3	20048	21.4158289981092	25.2635851858182	53.3205858160726
rand.48	LT605058	53	1	18858	4	99.4673	778	2	39.4597	48006	1	18974	39.5242261383994	100	48006	1	18974	39.5242261383994	0.704078656834562	59.7716952047661
rand.92	LT605058	33	1	18858	2	99.4673	778	2	45.0405	41869	1	18938	45.2315555661707	99.8892346642755	41869	1	18938	45.2315555661707	0	54.7684444338293
rand.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.93	KU182898	51	19	11864	44	62.5771	151	1	41.8216	28985	19	12724	43.8985682249439	67.1132443694288	28323	19	12724	44.9246195671362	1.18984570843484	53.8855347244289
rand.90	LT605058	20	1	18853	4	99.4409	772	2	70.3163	26907	1	18929	70.3497231203776	99.8417638061079	26907	1	18929	70.3497231203776	0	29.6502768796224
rand.54	LT605058	24	1	622	2	3.2808	22	0	5.6132	11081	1	637	5.74857864813645	3.35988185030856	11081	1	637	5.74857864813645	0	94.2514213518636
rand.43	LT605058	117	2	18898	4	99.6783	777	2	24.4749	77802	2	19621	25.2191460373769	100	76884	2	19621	25.5202642942615	8.00036418500598	66.4793715207325
rand.74	AF086833	78	17	12951	38	68.3106	251	0	26.9128	49181	17	13709	27.8745857139952	72.3086660688855	49181	17	13709	27.8745857139952	4.01577845102784	68.1096358349769
rand.23	LT605058	23	1	18853	4	99.4409	772	2	63.1973	29938	1	18929	63.2273364954239	99.8417638061079	29938	1	18929	63.2273364954239	0	36.7726635045761
