contig	length	gc	frequency	meanDepth	meanCov	S1_fre	S1_meanDepth	S1_meanCov	Specy
k81_31	247	0.433198380566802	1	1.3992125984252	0.2	NA	NA	NA	0
k81_2	278	0.489208633093525	4	10.8462409189881	0.568879030435458	8	0.0105249254644758	0.00413170882287163	0
k81_118	370	0.345945945945946	4	32.1642495429074	0.369338773369644	0	0	0	1
k81_116	245	0.36734693877551	3	2.1826102189781	0.519410218978102	145	0.316587426787216	0.0905496897657169	0
k81_8	322	0.611801242236025	5	7.76897913423687	0.679128375407324	197	1.62455339357188	0.148335973844333	0
k81_93	288	0.416666666666667	1	1.13137254901961	0.2	NA	NA	NA	0
k81_124	253	0.347826086956522	4	11.7460949522864	0.696414544928672	326	4.20128512974737	0.258940632914539	0
k81_71	690	0.414492753623188	2	1.8398139088729	0.229640287769784	NA	NA	NA	0
k81_53	292	0.35958904109589	5	12.924746933299	0.783900935422855	320	3.95520137345922	0.254196966175288	0
k81_6	423	0.399527186761229	3	11.4984019732883	0.450662810524252	0	0	0	1
k81_117	347	0.62536023054755	4	9.08935176169586	0.48816231999079	575	3475.15962696409	0.630988793340124	0
k81_4	254	0.34251968503937	1	0.478625954198474	0.168702290076336	NA	NA	NA	0
k81_104	259	0.405405405405405	5	4.36878487309032	0.549670588807313	94	0.28750327144648	0.0612342866155459	0
k81_34	322	0.714285714285714	1	1.5625730994152	0.198830409356725	NA	NA	NA	0
k81_74	959	0.551616266944734	5	46.1884761341178	0.586214221303711	1	0.000145616650471019	0.000145616650471019	0
k81_38	444	0.439189189189189	4	4.74260467128107	0.459684942442164	18	0.0756809761446261	0.00632168321323272	0
k81_1	318	0.336477987421384	2	6.01715886141066	0.288057767785695	NA	NA	NA	0
k81_78	325	0.532307692307692	1	1.18571428571429	0.2	NA	NA	NA	0
k81_52	250	0.448	2	31.1703055175559	0.289411764705882	NA	NA	NA	0
k81_56	287	0.390243902439024	2	1.75238095238095	0.332789115646259	NA	NA	NA	0
k81_3	360	0.572222222222222	1	1.68241469816273	0.2	NA	NA	NA	0
k81_18	270	0.392592592592593	2	6.55438485136994	0.304702210938326	NA	NA	NA	0
k81_21	427	0.34192037470726	5	5.464666388071	0.575801957503279	16	0.0192210322471725	0.0058269480766327	0
k81_44	288	0.604166666666667	1	1.06312292358804	0.2	NA	NA	NA	0
k81_95	264	0.484848484848485	1	0.304477611940298	0.152238805970149	NA	NA	NA	0
k81_81	294	0.404761904761905	2	2.17818053957295	0.265522311724843	NA	NA	NA	0
k81_97	749	0.41388518024032	4	8.85072179810965	0.507633976710494	34	0.0340055793711219	0.00831826314846961	0
k81_7	247	0.465587044534413	1	0.489328063241106	0.177865612648221	NA	NA	NA	0
k81_102	399	0.355889724310777	3	12.5440509041254	0.31714795190575	0	0	0	1
k81_113	245	0.391836734693878	2	4.33076304790483	0.282258064516129	NA	NA	NA	0
k81_120	253	0.505928853754941	1	1.58374558303887	0.19434628975265	NA	NA	NA	0
k81_109	292	0.606164383561644	2	0.487387755102041	0.227387755102041	NA	NA	NA	0
k81_48	270	0.322222222222222	1	3.4361010830325	0.2	NA	NA	NA	0
k81_111	283	0.445229681978799	3	1.1446245557721	0.342657342657343	192	0.787304714180624	0.142227887928481	0
k81_14	321	0.364485981308411	2	1.13994669160627	0.237994856207622	NA	NA	NA	0
k81_57	673	0.37444279346211	4	3.82319601634474	0.422007975847542	227	0.934846485246597	0.0967326252727796	0
k81_61	292	0.393835616438356	4	7.11986814091456	0.513968595884587	11	0.00619354820138639	0.00523442833491092	0
k81_55	328	0.375	3	4.36272102918629	0.342712501020658	0	0	0	1
k81_96	243	0.48559670781893	1	1.58294573643411	0.2	NA	NA	NA	0
k81_92	680	0.357352941176471	3	3.00689928575557	0.281444434544451	25	0.0183585064864309	0.00747220719410627	0
