contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k49_8988	2670	0.603370786516854	2	1.79926696737917	0.181314702813413	236	0.373559903559368	0.0141181925488973	N	N
k49_12216	346	0.638728323699422	2	0.904533374400248	0.179011012740229	82	0.152464337714659	0.011606066141555	N	N
k49_4761	284	0.566901408450704	2	1.06890215534261	0.17858106285406	75	0.220138026565643	0.012111157379209	N	N
k49_4459	274	0.638686131386861	2	0.864646464646464	0.181246426529445	76	0.139424619300662	0.0117604149962488	N	N
k49_1878	226	0.5	4	6.30330979768558	0.287408030933854	105	1.41599118820557	0.0258258649458425	N	N
k49_4775	208	0.663461538461538	2	0.685707587061553	0.174854932301741	76	0.130747770970987	0.0143256800347137	N	N
k49_3253	300	0.606666666666667	2	0.75585744664692	0.179160021265284	79	0.112763421677631	0.0117436334847768	N	N
k49_405	704	0.620738636363636	2	1.22161750596265	0.179656809319366	134	0.230654396047143	0.0145272147185781	N	N
k49_397	1751	0.638492290119931	2	1.17228687122554	0.180744621462619	279	0.237135206202092	0.0179114050811744	N	N
k49_9399	210	0.642857142857143	2	0.795022290178773	0.15946993890362	60	0.0993683639637953	0.0101752591335721	N	N
k49_11165	216	0.592592592592593	2	0.875607173852788	0.179977916820022	90	0.213293204660995	0.0162539355679493	N	N
k49_733	259	0.644787644787645	2	0.633453703601139	0.172727272727273	35	0.13359549225532	0.00849467722760406	N	N
k49_9378	625	0.6	2	1.06497687919035	0.181082392269164	185	0.207584389529936	0.0173277474444297	N	N
k49_11159	208	0.653846153846154	3	0.552342481500784	0.189500083723888	49	0.0852491279734305	0.00950415756170985	N	N
k49_8157	313	0.600638977635783	2	0.707097128223888	0.175160051216389	58	0.119060023705586	0.00973055861493742	N	N
k49_8505	281	0.697508896797153	2	1.125754283172	0.178362573099415	78	0.146062809281927	0.0139362246879134	N	N
k49_997	247	0.647773279352227	2	0.592589901573278	0.173128342245989	186	0.157222001983047	0.0244888883399529	N	N
k49_3432	377	0.618037135278515	2	1.19720152801141	0.177159061682057	74	0.147226679205974	0.0120074842918218	N	N
