sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.48	KU182898	53	1	18858	4	99.4673	246	0	39.4597	48006	1	18974	39.5242261383994	100	48006	1	18974	39.5242261383994	0.704078656834562	59.7716952047661
rand.29	KU182898	59	1	18857	2	99.4620	246	0	37.2124	50674	1	18876	37.2498717290918	99.5622131968986	50674	1	18876	37.2498717290918	3.87970162213364	58.8704266487745
rand.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.76	KU182898	204	1	18873	2	99.5464	246	0	15.1835	124299	1	18913	15.2157298127901	99.7573711693655	123864	1	18913	15.2691661822644	24.6334689659627	60.0973648517729
rand.78	KU182898	10	1	18853	2	99.4409	244	0	83.8545	22483	1	18929	84.1925010007561	99.8417638061079	22483	1	18929	84.1925010007561	1.28986345238625	14.5176355468576
rand.45	KU182898	26	1	18858	2	99.4673	246	0	56.5423	33352	1	18908	56.6922523386903	99.7309984703835	33352	1	18908	56.6922523386903	4.11369633005517	39.1940513312545
rand.59	KU182898	136	2	18873	4	99.5464	246	0	21.9186	86762	2	19617	22.6101288582559	100	86762	2	19617	22.6101288582559	10.7316567160739	66.6582144256702
rand.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.74	KU182898	78	17	12951	38	68.3106	166	0	26.9128	49181	17	13709	27.8745857139952	72.3086660688855	49181	17	13709	27.8745857139952	4.01577845102784	68.1096358349769
rand.40	KU182898	129	1	18873	2	99.5464	246	0	20.5707	91747	1	18913	20.614298015194	99.7573711693655	91747	1	18913	20.614298015194	27.0330365025559	52.3526654822501
rand.64	KU182898	28	1	401	2	2.1151	4	0	1.7731	22616	1	417	1.84382737884683	2.19948309509995	22616	1	417	1.84382737884683	1.72886452069331	96.4273081004598
rand.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.41	KU182898	46	1	18858	4	99.4673	246	0	42.8575	44200	1	18975	42.9298642533937	100	44200	1	18975	42.9298642533937	0	57.0701357466063
rand.43	KU182898	115	2	18898	4	99.6783	246	0	24.7366	76979	2	19621	25.4887696644539	100	76061	2	19621	25.7964002576879	7.00490395866476	67.1986957836473
rand.96	KU182898	101	2	18858	6	99.4673	245	0	27.0962	70390	2	19723	28.0196050575366	100	70390	2	19723	28.0196050575366	7.43571530046882	64.5446796419946
rand.30	KU182898	102	3	18850	6	99.4251	246	0	26.2468	72386	3	19148	26.4526289614014	100	72386	3	19148	26.4526289614014	1.48233083745476	72.0650402011439
rand.42	KU182898	155	2	18873	4	99.5464	246	0	19.6632	97080	2	19686	20.2781211372064	100	97080	2	19686	20.2781211372064	9.74557066337042	69.9763081994232
rand.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
