sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.98	covid	9	1	29801	2	99.6589	2	0	91.3917	32608	1	29801	91.3916830225711	99.6588971006254	32608	1	29801	91.3916830225711	1.27882728164868	7.32948969578018
rand.60	covid	44	26	21873	52	73.1465	6	0	77.5324	28254	26	21908	77.5394634388051	73.263552151958	28254	26	21908	77.5394634388051	22.4605365611949	0
rand.67	covid	52	3	26691	6	89.2586	6	0	61.7202	43263	3	26703	61.7224880382775	89.2987325686386	42156	3	26703	63.3432963279248	36.6851693709081	0
rand.16	covid	53	1	29801	2	99.6589	2	0	60.9714	48877	1	29801	60.9714180493893	99.6588971006254	47860	1	29801	62.2670288340995	29.7994149603009	7.93355620559966
rand.79	covid	47	19	20711	38	69.2606	2	0	70.3764	29463	19	20735	70.3764043037029	69.3408688091496	29463	19	20735	70.3764043037029	28.6732511964158	0.950344499881215
rand.70	covid	25	2	29855	4	99.8395	4	0	78.5622	38017	2	29869	78.5674829681458	99.8862990335418	38017	2	29869	78.5674829681458	19.9226661756583	1.50985085619592
rand.9	covid	20	2	535	4	1.7891	2	0	7.9732	6710	2	535	7.97317436661699	1.78911814868073	6710	2	535	7.97317436661699	84.2026825633383	7.82414307004471
rand.35	covid	70	29	16136	58	53.9611	0	2	52.4928	30749	29	16142	52.4960161306059	53.9812058990737	29104	29	16142	55.4631665750412	38.4826827927433	6.0541506322155
rand.97	covid	41	28	15896	56	53.1585	0	2	79.0623	20112	28	15902	79.0672235481305	53.1786108417216	19852	28	15902	80.102760427161	18.0938948216804	1.80334475115858
rand.100	covid	47	2	29855	4	99.8395	6	0	68.9147	43326	2	29858	68.9147394174399	99.8495134267465	42412	2	29858	70.3998868244836	17.4125247571442	12.1875884183722
rand.92	covid	101	23	28776	46	96.2311	4	0	50.6568	56944	23	28846	50.6567856139365	96.4652376015784	56086	23	28846	51.4317298434547	44.9898370359805	3.57843312056485
rand.6	covid	152	3	29792	6	99.6288	6	0	37.2673	79971	3	29804	37.2685098348151	99.6689295388422	76519	3	29804	38.9498033168233	50.179693932226	10.8705027509507
rand.62	covid	77	2	27249	4	91.1246	4	0	51.8347	52569	2	27249	51.8347314957484	91.1246363241146	52569	2	27249	51.8347314957484	41.3741939165668	6.79107458768476
rand.78	covid	5	2	1915	4	6.4040	0	0	68.0768	2813	2	1915	68.0767863490935	6.40403972845534	2813	2	1915	68.0767863490935	10.7003199431212	21.2228937077853
rand.46	covid	8	3	29766	6	99.5419	6	0	95.3519	31217	3	29767	95.3550949802992	99.5451961341671	31217	3	29767	95.3550949802992	3.85366947496556	0.791235544735237
rand.19	covid	48	1	29801	2	99.6589	2	0	65.6005	45428	1	29801	65.6005106982478	99.6588971006254	45428	1	29801	65.6005106982478	26.7192040151448	7.68028528660738
rand.71	covid	29	1	246	2	0.8227	0	0	2.8904	8511	1	246	2.89037715897074	0.822659933785908	8511	1	246	2.89037715897074	63.1065679708612	34.003054870168
rand.30	covid	122	2	885	4	2.9596	2	0	2.1077	41988	2	885	2.10774507002001	2.95956927398589	40093	2	885	2.20736786970294	89.0654228917766	8.72720923852044
rand.36	covid	59	3	29804	6	99.6689	8	0	55.7602	53479	3	29820	55.7602049402569	99.7224358759991	53479	3	29820	55.7602049402569	43.0393238467436	1.2004712129995
rand.3	covid	17	7	3510	14	11.7380	0	0	55.9273	6276	7	3510	55.9273422562142	11.7379527137745	6034	7	3510	58.1703679151475	20.9976798143852	20.8319522704673
rand.82	covid	35	5	28690	10	95.9436	8	0	76.2951	37604	5	28690	76.2950749920221	95.9435508142996	37604	5	28690	76.2950749920221	19.4234655887672	4.28145941921073
rand.29	covid	31	17	13244	34	44.2899	4	0	68.7678	19259	17	13258	68.8405420842204	44.3366886265592	17925	17	13258	73.9637377963738	19.6150627615063	6.42119944211995
rand.7	covid	18	1	29801	2	99.6589	2	0	84.7558	35161	1	29801	84.7558374335201	99.6588971006254	35161	1	29801	84.7558374335201	9.53044566423026	5.71371690224965
rand.65	covid	2	1	258	2	0.8628	0	0	47.3394	545	1	258	47.3394495412844	0.862789686653513	545	1	258	47.3394495412844	52.6605504587156	0
