sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.3	GCA_003100495	71	6	6308	12	83.2080	702	48	13.3080	49151	6	7573	15.4076214115684	99.8944730246669	49151	6	7573	15.4076214115684	29.8447640943216	54.74761449411
rand.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.84	GCA_003097815	1640	3	9637	11	99.4530	734	99	1.3803	778684	3	11374	1.46066953989038	100	778294	3	11374	1.46140147553495	4.03176691584414	94.5068316086209
rand.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.35	GCA_003187725	864	1	8688	0	100.0000	929	178	2.2684	378321	1	8936	2.36201532560973	100	378321	1	8936	2.36201532560973	5.2764715677956	92.3615131065947
rand.75	GCA_003187705	1918	9	8948	18	100.0000	909	161	1.5665	874230	9	14345	1.64087253926312	100	873569	9	14345	1.64211413179726	4.64473899600375	93.713146872199
rand.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.67	GCA_003190355	220	9	8698	18	100.0000	923	131	13.9149	108193	9	16888	15.6091429205217	100	108193	9	16888	15.6091429205217	4.34408880426645	80.0467682752119
rand.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.83	GCA_003104595	121	9	4936	18	53.7808	498	45	8.5537	59857	9	5358	8.95133401273034	58.3787317498366	59857	9	5358	8.95133401273034	5.93915498605009	85.1095110012196
rand.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.87	GCA_003100195	139	7	6416	14	73.8065	673	48	8.9480	79124	7	7172	9.06425357666448	82.5031634648568	79124	7	7172	9.06425357666448	22.6075527020879	68.3281937212477
