query	subject	cov	similarity
AC_000001.1	NC_002513.1	100.000000	100.000000
AC_000002.1	NC_001876.1	100.000000	100.000000
AC_000003.1	NC_001734.1	100.000000	100.000000
AC_000004.1	NC_001813.1	100.000000	100.000000
AC_000005.1	NC_001460.1	100.000000	100.000000
AC_000006.1	NC_010956.1	99.159544	94.421857
AC_000007.1	NC_001405.1	100.000000	100.000000
AC_000008.1	AC_000017.1	100.000000	94.419000
AC_000009.1	NC_002702.1	100.000000	100.000000
AC_000010.1	AC_000018.1	98.440491	87.024721
AC_000011.1	NC_003266.2	97.929845	92.196659
AC_000012.1	NC_000942.1	100.000000	100.000000
AC_000013.1	NC_000899.1	100.000000	100.000000
AC_000014.1	NC_001720.1	100.000000	100.000000
AC_000016.1	NC_001958.1	100.000000	100.000000
AC_000017.1	AC_000008.1	100.000000	94.419000
AC_000018.1	NC_011203.1	100.000000	96.153419
AC_000019.1	NC_011202.1	100.000000	98.186000
AC_000020.1	AC_000003.1	96.548862	85.126480
AC_000020.1	NC_001734.1	96.548862	85.126480
AC_000189.1	NC_044935.1	100.000000	99.982000
AC_000190.1	NC_044936.1	100.000000	100.000000
AC_000191.1	NC_044934.1	100.000000	100.000000
AC_000192.1	NC_001846.1	99.514686	93.695120
NC_000852.5	NC_032001.1	77.052488	77.765378
NC_000855.1	NC_000903.1	49.067933	67.453971
NC_000858.1	NC_001436.1	100.000000	94.856876
NC_000866.4	NC_054937.1	91.519393	93.667577
NC_000867.1	NC_042121.1	90.048616	91.608806
NC_000869.1	NC_035473.1	100.000000	81.190990
NC_000870.1	NC_005811.1	85.714286	78.343000
NC_000871.1	NC_070677.1	97.696013	96.621093
NC_000872.1	NC_000871.1	81.965684	91.289342
NC_000874.1	NC_035451.1	66.485845	75.890317
NC_000882.1	NC_028989.1	100.000000	88.382000
NC_000883.2	NC_004295.1	92.959257	86.940134
NC_000885.1	NC_002030.1	100.000000	88.251000
NC_000896.1	NC_048625.1	7.982186	67.698364
NC_000898.1	NC_001664.4	98.212369	91.446008
NC_000899.1	AC_000013.1	100.000000	100.000000
NC_000902.1	NC_004914.3	99.947491	99.741172
NC_000903.1	NC_000855.1	46.735931	67.350838
NC_000924.1	NC_010237.1	94.159235	99.592643
NC_000929.1	NC_027382.1	95.220198	95.108889
NC_000935.1	NC_011551.1	89.179717	96.751020
NC_000936.1	NC_077065.1	78.401173	68.535527
NC_000939.2	NC_022895.1	78.640997	75.514260
NC_000940.1	NC_006554.1	14.795082	68.106012
NC_000942.1	AC_000012.1	100.000000	100.000000
NC_000943.1	NC_006551.1	100.000000	73.428000
NC_000947.1	NC_003399.1	75.215164	67.068872
NC_000960.1	NC_024685.1	78.212062	69.469704
NC_001132.2	NC_001266.1	96.452436	85.042772
NC_001265.2	NC_040794.1	68.973270	67.966870
NC_001266.1	NC_001132.2	98.245307	84.977701
NC_001270.2	NC_073761.1	57.201465	67.226908
NC_001271.1	NC_025451.1	95.598485	94.749914
NC_001278.1	NC_026137.1	12.958911	66.654872
NC_001317.1	NC_070911.1	88.420846	91.212362
NC_001330.1	NC_001730.1	100.000000	89.417000
NC_001331.1	NC_073756.1	74.186964	89.793211
NC_001332.1	NC_073751.1	68.075326	78.424745
NC_001335.1	NC_017973.1	98.468363	96.514614
NC_001338.1	NC_005361.1	50.048497	72.755579
NC_001339.1	NC_001554.1	99.979119	87.404000
NC_001340.1	NC_010165.1	85.410334	71.846858
NC_001341.1	NC_075367.1	2.137609	69.811000
NC_001343.1	NC_013455.1	31.593003	67.309172
NC_001344.1	NC_005950.1	100.000000	89.366000
NC_001346.2	NC_075135.1	100.000000	97.844267
NC_001348.1	NC_002686.2	50.756702	68.457316
NC_001350.1	NC_001987.1	86.510228	80.104592
NC_001351.1	NC_003538.1	20.198675	77.049000
NC_001352.1	NC_039089.1	80.025445	69.032526
NC_001354.1	NC_006951.1	31.534016	64.095896
NC_001355.1	NC_001595.1	77.727158	67.383237
NC_001356.1	NC_001458.1	69.264235	69.303214
NC_001357.1	NC_034616.1	97.709049	71.333107
NC_001359.1	NC_010294.1	97.947548	81.093000
NC_001361.2	NC_026248.1	67.842494	66.940330
NC_001362.1	NC_001501.1	100.000000	86.830056
NC_001364.1	NC_039024.1	100.000000	87.079000
NC_001365.1	NC_009987.1	74.894234	87.881644
NC_001366.1	NC_010810.1	94.630293	69.118544
NC_001367.1	NC_009041.1	100.000000	84.047000
NC_001368.1	NC_003670.1	18.109069	70.085300
NC_001369.1	NC_037305.1	76.709154	75.582970
NC_001396.1	NC_074762.1	100.000000	99.618224
NC_001401.2	NC_001729.1	100.000000	81.877000
NC_001402.1	NC_001866.1	64.258555	94.320889
NC_001403.1	NC_038922.1	35.672515	85.789555
NC_001405.1	AC_000007.1	100.000000	100.000000
NC_001407.1	NC_001408.1	79.482538	94.012485
NC_001408.1	NC_001407.1	100.000000	94.095529
NC_001409.1	NC_076631.1	86.260754	73.127110
NC_001410.1	NA	NA	NA
NC_001411.2	NC_004146.1	99.967804	99.034000
NC_001412.1	NC_034629.1	93.987976	77.751834
NC_001413.1	NC_001654.1	64.159396	68.847668
NC_001414.1	NC_001488.1	6.829790	73.208602
NC_001416.1	NC_019723.1	83.165643	99.799966
NC_001417.2	NC_073941.1	32.810311	67.685605
NC_001418.1	NC_074763.1	100.000000	99.914000
NC_001420.2	NC_007825.1	100.000000	91.283000
NC_001421.2	NC_007451.1	100.000000	93.160000
NC_001422.1	NC_007817.1	85.777943	71.298239
NC_001423.1	NC_011048.1	100.000000	89.231641
NC_001426.1	NC_073941.1	35.516445	70.467803
NC_001427.1	NC_025215.1	34.195774	68.532560
NC_001430.1	NC_038308.1	99.242219	73.527000
NC_001434.1	NC_074955.1	100.000000	93.687000
NC_001436.1	NC_000858.1	99.976490	94.877000
NC_001437.1	NC_000943.1	100.000000	72.227000
NC_001438.1	NC_038790.1	99.613153	87.874000
NC_001439.1	NC_038791.1	99.848886	96.596000
NC_001440.1	NC_012136.1	49.593863	72.361247
NC_001441.1	NC_003400.1	76.405464	69.992096
NC_001442.1	NC_055557.1	100.000000	81.678000
NC_001445.1	NC_029051.1	66.204702	66.163564
NC_001447.1	NC_001993.1	1.069787	77.343484
NC_001449.1	NC_075022.1	100.000000	96.366000
NC_001451.1	NC_048213.1	99.152420	93.425559
NC_001452.1	NC_001511.1	99.402304	80.857000
NC_001454.1	NC_006879.1	86.280470	73.420862
NC_001457.1	NC_028125.1	88.480892	69.187117
NC_001458.1	NC_038525.1	77.490474	66.499061
NC_001460.1	AC_000005.1	100.000000	100.000000
NC_001461.1	NC_076029.1	97.844588	88.433883
NC_001462.1	NC_001471.1	65.040650	73.988000
NC_001463.1	NC_001511.1	86.505605	73.542175
NC_001464.1	NC_001553.1	100.000000	78.723000
NC_001465.1	NC_055553.1	94.268009	75.608666
NC_001466.1	NC_014547.1	84.690909	71.813676
NC_001467.1	NC_038888.1	98.200792	76.865565
