sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.80	covid	4	1	29844	2	99.8027	175	56	97.2447	30632	1	29788	97.2447114129015	99.6154278112854
rand.22	covid	2	1	29842	2	99.7960	171	56	82.1796	36245	1	29786	82.1796109808249	99.6087278332552
rand.47	covid	3	2	29829	4	99.7525	116	56	99.0919	30062	2	29827	99.218282216752	99.7458117100808
rand.63	covid	51	27	7701	54	25.7533	39	12	52.9145	14531	27	7701	52.9970408093042	25.7533
rand.20	covid	9	3	29804	6	99.6689	194	70	95.2014	31259	3	29759	95.2013820019834	99.5184134713461
rand.60	covid	121	2	29822	4	99.7291	164	56	32.1611	92646	2	29833	32.2010664248861	99.7658855978808
rand.23	covid	5	1	29862	2	99.8629	192	70	95.6608	31158	1	29851	95.805250657937	99.8261143895251
rand.76	covid	7	2	29832	4	99.7626	155	56	95.5941	31163	2	29832	95.7289092834451	99.7626
rand.40	covid	13	7	29415	14	98.3681	78	56	95.4537	30794	7	29423	95.5478339936351	98.3948531803502
rand.3	covid	62	1	29885	4	99.9398	122	58	66.2446	45092	1	29871	66.2445666637097	99.8929819575038
rand.56	covid	27	20	28793	40	96.2880	131	53	93.3027	30893	20	28852	93.3933253487845	96.4853046226513
rand.12	covid	36	1	29852	2	99.8294	125	59	76.6577	38865	1	29793	76.657661134697	99.6320954776899
rand.54	covid	8	1	29855	2	99.8395	198	70	93.8610	31748	1	29799	93.8610306161018	99.6522277842907
rand.5	covid	8	6	29720	12	99.3880	143	58	98.5214	30164	6	29726	98.5479379392654	99.40806487214
rand.18	covid	175	1	29823	2	99.7325	204	70	38.3843	77550	1	29830	38.4655061250806	99.7559090299433
rand.71	covid	25	3	29826	6	99.7425	155	56	84.1404	35417	3	29841	84.2561481774289	99.7926621907061
rand.32	covid	10	7	29785	14	99.6054	161	56	96.7742	30814	7	29915	97.0824949698189	100
rand.89	covid	26	4	29838	8	99.7826	163	58	84.2308	35506	4	29991	84.4674139582042	100
rand.30	covid	7	6	29647	12	99.1439	101	56	99.0177	29929	6	29660	99.1012061879782	99.1873738995514
rand.62	covid	12	12	29415	24	98.3681	83	18	99.8644	29508	12	29508	100	98.6791057215706
rand.6	covid	4	2	29842	4	99.7960	156	56	89.8973	33189	2	29843	89.9183464400856	99.7993441458347
rand.35	covid	6	1	29856	2	99.8428	190	70	96.2004	30977	1	29816	96.2520579785002	99.7090341907824
rand.92	covid	5	2	29836	4	99.7759	145	56	97.7408	30498	2	29853	97.8851072201456	99.8327504591768
rand.33	covid	17	4	29749	8	99.4850	143	56	88.7087	33486	4	29723	88.7624678970316	99.3980522034354
rand.52	covid	13	9	29423	18	98.3948	133	30	93.2603	31589	9	29516	93.4375890341575	98.7058055534786
rand.25	covid	6	1	29813	2	99.6990	150	64	95.2629	31243	1	29797	95.3717632749736	99.6454936772549
rand.96	covid	30	30	11228	60	37.5481	50	21	99.8137	11273	30	11273	100	37.698586685073
rand.87	covid	39	5	29806	10	99.6756	154	56	73.0514	40889	5	29996	73.359583262002	100
rand.55	covid	46	2	29847	4	99.8127	171	56	68.1753	43727	2	29812	68.1775562009742	99.6956549200925
rand.66	covid	289	4	29707	8	99.3445	161	52	25.2618	117628	4	29745	25.2873465501411	99.4715774901538
rand.97	covid	30	24	28242	48	94.4454	71	0	93.0239	30447	24	28389	93.2407133707754	94.9369896112173
rand.1	covid	2	2	29832	4	99.7626	155	56	99.8592	29832	2	29832	100	99.7626
rand.88	covid	11	6	29541	12	98.7894	196	70	96.1999	30683	6	29536	96.2617736205717	98.772679272875
rand.14	covid	4	2	29843	4	99.7994	196	70	98.3887	30287	2	29828	98.4844982996005	99.7492377844051
rand.7	covid	15	3	29779	6	99.5853	161	56	90.1135	33045	3	29807	90.2012407323347	99.6789360656839
rand.31	covid	23	5	29479	10	98.5821	109	53	84.4587	34849	5	29480	84.5935320956125	98.5854441466807
rand.21	covid	34	1	29863	2	99.8662	112	53	78.8041	37828	1	29832	78.8622184625145	99.7625315072163
rand.57	covid	21	1	29828	2	99.7492	170	56	80.2393	37104	1	29772	80.2393272962484	99.5619277993831
rand.49	covid	180	1	29823	2	99.7325	204	70	37.3685	79658	1	29830	37.4475884405835	99.7559090299433
rand.17	covid	23	19	29546	38	98.8061	130	56	96.3153	30749	19	29631	96.3641094019318	99.090352301496
rand.82	covid	7	1	29830	2	99.7559	194	70	95.7179	31106	1	29774	95.7178679354465	99.5686277774053
rand.42	covid	15	11	29243	22	97.7929	91	9	96.7892	30211	11	29262	96.8587600542849	97.8564387990288
rand.37	covid	62	2	29845	4	99.8060	157	56	67.5394	44192	2	29863	67.5755792903693	99.8661946054615
rand.65	covid	2	1	29833	2	99.7659	200	67	98.8843	30116	1	29841	99.0868641253819	99.7926531659572
rand.100	covid	90	1	29854	2	99.8361	131	59	51.1432	58258	1	29795	51.1431906347626	99.6387954545455
rand.94	covid	18	1	29842	2	99.7960	154	56	87.4644	34055	1	29786	87.4643958302746	99.6087278332552
rand.59	covid	109	1	29820	2	99.7224	187	56	51.1708	58166	1	29782	51.2017329711515	99.5953224949698
rand.45	covid	19	2	29822	4	99.7291	164	56	79.2911	37578	2	29833	79.3895364308904	99.7658855978808
rand.79	covid	13	1	29845	2	99.8060	151	56	90.9782	32743	1	29842	91.1400910118193	99.7959675657564
rand.28	covid	30	1	29846	2	99.8094	143	59	33.3240	89386	1	29788	33.3251292148659	99.6154394960799
rand.51	covid	19	8	29767	16	99.5452	137	56	91.7031	32518	8	29830	91.7338089673412	99.7558812107367
rand.36	covid	7	1	29835	2	99.7726	192	64	94.9898	31356	1	29792	95.0121188927159	99.6288017161052
rand.93	covid	46	8	28923	16	96.7227	82	32	69.1766	41767	8	28931	69.2676036105059	96.7494531583861
rand.73	covid	14	5	29749	10	99.4850	191	56	92.9940	31930	5	29745	93.1569057312872	99.4716234159131
rand.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.19	covid	13	10	29633	20	99.0971	155	56	97.7907	30372	10	29753	97.9619386276834	99.4983976073972
rand.8	covid	47	23	8817	46	29.4853	46	35	58.8192	14973	23	8809	58.8325652841782	29.4585468640127
rand.15	covid	27	1	29802	2	99.6622	158	56	75.2244	39543	1	29746	75.2244392180664	99.4749278974566
rand.10	covid	151	1	29842	2	99.7960	171	56	35.8267	83139	1	29786	35.8267479762807	99.6087278332552
rand.58	covid	2	2	29854	4	99.8361	197	70	99.9966	29831	2	29831	100	99.7591846687211
rand.64	covid	84	1	29855	2	99.8395	164	70	59.2567	50288	1	29825	59.3083837098314	99.7391755987272
rand.11	covid	1629	2	29844	4	99.8027	156	56	4.9018	608716	2	29845	4.90294324446868	99.806044146227
rand.53	covid	22	7	29785	14	99.6054	161	56	88.3294	33760	7	29915	88.6107819905213	100
rand.61	covid	54	2	29835	4	99.7726	200	70	70.2850	42386	2	29810	70.3298258859057	99.6889963465728
rand.29	covid	409	2	29864	4	99.8696	139	59	20.1964	147640	2	29818	20.1964237334056	99.7157692472542
rand.78	covid	3	1	29876	2	99.9097	125	53	98.5656	30257	1	29832	98.5953663615031	99.7625575846834
rand.77	covid	56	2	29822	4	99.7291	164	56	69.0649	43142	2	29833	69.1507116035418	99.7658855978808
rand.98	covid	29	3	29796	6	99.6422	165	56	79.8246	37283	3	29780	79.8755464957219	99.5886936501544
rand.9	covid	40	2	29828	4	99.7492	133	59	69.5749	42810	2	29832	69.6846531184303	99.7625765857584
rand.50	covid	3	1	29833	2	99.7659	200	70	98.4299	30252	1	29838	98.6314954383181	99.7826207287232
rand.13	covid	38	1	29798	2	99.6489	169	56	77.4511	38401	1	29775	77.5370433061639	99.5719846130613
rand.39	covid	24	1	29856	2	99.8428	128	53	83.5239	35682	1	29821	83.574351213497	99.7257549169346
rand.90	covid	30	27	28884	54	96.5923	167	56	97.6989	29638	27	28957	97.7022741075646	96.8364226249827
rand.83	covid	23	1	29842	2	99.7960	171	56	81.8229	36403	1	29786	81.8229266818669	99.6087278332552
rand.26	covid	61	38	13536	76	45.2664	73	20	61.2435	22275	38	13675	61.3916947250281	45.7312367021277
rand.74	covid	12	2	29825	4	99.7392	121	65	92.4552	32221	2	29791	92.4583346264858	99.6254989840738
rand.70	covid	13	2	29819	4	99.7191	158	58	91.3949	32632	2	29840	91.4439813679823	99.7893270733425
rand.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.44	covid	7	1	29829	2	99.7525	159	56	93.2388	31932	1	29774	93.2418890141551	99.5685720272218
rand.2	covid	24	2	29873	4	99.8997	135	59	84.4516	35322	2	29872	84.5705226204632	99.8963558531115
rand.38	covid	8	8	29313	16	98.0270	73	44	99.9181	29299	8	29299	100	97.9801819329308
rand.46	covid	3	2	29832	4	99.7626	155	56	99.0787	30067	2	29832	99.2184122127249	99.7626
rand.43	covid	4	1	29825	2	99.7392	198	90	97.8232	30411	1	29749	97.8231560948341	99.4850447879296
rand.68	covid	97	1	29865	2	99.8729	119	56	53.3819	55841	1	29811	53.3855052739027	99.6923161526871
rand.24	covid	6	4	29638	8	99.1138	167	49	97.9854	30230	4	29737	98.3691696989745	99.4448704568459
rand.69	covid	126	25	29027	50	97.0705	93	44	44.5004	65550	25	29232	44.5949656750572	97.7560497467875
rand.99	covid	26	5	29859	10	99.8529	138	59	81.3470	36734	5	29909	81.4204823868895	100
rand.16	covid	11	3	29779	6	99.5853	143	58	94.0838	31811	3	29964	94.1938323221527	100
rand.84	covid	22	2	29860	4	99.8562	166	58	84.1678	35491	2	29908	84.2692513594996	100
rand.27	covid	27	1	29841	2	99.7927	157	56	81.3664	36606	1	29801	81.4101513413102	99.6589341074361
rand.81	covid	34	2	29839	4	99.7860	136	61	79.7667	37369	2	29857	79.8977762316359	99.8461946445927
rand.41	covid	68	49	21745	98	72.7185	93	12	81.9498	26792	49	22050	82.3006867721708	73.7384651644056
rand.85	covid	27	1	29838	2	99.7826	171	56	81.6863	36459	1	29782	81.6862777366357	99.5953278772036
rand.95	covid	13	3	29806	6	99.6756	196	70	79.0223	37702	3	29862	79.2053471964352	99.8628721465477
rand.34	covid	4	1	29842	2	99.7960	171	56	97.3621	30593	1	29786	97.3621416663943	99.6087278332552
rand.48	covid	653	10	29469	20	98.5486	75	44	9.9338	296624	10	29481	9.93884513727817	98.5887297363331
rand.91	covid	53	2	29855	4	99.8395	135	59	68.6438	43430	2	29834	68.6944508404329	99.769272919109
rand.75	covid	8	2	29825	4	99.7392	186	64	95.2300	31279	2	29805	95.2875731321334	99.6723170494552
rand.72	covid	54	38	15765	76	52.7205	62	44	78.0894	20214	38	15789	78.1092312258831	52.8007595623216
rand.67	covid	7	2	29827	4	99.7458	194	58	96.4117	30934	2	29824	96.4117152647572	99.735767566299
