contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human	Specy
k61_206	211	0.421800947867299	3	0.190117520171373	0.102036792384763	203	0.194278148901697	0.126870833574134	N	N	Mirounga angustirostris
k61_205	985	0.54010152284264	2	1.27422291913884	0.079	59	0.967063693322789	0.038922284566844	N	N	Klebsiella pneumoniae
k61_102	208	0.519230769230769	1	0.447058823529412	0.0588235294117647	43	1.30593300166198	0.0400417271604159	N	N	Klebsiella pneumoniae
k61_139	204	0.485294117647059	4	0.498070366420064	0.155502231604248	161	0.269826796034206	0.10159841630165	N	N	NA
k61_1428	290	0.375862068965517	1	0.626605359124782	0.0588235294117647	14	0.0349945915778267	0.0081365169857212	N	N	Saccharomyces cerevisiae
k61_791	239	0.464435146443515	3	0.421626650426772	0.116074391012094	329	0.305203487888797	0.166609925785758	N	N	NA
k61_837	415	0.55421686746988	2	1.06374538537267	0.0691211736493158	72	1.46785199988871	0.0504550572026948	N	N	Klebsiella pneumoniae
k61_882	262	0.446564885496183	1	0.654690990320176	0.0588235294117647	8	0.0802851017354849	0.00837707492567778	N	N	parainfluenza virus 5
k61_1039	265	0.535849056603774	1	0.166701309499065	0.0554978175015589	1	0.00478297370272048	0.00132053638281941	N	N	Caudoviricetes sp.
k61_1608	519	0.526011560693642	2	0.861519085896652	0.0761113605747642	56	0.945116195644671	0.0408792902763228	N	N	Klebsiella pneumoniae
k61_1688	240	0.383333333333333	1	0.817976141505553	0.0588235294117647	8	0.0989772749930615	0.00881991736374655	N	N	parainfluenza virus 5
k61_83	327	0.541284403669725	2	1.43928024082407	0.104263053536021	53	7.32047502094243	0.0454917383819593	N	N	Klebsiella pneumoniae
k61_280	250	0.608	1	0.400118436636399	0.0588235294117647	45	0.71707566489826	0.0363791148715299	N	N	Klebsiella pneumoniae
k61_1543	202	0.673267326732673	1	0.339786547530405	0.0588235294117647	37	0.592146372167088	0.0328474262152328	N	N	Klebsiella pneumoniae
k61_1046	510	0.486274509803922	2	0.264932649071833	0.106782871472989	73	1.56748728945722	0.0503002455404737	N	N	Klebsiella pneumoniae
