contig	length	gc	frequency	meanDepth	meanCov	S1_fre	S1_meanDep	S1_meanCov	Specy
k51_22453	279	0.616487455197133	2	2.81363952848214	0.194777397260274	NA	NA	NA	0
k51_3122	359	0.576601671309192	2	3.05645049254862	0.197297297297297	NA	NA	NA	0
k51_17602	516	0.451550387596899	1	3.6503807106599	0.125	NA	NA	NA	0
k51_5723	583	0.406518010291595	1	3.34428571428571	0.125	NA	NA	NA	0
k51_16011	230	0.421739130434783	1	1.40391156462585	0.125	NA	NA	NA	0
k51_701	264	0.416666666666667	1	0.73838141025641	0.125	NA	NA	NA	0
k51_5191	274	0.332116788321168	1	3.32198795180723	0.125	NA	NA	NA	0
k51_23992	432	0.430555555555556	1	3.11763565891472	0.125	NA	NA	NA	0
k51_2001	280	0.446428571428571	2	3.41691307584086	0.147526501766785	NA	NA	NA	0
k51_12726	345	0.455072463768116	2	2.44644420409361	0.166193181818182	NA	NA	NA	0
k51_26168	542	0.376383763837638	2	2.31433719681583	0.136697247706422	NA	NA	NA	0
k51_13749	227	0.374449339207048	1	0.960573476702509	0.125	NA	NA	NA	0
k51_17065	301	0.504983388704319	1	2.87642694063926	0.125	NA	NA	NA	0
k51_3115	254	0.523622047244094	2	3.03323713558991	0.199814126394052	NA	NA	NA	0
k51_1157	686	0.418367346938776	2	2.68689725049177	0.134252539912917	NA	NA	NA	0
k51_1720	218	0.348623853211009	1	1.5304054054054	0.125	NA	NA	NA	0
k51_22080	200	0.365	1	1.65094339622641	0.125	NA	NA	NA	0
k51_787	404	0.373762376237624	1	4.76364715189874	0.125	NA	NA	NA	0
k51_10765	254	0.346456692913386	1	3.00904825737265	0.125	NA	NA	NA	0
k51_20237	242	0.413223140495868	1	1.86268656716418	0.125	NA	NA	NA	0
k51_21415	584	0.436643835616438	2	4.01112374183889	0.135860306643952	NA	NA	NA	0
k51_7436	207	0.439613526570048	2	1.54827993697479	0.155357142857143	NA	NA	NA	0
k51_11076	336	0.380952380952381	1	0.90096618357488	0.125	NA	NA	NA	0
k51_824	216	0.319444444444444	1	1.88240131578948	0.125	NA	NA	NA	0
k51_6430	997	0.417251755265797	2	3.54129904227212	0.131375	NA	NA	NA	0
k51_7869	630	0.447619047619048	1	2.2068868980963	0.125	NA	NA	NA	0
k51_22812	555	0.308108108108108	5	2.43832967237614	0.304059556197139	7	0.0915883681878213	0.0130270543135926	1
k51_8639	203	0.428571428571429	1	0.944169960474309	0.123517786561265	NA	NA	NA	0
k51_16219	237	0.447257383966245	2	3.02330900726943	0.198091776465243	NA	NA	NA	0
k51_11992	216	0.467592592592593	2	1.21750244618395	0.154109589041096	NA	NA	NA	0
k51_20593	266	0.481203007518797	1	1.55391483516484	0.125	NA	NA	NA	0
k51_20516	604	0.435430463576159	2	3.10773602425005	0.156025207473002	NA	NA	NA	0
k51_6105	222	0.45045045045045	2	0.70573717948718	0.152371794871795	NA	NA	NA	0
k51_18722	298	0.37248322147651	1	3.02587145969499	0.125	NA	NA	NA	0
k51_7537	342	0.388888888888889	2	0.588615417976798	0.143478260869565	NA	NA	NA	0
k51_18901	215	0.437209302325581	1	0.48995983935743	0.123493975903614	NA	NA	NA	0
k51_21645	237	0.405063291139241	1	1.87200598802395	0.125	NA	NA	NA	0
k51_19320	323	0.424148606811146	1	2.3685538116592	0.125	NA	NA	NA	0
k51_19594	506	0.41699604743083	1	2.07288681948424	0.125	NA	NA	NA	0
k51_22940	322	0.416149068322981	1	1.99803811659192	0.125	NA	NA	NA	0
k51_6918	303	0.264026402640264	1	0.789819944598337	0.125	NA	NA	NA	0
k51_20147	223	0.412556053811659	1	1.80681818181819	0.124188311688312	NA	NA	NA	0
k51_24626	368	0.410326086956522	2	1.10201672602137	0.155160857908847	NA	NA	NA	0
k51_13886	402	0.582089552238806	2	2.81097583650803	0.20821798378633	NA	NA	NA	0
k51_548	209	0.325358851674641	1	0.648279352226721	0.125	NA	NA	NA	0
k51_2480	250	0.376	1	1.55551242236025	0.125	NA	NA	NA	0
k51_10669	525	0.392380952380952	1	2.12651413189771	0.125	NA	NA	NA	0
k51_25596	205	0.282926829268293	1	0.818	0.125	NA	NA	NA	0
k51_8177	241	0.348547717842324	1	1.31410256410256	0.125	NA	NA	NA	0
k51_26062	356	0.418539325842697	1	3.19316081330869	0.125	NA	NA	NA	0
k51_12870	257	0.385214007782101	1	2.19380108991826	0.125	NA	NA	NA	0
k51_13645	241	0.377593360995851	1	1.11106557377049	0.125	NA	NA	NA	0
k51_24044	327	0.425076452599388	2	3.43468276515152	0.144318181818182	NA	NA	NA	0
k51_9159	259	0.621621621621622	2	3.45485468130809	0.220149253731343	NA	NA	NA	0
k51_5714	438	0.424657534246575	1	2.09059446254071	0.125	NA	NA	NA	0
k51_10122	734	0.427792915531335	2	2.88308175033921	0.133649932157395	NA	NA	NA	0
k51_12983	384	0.619791666666667	2	3.10154549725851	0.173913043478261	NA	NA	NA	0
k51_2509	434	0.453917050691244	1	2.92103235747304	0.125	NA	NA	NA	0
k51_14454	234	0.58974358974359	2	2.28353365384615	0.189334935897436	NA	NA	NA	0
k51_20438	303	0.415841584158416	1	2.31336805555555	0.125	NA	NA	NA	0
k51_6344	578	0.453287197231834	1	1.8496875	0.125	NA	NA	NA	0
k51_16287	203	0.359605911330049	2	2.67703390543497	0.186309523809524	NA	NA	NA	0
k51_3994	238	0.411764705882353	1	2.23843930635839	0.125	NA	NA	NA	0
k51_25607	274	0.456204379562044	1	3.46247044917257	0.125	NA	NA	NA	0
k51_5804	253	0.411067193675889	1	2.06664364640884	0.12396408839779	NA	NA	NA	0
k51_4065	212	0.39622641509434	1	0.82976653696498	0.125	NA	NA	NA	0
k51_15748	334	0.491017964071856	1	1.52143652561247	0.125	NA	NA	NA	0
k51_24388	750	0.304	1	1.08901515151515	0.125	NA	NA	NA	0
k51_26651	247	0.433198380566802	3	1.20308568395511	0.201095238095238	NA	NA	NA	0
k51_21831	352	0.460227272727273	2	2.55385132077606	0.142957746478873	NA	NA	NA	0
k51_10528	371	0.350404312668464	1	1.63161914460285	0.125	NA	NA	NA	0
k51_23120	205	0.609756097560976	2	2.46594516594516	0.183333333333333	NA	NA	NA	0
k51_19423	397	0.415617128463476	2	1.53858075323475	0.1409375	NA	NA	NA	0
k51_12543	306	0.457516339869281	1	4.37731006160165	0.124486652977413	NA	NA	NA	0
k51_23576	209	0.478468899521531	1	3.25671641791045	0.123507462686567	NA	NA	NA	0
k51_4107	311	0.440514469453376	1	3.07111111111111	0.125	NA	NA	NA	0
k51_7339	652	0.424846625766871	1	4.5968309859155	0.125	NA	NA	NA	0
k51_27716	490	0.318367346938775	1	0.745954003407155	0.125	NA	NA	NA	0
k51_21904	208	0.379807692307692	1	2.40717821782177	0.125	NA	NA	NA	0
k51_27793	213	0.314553990610329	1	1.28262867647059	0.125	NA	NA	NA	0
k51_17633	206	0.427184466019417	2	2.50590071631389	0.155649038461538	NA	NA	NA	0
k51_23250	213	0.657276995305164	2	2.73182891629493	0.194010758331147	NA	NA	NA	0
k51_12208	266	0.533834586466165	2	4.0486735455429	0.1764440433213	NA	NA	NA	0
k51_24058	249	0.397590361445783	1	0.428571428571429	0.125	NA	NA	NA	0
k51_10034	280	0.45	2	1.51492934572203	0.184668989547038	NA	NA	NA	0
