sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.29	covid	6960	17	13244	34	44.2899	4	0	0.3396	3899916	17	13258	0.339956040078812	88.6733772531184	3897638	34	26516	0.680309459216069	0.348493113008443	98.9711974277755
rand.98	covid	18457	1	29801	2	99.6589	2	0	0.3947	7550037	1	29801	0.394713297431523	100	7548814	2	59602	0.789554491606231	0.263153920602627	98.9472915877911
rand.65	covid	16860	1	258	2	0.8628	0	0	0.0033	7728799	1	258	0.00333816418307683	1.72557937330703	7728067	2	516	0.00667696074581134	0.0878486172544829	99.9054744219997
rand.71	covid	17744	1	246	2	0.8227	0	0	0.0029	8433579	1	246	0.00291691107654295	1.64531986757182	8433194	2	492	0.00583408848414966	0.534554286311924	99.4596116252039
rand.82	covid	28175	5	28690	10	95.9436	8	0	0.2217	12942072	5	28690	0.221680114281546	100	12940747	10	57380	0.443405624111189	0.362104289651903	99.1944900862369
rand.36	covid	24571	3	29804	6	99.6689	8	0	0.2802	10644197	3	29820	0.280152650312654	100	10635966	6	59640	0.560738911726495	0.954469015790385	98.4847920724831
rand.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.9	covid	10625	2	535	4	1.7891	2	0	0.0167	3201364	2	535	0.0167116266691323	3.57823629736147	3200679	4	1070	0.0334304064856238	1.36233592934499	98.6042336641694
rand.6	covid	33196	3	29792	6	99.6288	6	0	0.1551	19210261	3	29804	0.155146252307556	100	19184028	6	59608	0.310716810880384	0.92550949154161	98.763773697578
rand.35	covid	12100	29	16136	58	53.9611	0	2	0.2160	7473619	29	16142	0.215986391599572	100	7443911	58	32284	0.43369674892674	0.974635510822201	98.5916677402511
rand.81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.79	covid	24453	19	20711	38	69.2606	2	0	0.1842	11256241	19	20735	0.184208920189253	100	11255994	38	41470	0.368425924889441	0.546873070472497	99.0847010046381
rand.90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.62	covid	24943	2	27249	4	91.1246	4	0	0.2425	11236349	2	27249	0.242507597441126	100	11235606	4	54498	0.485047268478442	0.663693618305946	98.8512591132156
rand.60	covid	24922	26	21873	52	73.1465	6	0	0.2025	10819980	26	21908	0.202477268904379	100	10819187	52	43816	0.404984219239394	0.664994513913106	98.9300212668475
rand.67	covid	26748	3	26691	6	89.2586	6	0	0.1967	13571912	3	26703	0.196751938857252	100	13570805	7	69753	0.513993090314097	0.625814017665127	98.8601928920208
rand.30	covid	36758	2	885	4	2.9596	2	0	0.0042	21015740	2	885	0.004211129372556	5.91913854797177	20996202	4	1770	0.00843009607166096	1.36820459243057	98.6233653114978
rand.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.92	covid	35424	23	28776	46	96.2311	4	0	0.1377	20943470	23	28846	0.137732667986728	100	20933031	46	57692	0.275602706555013	0.858380231701754	98.8660170617432
rand.16	covid	19462	1	29801	2	99.6589	2	0	0.2705	11016975	1	29801	0.27050074997901	100	11015441	2	59602	0.541076839320369	1.23542035221286	98.2235028084668
rand.3	covid	6891	7	3510	14	11.7380	0	0	0.1369	2564391	7	3510	0.136874602975911	23.4759054275491	2557636	14	7020	0.27447220792951	0.419528032917898	99.3059997591526
rand.100	covid	19328	2	29855	4	99.8395	6	0	0.3531	8455421	2	29858	0.353122570715284	100	8454507	4	59716	0.706321492193454	0.606646845286189	98.6870316625204
rand.97	covid	10697	28	15896	56	53.1585	0	2	0.2654	5992313	28	15902	0.265373320786147	100	5988777	56	31804	0.531060014423646	0.353611430180152	99.1153285553962
rand.46	covid	14942	3	29766	6	99.5419	6	0	0.4508	6603111	3	29767	0.450802659534271	100	6603111	6	59534	0.901605319068542	0.200950733676899	98.8974439472546
