contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k49_22276	225	0.617777777777778	1	0.553639846743295	0.125	NA	NA	NA	N	N
k49_8927	557	0.351885098743268	5	2.51693319527819	0.389059856257749	0	0	0	Y	N
k49_8353	641	0.383775351014041	1	2.64486842105262	0.125	NA	NA	NA	N	N
k49_19705	214	0.331775700934579	1	0.650100401606426	0.125	NA	NA	NA	N	N
k49_8910	354	0.409604519774011	1	1.8	0.125	NA	NA	NA	N	N
k49_21108	299	0.421404682274247	2	2.11433469118744	0.146109271523179	41	0.034404262799732	0.0124735657472793	N	N
k49_14328	340	0.426470588235294	2	3.67783258117337	0.14260753224969	39	0.0156174913208563	0.0106378653595326	N	N
k49_9797	249	0.465863453815261	2	1.84112602141448	0.150297619047619	26	0.0117969497008703	0.00893222074384582	N	N
k49_388	757	0.35667107001321	1	1.81040268456376	0.125	NA	NA	NA	N	N
k49_19697	249	0.485943775100402	1	3.27252906976744	0.125	NA	NA	NA	N	N
k49_19226	730	0.412328767123288	2	4.87240006393168	0.133697135061392	63	0.0186536005525898	0.0135082411855933	N	N
k49_20652	807	0.410161090458488	1	2.4784140969163	0.125	NA	NA	NA	N	N
k49_11904	238	0.436974789915966	1	0.929794520547945	0.125	NA	NA	NA	N	N
k49_29226	655	0.403053435114504	2	4.42007712547182	0.134688449848024	59	0.0181119959739443	0.0136735282039788	N	N
k49_18869	201	0.477611940298507	2	1.70019387341586	0.192307692307692	21	0.0128914861359236	0.00830641677331608	N	N
k49_21740	245	0.408163265306122	1	1.72069732937685	0.125	NA	NA	NA	N	N
k49_13515	378	0.417989417989418	2	1.33403239670635	0.17785692197221	123	0.0573076905977176	0.0362451396087902	N	N
k49_10988	241	0.49792531120332	2	2.12305157679346	0.160786290322581	45	0.0963888536596561	0.01862223944496	N	N
k49_16865	542	0.407749077490775	1	2.69223484848485	0.125	NA	NA	NA	N	N
k49_6369	216	0.625	2	2.01299535225048	0.197544642857143	35	0.0744608542675961	0.0152468197591164	N	N
k49_16714	305	0.377049180327869	1	0.779696132596685	0.125	NA	NA	NA	N	N
k49_3074	371	0.417789757412399	2	1.38697446063064	0.142045454545455	22	0.0158486212058379	0.00736839236250157	N	N
k49_11664	381	0.330708661417323	1	1.41332665330661	0.123997995991984	NA	NA	NA	N	N
k49_19906	202	0.341584158415842	1	2.06139575971731	0.125	NA	NA	NA	N	N
k49_14783	229	0.379912663755459	1	0.801258992805756	0.12410071942446	NA	NA	NA	N	N
k49_22667	345	0.446376811594203	1	2.9124251497006	0.123003992015968	NA	NA	NA	N	N
k49_6811	209	0.425837320574163	2	3.10664639116129	0.15521327014218	26	0.0140297397778222	0.00945600945138432	N	N
k49_26515	309	0.423948220064725	1	2.28467365967366	0.125	NA	NA	NA	N	N
k49_11259	226	0.517699115044248	1	0.966071428571429	0.125	NA	NA	NA	N	N
k49_25447	2054	0.404089581304771	8	2.97517484129377	0.440090119540389	0	0	0	Y	N
k49_16042	225	0.368888888888889	1	0.986749116607774	0.125	NA	NA	NA	N	N
k49_362	613	0.451876019575856	1	3.87526455026454	0.12473544973545	NA	NA	NA	N	N
k49_8506	266	0.413533834586466	1	1.43233618233619	0.125	NA	NA	NA	N	N
k49_9560	227	0.295154185022026	2	0.715914417326653	0.152717391304348	9	0.00463183762449484	0.0032388052318048	N	N
k49_21789	217	0.327188940092166	1	0.824712643678161	0.125	NA	NA	NA	N	N
k49_20480	256	0.41015625	1	1.64566115702479	0.125	NA	NA	NA	N	N
k49_26087	201	0.348258706467662	2	2.54843213058419	0.15625	22	0.0116187540718046	0.00791430982489602	N	N
k49_15261	270	0.448148148148148	1	0.562300319488818	0.125	NA	NA	NA	N	N
k49_7705	224	0.410714285714286	2	1.21625574345128	0.153083700440529	61	0.0364986274670976	0.0223606209598415	N	N
k49_20237	224	0.433035714285714	1	3.00744047619047	0.125	NA	NA	NA	N	N
k49_29283	211	0.445497630331754	1	3.06908945686901	0.125	NA	NA	NA	N	N
k49_17842	396	0.353535353535354	1	1.301775147929	0.125	NA	NA	NA	N	N
k49_3415	225	0.648888888888889	2	2.36469783975936	0.165760869565217	47	0.0886066124070039	0.0202750428962052	N	N
k49_7692	999	0.357357357357357	8	5.2507193526211	0.482865710856326	0	0	0	Y	N
k49_24372	211	0.303317535545024	1	2.28683774834438	0.123344370860927	NA	NA	NA	N	N
k49_9552	460	0.36304347826087	1	1.65790529695024	0.125	NA	NA	NA	N	N
k49_16028	229	0.585152838427948	2	0.545177580925574	0.162035350608494	19	0.0170301880011721	0.00620908588780506	N	N
k49_7844	297	0.367003367003367	1	2.07743902439024	0.125	NA	NA	NA	N	N
k49_9389	336	0.428571428571429	1	3.60328185328185	0.125	NA	NA	NA	N	N
k49_4858	302	0.337748344370861	1	1.34288413098236	0.124370277078086	NA	NA	NA	N	N
k49_26702	242	0.433884297520661	2	0.994141213532393	0.151020408163265	64	0.0261031529189263	0.0205894826664405	N	N
k49_26598	279	0.440860215053763	1	1.89523498694518	0.124020887728459	NA	NA	NA	N	N
k49_23680	253	0.446640316205534	1	1.56811594202899	0.125	NA	NA	NA	N	N
k49_1118	399	0.370927318295739	1	2.77360876897134	0.125	NA	NA	NA	N	N
k49_15830	285	0.308771929824561	1	0.999287749287749	0.122507122507123	NA	NA	NA	N	N
k49_4667	209	0.435406698564593	1	1.90230375426621	0.125	NA	NA	NA	N	N
k49_27689	200	0.33	1	0.435825892857143	0.125	NA	NA	NA	N	N
k49_13647	267	0.438202247191011	1	2.42875647668394	0.125	NA	NA	NA	N	N
k49_13590	373	0.450402144772118	1	0.872511061946903	0.125	NA	NA	NA	N	N
k49_27820	239	0.581589958158996	2	3.82332180851064	0.2195	37	0.136468978623324	0.0171612807692276	N	N
k49_12128	391	0.383631713554987	1	2.51328397212544	0.125	NA	NA	NA	N	N
