sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.55	covid	313	1	29859	2	99.8529	10	0	17.9644	166212	1	29897	17.9872692705701	99.9799351235662	166212	1	29897	17.9872692705701	16.1203763867831	65.8923543426467
rand.20	covid	64	1	29866	2	99.8763	14	0	53.9107	55399	1	29887	53.9486272315385	99.9464936628432	55399	1	29887	53.9486272315385	19.3613603133631	26.6900124550985
rand.49	covid	572	3	29870	8	99.8896	14	0	10.1360	302199	3	30882	10.2190940406818	100	301865	3	30882	10.2304010070727	23.9053881702085	65.8642108227188
rand.18	covid	65	1	29858	2	99.8495	16	0	56.4765	52868	1	29880	56.5181206022547	99.9230846403371	52868	1	29880	56.5181206022547	38.3332072331089	5.14867216463645
rand.47	covid	7	1	29873	4	99.8997	6	0	93.4972	32017	1	29957	93.5659181060062	100	32017	1	29957	93.5659181060062	5.27532248492988	1.15875940906394
rand.61	covid	6	1	29871	2	99.8930	12	0	93.7924	31848	1	29957	94.0624215021351	100	31848	1	29957	94.0624215021351	0	5.93757849786486
rand.40	covid	15	1	29865	4	99.8729	20	0	86.1436	34742	1	29955	86.2212883541535	100	34742	1	29955	86.2212883541535	6.62310747798054	7.15560416786598
rand.8	covid	16	1	29855	2	99.8395	10	0	85.0667	35096	1	29881	85.1407567813996	99.9264287864094	35096	1	29881	85.1407567813996	12.0555049008434	2.80373831775701
rand.51	covid	15	1	29847	4	99.8127	14	0	85.1988	35112	1	29941	85.2728411938938	100	35112	1	29941	85.2728411938938	13.3059922533607	1.4211665527455
rand.78	covid	6	1	29854	2	99.8361	18	0	94.5285	31582	1	29948	94.8261668038756	100	31259	1	29948	95.8060078697335	4.19399213026648	1.06581410364015e-14
rand.11	covid	3	1	29853	6	99.8328	20	0	97.7772	30772	1	30092	97.7901988821006	100	30772	1	30092	97.7901988821006	0	2.20980111789939
rand.80	covid	6	1	29854	2	99.8361	12	0	93.1802	32039	1	29890	93.292549705047	99.9565261010601	32039	1	29890	93.292549705047	2.88398514310684	3.82346515184618
rand.87	covid	9	1	29853	6	99.8328	20	0	91.4518	32896	1	30085	91.4548881322957	100	32896	1	30085	91.4548881322957	4.03696498054475	4.50814688715953
rand.95	covid	5	2	29870	12	99.8896	10	0	96.3237	31798	2	30683	96.4934901566136	100	31798	2	30683	96.4934901566136	2.38065287124976	1.1258569721366
rand.85	covid	199	1	29871	2	99.8930	12	0	14.4851	206219	1	29907	14.5025434125857	100	206219	1	29907	14.5025434125857	59.5158545041921	25.9816020832222
rand.86	covid	272	1	29871	2	99.8930	10	0	20.4749	145891	1	29894	20.4906402725322	99.9699026853493	145400	1	29894	20.5598349381018	11.0625859697387	68.3775790921596
rand.6	covid	13	1	29853	2	99.8328	20	0	80.0756	37281	1	29970	80.3894745312626	100	36466	1	29970	82.1861459990128	7.23687818790106	10.5769758130862
rand.22	covid	5	1	29865	6	99.8729	10	0	95.3383	31641	1	30166	95.3383268543978	100	31340	1	30166	96.2539885130823	2.51435864709636	1.23165283982132
rand.10	covid	2	1	29866	4	99.8763	10	0	98.7209	30335	1	29970	98.7967694082743	100	30335	1	29970	98.7967694082743	0	1.20323059172574
rand.33	covid	68	1	29865	8	99.8729	10	0	55.1831	54678	1	30180	55.1958740261165	100	54678	1	30180	55.1958740261165	42.8984234975676	1.90570247631589
rand.68	covid	36	1	29859	2	99.8529	12	0	66.7942	44703	1	29907	66.9015502315281	100	44703	1	29907	66.9015502315281	24.2131400577142	8.88530971075766
rand.34	covid	13	1	29871	4	99.8930	12	0	86.8745	34475	1	29962	86.9093546047861	100	34475	1	29962	86.9093546047861	11.1646120377085	1.92603335750543
rand.39	covid	185	1	29871	4	99.8930	16	0	27.7124	108060	1	29967	27.7318156579678	100	108060	2	30521	28.2444937997409	11.4371645382195	60.3183416620396
rand.23	covid	12	2	29871	10	99.8930	14	1	89.4964	34055	2	30494	89.5433856996036	100	34055	2	30494	89.5433856996036	6.72441638525914	3.73219791513727
rand.82	covid	10	1	29875	1	99.9064	18	0	90.9631	32843	1	29917	91.0909478427671	100	32843	1	29917	91.0909478427671	4.85643820601041	4.05261395122249
rand.84	covid	315	1	29870	4	99.8896	12	0	11.0492	271060	1	30145	11.1211539880469	100	271060	1	30145	11.1211539880469	58.1395263041393	30.7393197078138
rand.97	covid	204	1	29871	2	99.8930	14	0	25.5388	116963	1	29943	25.6004035464207	100	116462	1	29943	25.7105321907575	26.2712301008054	48.0182377084371
rand.72	covid	8	1	29874	1	99.9030	19	0	92.1042	32435	1	30064	92.6899953753661	100	32435	1	30064	92.6899953753661	5.21967010944967	2.09033451518421
rand.69	covid	20	1	29866	2	99.8763	10	3	80.5258	37085	1	29888	80.5932317648645	99.9498378089155	37085	1	29888	80.5932317648645	8.90386948901173	10.5028987461238
rand.25	covid	16	1	29871	2	99.8930	12	0	84.7428	35249	1	29893	84.8052427019206	99.966558539277	35249	1	29893	84.8052427019206	10.4258276830548	4.76892961502454
rand.36	covid	2	1	29858	2	99.8495	12	0	98.6715	30260	1	29899	98.8070059484468	99.9866234157108	30260	1	29899	98.8070059484468	1.19299405155321	8.21565038222616e-15
rand.88	covid	46	1	29870	4	99.8896	16	0	62.8901	47777	1	30242	63.2982397387864	100	47777	1	30242	63.2982397387864	15.6414174184231	21.0603428427905
rand.42	covid	18	1	29871	2	99.8930	20	0	83.0511	35967	1	29984	83.365307087052	100	35652	1	29984	84.1018736676764	10.080780881858	5.81734545046561
rand.99	covid	230	1	29859	2	99.8529	10	0	16.4908	181065	1	29909	16.5183773782896	100	181065	1	29909	16.5183773782896	61.7468864772319	21.7347361444785
rand.92	covid	8	1	29858	2	99.8495	18	0	92.2198	32377	1	29896	92.3371529171943	99.9765909774939	32377	1	29896	92.3371529171943	4.60820953145752	3.05463755134817
rand.58	covid	235	1	29859	2	99.8529	10	0	13.6090	219407	1	29904	13.6294648757788	100	219407	1	29904	13.6294648757788	48.9811172843164	37.3894178399048
rand.19	covid	5	1	29875	5	99.9064	18	0	94.5247	31779	1	30290	95.3145158752635	100	31779	1	30290	95.3145158752635	4.68548412473646	8.88178419700125e-16
rand.81	covid	3	1	29871	2	99.8930	10	0	97.5953	30607	1	29944	97.8338288626785	100	30607	1	29944	97.8338288626785	1.02590910576012	1.14026203156141
rand.37	covid	29	1	29871	2	99.8930	16	0	74.5638	40061	1	30068	75.0555403010409	100	39711	1	30068	75.7170557276321	23.3612852861927	0.921658986175114
rand.7	covid	2	1	29875	3	99.9064	11	0	98.6294	30352	1	29959	98.7051924090669	100	30352	1	29959	98.7051924090669	0	1.29480759093306
rand.1	covid	33	1	29864	2	99.8696	2	0	71.4518	41796	1	29876	71.4805244521007	99.9097080560479	41796	1	29876	71.4805244521007	5.13924777490669	23.3802277729926
rand.16	covid	19	1	29871	2	99.8930	10	0	82.6970	36121	1	29883	82.7302677113037	99.933117078554	36121	1	29883	82.7302677113037	12.5882450651975	4.6814872234988
rand.64	covid	33	1	29858	2	99.8495	0	0	71.4238	41804	1	29906	71.5386087455746	100	41804	1	29906	71.5386087455746	5.21481197971486	23.2465792747106
rand.5	covid	412	2	29864	8	99.8696	18	0	12.9833	233099	2	30286	12.9927627317149	100	233099	4	31126	13.3531246380293	25.2094603580453	61.4374150039254
rand.32	covid	57	1	29864	4	99.8696	0	0	52.9986	56509	1	29973	53.0411084959918	100	56509	1	29973	53.0411084959918	3.8206303420694	43.1382611619388
rand.71	covid	304	1	29871	6	99.8930	14	0	18.9874	158537	1	30130	19.0050272176211	100	158537	1	30130	19.0050272176211	14.3550086099775	66.6399641724014
rand.13	covid	2	1	29874	1	99.9030	19	0	97.3570	30685	1	30064	97.9762098745315	100	30685	1	30064	97.9762098745315	0	2.02379012546847
rand.30	covid	7	1	29865	4	99.8729	12	0	93.8800	31879	1	29951	93.9521314972239	100	31879	1	29951	93.9521314972239	1.01006932463377	5.03779917814235
rand.79	covid	1	1	29865	4	99.8729	16	0	99.9266	29964	1	29964	100	100	29964	1	29964	100	0	0
rand.3	covid	5	1	29875	3	99.9064	14	0	94.6445	31687	1	30012	94.7139205352353	100	31687	1	30012	94.7139205352353	0.987786789535141	4.29829267522958
rand.29	covid	9	1	29859	2	99.8529	10	0	90.9947	32814	1	29899	91.1165965746328	99.9866234157108	32814	1	29899	91.1165965746328	6.65264825988907	2.23075516547815
rand.65	covid	4	1	29867	4	99.8796	12	0	96.8017	30954	1	29986	96.8727789623312	100	30954	1	29986	96.8727789623312	0.988563675130839	2.13865736253796
rand.48	covid	3	1	29871	4	99.8930	14	0	97.7601	30627	1	29964	97.8352434126751	100	30627	1	29964	97.8352434126751	0	2.16475658732492
