sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.80	KM821997_KM821998	167	1	390	2	3.6651	29	0	0.4027	96857	1	390	0.402655461143748	3.6650690724556	96857	1	390	0.402655461143748	2.01947200512095	97.5778725337353
rand.63	KM821997_KM821998	66	3	1796	6	16.8781	125	0	4.9449	36320	3	1832	5.04405286343612	17.216427027535	36320	3	1832	5.04405286343612	8.56002202643172	86.3959251101322
rand.69	KM821997_KM821998	362	2	3308	3	31.0873	501	4	2.4220	172748	2	4428	2.56327135480584	41.6126303918805	172748	2	4428	2.56327135480584	1.20175052677889	96.2349781184153
rand.7	KM821997_KM821998	149	6	6933	11	65.1537	877	12	17.4747	82130	6	18346	22.3377572141727	100	82130	16	30970	37.7085108973578	0	62.2914891026422
rand.77	KM821997_KM821998	579	5	2461	10	23.1275	155	2	0.8341	307506	5	2620	0.852015895624801	24.6217460764966	307506	5	2620	0.852015895624801	6.03370340741319	93.114280696962
rand.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.61	KM821997_KM821998	723	13	6728	29	63.2271	435	2	2.0059	387913	13	7960	2.0520065066136	74.8049995301194	387913	13	7960	2.0520065066136	2.36522106761052	95.5827724257759
rand.65	KM821997_KM821998	536	8	9386	15	88.2060	645	0	6.3321	313800	8	20512	6.53664754620778	100	313800	8	20512	6.53664754620778	0.224665391969407	93.2386870618228
rand.66	KM821997_KM821998	208	1	3620	2	34.0194	632	8	3.0727	117812	1	7108	6.03334125555971	66.7982332487548	117812	1	7108	6.03334125555971	1.38016500865786	92.5864937357824
rand.3	KM821997_KM821998	235	11	5742	23	53.9611	384	3	5.2484	127163	11	6741	5.30107027987701	63.349309275444	127163	11	6741	5.30107027987701	0	94.698929720123
rand.23	KM821997_KM821998	227	6	6615	12	62.1652	460	3	5.1916	127976	6	6692	5.22910545727324	62.8888262381355	127976	6	6692	5.22910545727324	10.5855785459774	84.1853159967494
rand.13	KM821997_KM821998	421	5	10493	12	98.6092	730	1	4.6163	229926	5	10835	4.71238572410254	100	229926	5	10835	4.71238572410254	12.3348381653228	82.9527761105747
rand.70	KM821997_KM821998	378	2	10179	2	95.6583	737	5	4.3734	232724	2	13711	5.89152816211478	100	232724	2	13711	5.89152816211478	0.501022670631306	93.6074491672539
rand.32	KM821997_KM821998	309	2	10171	3	95.5831	751	0	0.4559	2230881	2	10338	0.463404368050111	97.1525232590922	2230881	2	10338	0.463404368050111	0.0704654349559658	99.4661301969939
rand.56	KM821997_KM821998	1173	8	6505	18	61.1315	417	0	1.1004	597168	8	6691	1.1204552152828	66.9204022178367	591598	9	7121	1.20368899151113	3.37594109513555	95.4203699133533
rand.44	KM821997_KM821998	136	2	10185	3	95.7147	757	1	11.3379	89840	2	10312	11.4781834372217	100	89840	3	10764	11.9813000890472	8.75556544968834	79.2631344612645
rand.90	KM821997_KM821998	401	2	10171	3	95.5831	751	0	4.2305	240423	2	10338	4.29992138855268	97.1525232590922	240423	2	10338	4.29992138855268	0.962886246324187	94.7371923651231
rand.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.45	KM821997_KM821998	219	1	339	2	3.1858	23	0	0.2732	124069	1	411	0.331267278691696	3.86241894558782	124069	1	411	0.331267278691696	4.20814224342906	95.4605904778792
rand.97	KM821997_KM821998	499	3	10608	5	99.6899	788	3	3.3761	314180	3	10957	3.48749124705583	100	314180	3	10957	3.48749124705583	0.525813228085811	95.9866955248584
