sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.10	covid	29	1	29855	4	99.8395	18	0	75.5723	39623	1	29969	75.635363299094	100
rand.92	covid	17	2	29843	8	99.7994	14	0	82.3393	36754	2	30301	82.4427273221962	100
rand.4	covid	5	1	29818	4	99.7157	12	0	95.6565	31265	1	29921	95.7012633935711	100
rand.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.29	covid	89	1	29836	6	99.7759	24	0	45.1959	66422	1	30020	45.1958688386378	100
rand.3	covid	317	1	29836	6	99.7759	16	0	20.1601	149136	1	30066	20.1601223044738	100
rand.58	covid	6	2	29858	6	99.8495	28	0	95.8835	31216	2	29951	95.9475909789851	100
rand.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.52	covid	9	1	29871	6	99.8930	14	6	88.6489	33935	1	30101	88.7019301606012	100
rand.12	covid	48	1	29836	6	99.7759	22	4	61.0677	49152	1	30016	61.0677083333333	100
rand.9	covid	15	2	29858	8	99.8495	24	0	86.1755	34909	2	30096	86.2127245123034	100
rand.60	covid	40	3	29856	10	99.8428	22	4	66.5787	45070	3	30056	66.6873751941424	100
rand.34	covid	31	1	29856	4	99.8428	18	0	73.8691	40477	1	29940	73.9679324060578	100
rand.49	covid	35	1	29849	4	99.8194	16	0	67.0626	44709	1	30022	67.1497908698472	100
rand.13	covid	7	1	29796	2	99.6422	24	0	92.3878	32251	1	29810	92.4312424420948	99.6890180561149
rand.53	covid	18	1	29825	4	99.7392	24	0	83.1417	35923	1	29867	83.1417197895499	99.8796541961442
rand.77	covid	9	1	29871	6	99.8930	10	6	89.6449	33568	1	30092	89.6448999046711	100
rand.59	covid	4	1	29858	4	99.8495	18	0	92.1758	32489	1	29969	92.2435285789036	100
rand.78	covid	9	1	29865	6	99.8729	20	0	89.9967	33359	1	30022	89.9967025390449	100
rand.47	covid	32	1	29861	4	99.8595	28	0	73.6483	40635	1	29941	73.682785775809	100
rand.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.46	covid	23	5	29861	12	99.8595	20	0	82.0249	36673	5	30161	82.2430671065907	100
rand.17	covid	47	32	16508	72	55.2052	11	0	73.8365	22883	32	17084	74.6580430887558	57.1314294160407
rand.35	covid	19	1	29861	4	99.8595	18	0	81.0170	36912	1	29959	81.163307325531	100
rand.88	covid	42	1	29849	4	99.8194	28	0	63.7380	47041	1	30022	63.8209221742735	100
rand.91	covid	16	1	29871	6	99.8930	24	0	84.5026	35593	1	30077	84.5025707301997	100
rand.66	covid	138	1	29843	4	99.7994	14	0	31.3301	95544	1	29934	31.3300678221552	100
rand.75	covid	7	1	29796	2	99.6422	12	0	87.2785	34139	1	29810	87.319487975629	99.6890180561149
rand.16	covid	20	1	29855	4	99.8395	18	0	81.7338	36636	1	29961	81.7802161808058	100
rand.86	covid	19	1	29839	2	99.7860	22	0	81.2852	36709	1	29898	81.445966929091	99.983304668387
rand.25	covid	5	1	29816	4	99.7091	18	0	95.0875	31430	1	29953	95.3006681514477	100
rand.68	covid	118	1	29841	2	99.7927	18	0	38.5493	77410	1	29841	38.5492830383671	99.7927
rand.18	covid	11	2	29839	4	99.7860	20	0	89.9798	33203	2	29958	90.2267867361383	100
rand.32	covid	13	1	29842	2	99.7960	12	0	85.7603	34797	1	29863	85.8206167198322	99.8662270625293
rand.11	covid	15	4	29733	8	99.4315	28	0	88.0164	33813	4	29825	88.205719693609	99.7391614536037
rand.19	covid	3	1	29871	6	99.8930	10	6	96.9771	31030	1	30092	96.9771189171769	100
rand.69	covid	18	3	29794	8	99.6355	21	0	84.2814	35474	3	29962	84.4618593899758	100
rand.14	covid	61	1	29796	2	99.6422	12	0	55.9791	53227	1	29810	56.0054107877581	99.6890180561149
rand.76	covid	26	1	29836	2	99.7759	18	0	75.9785	39269	1	29856	76.0294379790675	99.8427828931492
