sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.29	covid	28	1	29836	6	99.7759	24	0	72.0751	41651	1	30020	72.0751002376894	100
rand.25	covid	1	1	29816	4	99.7091	18	0	99.7763	29953	1	29953	100	100
rand.51	covid	4	1	29858	4	99.8495	18	0	96.7874	30941	1	29969	96.8585372159917	100
rand.89	covid	3	2	29772	4	99.5619	21	0	98.8807	30109	2	29809	99.0036201800126	99.6856333837162
rand.80	covid	16	1	29827	4	99.7458	12	0	84.2972	35465	1	29896	84.2971944170309	99.9765459751232
rand.1	covid	5	1	29843	4	99.7994	14	0	95.6813	31329	1	29976	95.6813176290338	100
rand.68	covid	25	1	29841	2	99.7927	18	0	76.4820	39017	1	29841	76.4820462875157	99.7927
rand.21	covid	4	1	29822	4	99.7291	16	0	96.2502	31042	1	29899	96.3178918884093	99.9865991851653
rand.13	covid	2	1	29796	2	99.6422	24	0	98.6655	30199	1	29810	98.7118778767509	99.6890180561149
rand.47	covid	14	1	29861	4	99.8595	28	0	87.2380	34305	1	29941	87.2788223291065	100
rand.96	covid	1	1	29861	4	99.8595	20	0	99.8697	29942	1	29942	100	100
rand.91	covid	13	1	29871	6	99.8930	24	0	88.1558	34118	1	30077	88.1558121812533	100
rand.77	covid	7	1	29871	6	99.8930	10	6	92.6906	32465	1	30092	92.6905898660096	100
rand.53	covid	17	1	29825	4	99.7392	24	0	83.9739	35567	1	29867	83.9739083982343	99.8796541961442
rand.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.45	covid	1	1	29818	4	99.7157	12	0	99.9532	29907	1	29907	100	100
rand.93	covid	4	4	29834	14	99.7693	24	0	99.7581	30180	4	30180	100	100
rand.67	covid	3	1	29855	4	99.8395	18	0	97.3527	30786	1	29988	97.4079126875853	100
rand.2	covid	6	2	29833	4	99.7659	18	0	96.0732	31094	2	29902	96.1664629832122	99.9966460563805
rand.22	covid	22	3	29856	8	99.8428	18	0	83.4413	35957	3	30047	83.56370108741	100
rand.69	covid	16	3	29794	8	99.6355	21	0	86.0770	34734	3	29962	86.2613001669834	100
rand.6	covid	97	1	29856	4	99.8428	22	0	45.1764	66185	1	29945	45.2443907229735	100
rand.16	covid	18	1	29855	4	99.8395	18	0	83.4699	35874	1	29961	83.5173105870547	100
rand.38	covid	77	1	29871	6	99.8930	10	6	51.2544	58711	1	30092	51.2544497623955	100
rand.26	covid	9	1	29856	6	99.8428	18	0	91.5520	32836	1	30062	91.5519551711536	100
rand.10	covid	19	1	29855	4	99.8395	18	0	82.7548	36184	1	29969	82.8239000663277	100
rand.57	covid	112	1	29796	2	99.6422	12	0	42.0806	70807	1	29820	42.1144802067592	99.7224595247684
rand.46	covid	10	5	29861	12	99.8595	20	0	94.8568	31712	5	30161	95.109106962664	100
rand.17	covid	46	32	16508	72	55.2052	11	0	74.9601	22540	32	17084	75.7941437444543	57.1314294160407
rand.15	covid	5	1	29836	6	99.7759	16	0	95.2692	31559	1	30066	95.2691783643335	100
rand.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.92	covid	8	2	29843	8	99.7994	14	0	93.2460	32455	2	30301	93.3631181636112	100
rand.12	covid	22	1	29836	6	99.7759	22	4	78.5595	38208	1	30016	78.5594639865997	100
rand.54	covid	15	1	29849	4	99.8194	14	6	86.1040	34751	1	29922	86.1039970072804	100
rand.42	covid	43	1	29861	4	99.8595	22	0	65.4563	45687	1	29919	65.4868999934336	100
rand.4	covid	1	1	29818	4	99.7157	12	0	99.9532	29921	1	29921	100	100
rand.72	covid	79	1	29831	6	99.7592	24	0	48.1879	62360	1	30050	48.1879409878127	100
rand.84	covid	21	7	29657	14	99.1773	34	0	86.6610	34403	7	29957	87.0767084265907	100
rand.43	covid	48	1	29843	4	99.7994	14	0	62.8345	47649	1	29940	62.8344771138954	100
rand.8	covid	2	1	29856	4	99.8428	28	0	98.6418	30334	1	29950	98.7340937561812	100
rand.70	covid	8	1	29856	4	99.8428	28	0	92.6716	32299	1	29960	92.7582897303322	100
rand.76	covid	13	1	29836	2	99.7759	18	0	87.0463	34276	1	29856	87.1046796592368	99.8427828931492
rand.40	covid	20	1	29871	6	99.8930	10	6	80.9534	37172	1	30092	80.9534057893038	100
rand.11	covid	9	4	29733	8	99.4315	28	0	94.4194	31520	4	29825	94.622461928934	99.7391614536037
rand.20	covid	3	1	29833	2	99.7659	18	0	97.8709	30482	1	29850	97.9266452332524	99.822750477659
rand.71	covid	4	1	29858	4	99.8495	18	0	96.5378	31021	1	29967	96.6023016666129	100
rand.85	covid	1	1	29837	4	99.7793	10	6	100.0000	29972	1	29972	100	100
rand.87	covid	26	1	29827	4	99.7458	20	4	76.2337	39211	1	29892	76.2337099283364	99.9631693968552
rand.79	covid	2	1	29858	4	99.8495	18	0	98.5032	30399	1	29966	98.5756110398368	100
rand.48	covid	6	1	29836	6	99.7759	14	0	93.9328	32008	1	30066	93.9327668082979	100
rand.19	covid	2	1	29871	6	99.8930	10	6	98.9250	30419	1	30092	98.9250139715309	100
rand.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.60	covid	17	3	29856	10	99.8428	22	4	84.6555	35446	3	30056	84.7937708062969	100
rand.52	covid	3	1	29871	6	99.8930	14	6	97.6150	30818	1	30101	97.6734376014018	100
rand.50	covid	17	1	29856	6	99.8428	12	0	83.4754	36013	1	30062	83.4754116569017	100
rand.99	covid	4	3	29856	8	99.8428	18	0	98.8680	30300	3	29997	99	100
rand.32	covid	3	1	29842	2	99.7960	12	0	97.9100	30479	1	29863	97.9789363168083	99.8662270625293
rand.73	covid	3	3	29815	8	99.7057	22	0	99.7600	30001	3	30001	100	100
rand.30	covid	22	1	29796	2	99.6422	24	0	81.2190	36686	1	29810	81.257155318105	99.6890180561149
rand.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.49	covid	11	1	29849	4	99.8194	16	0	89.7748	33398	1	30022	89.8916102760644	100
rand.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.94	covid	3	1	29796	2	99.6422	18	0	97.7687	30476	1	29810	97.8146738417115	99.6890180561149
rand.82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.75	covid	2	1	29796	2	99.6422	12	0	98.1940	30344	1	29810	98.2401792776167	99.6890180561149
rand.3	covid	301	1	29836	6	99.7759	16	0	21.0264	142992	1	30066	21.0263511245384	100
rand.7	covid	5	1	29849	4	99.8194	18	0	95.6731	31339	1	30022	95.7975685248413	100
rand.37	covid	100	1	29845	4	99.8060	24	0	45.4166	65868	1	29925	45.4317726361815	100
rand.100	covid	9	1	29849	4	99.8194	14	0	89.7963	33390	1	30022	89.9131476489967	100
rand.59	covid	1	1	29858	4	99.8495	18	0	99.9266	29969	1	29969	100	100
rand.9	covid	7	2	29858	8	99.8495	24	0	94.5947	31802	2	30096	94.6355575121062	100
rand.78	covid	5	1	29865	6	99.8729	20	0	95.7853	31343	1	30022	95.7853428197684	100
rand.83	covid	100	1	29843	4	99.7994	18	0	41.5900	71974	1	29934	41.5900186178342	100
rand.74	covid	3	1	29796	2	99.6422	12	0	97.7944	30468	1	29810	97.8403570959695	99.6890180561149
rand.90	covid	40	1	29818	4	99.7157	24	0	60.6191	49331	1	29918	60.6474630556851	100
rand.27	covid	38	1	29836	6	99.7759	16	0	61.2966	49050	1	30066	61.2966360856269	100
rand.88	covid	18	1	29849	4	99.8194	28	0	82.9658	36139	1	30022	83.0736877058026	100
rand.35	covid	5	1	29861	4	99.8595	18	0	95.0723	31455	1	29959	95.243999364171	100
rand.65	covid	28	1	29843	4	99.7994	14	0	75.9033	39412	1	29915	75.903278189384	100
rand.39	covid	12	1	29834	2	99.7693	22	0	88.2010	33825	1	29910	88.4257206208426	100
rand.55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.34	covid	22	1	29856	4	99.8428	18	0	80.5930	37100	1	29940	80.7008086253369	100
rand.97	covid	4	4	29771	12	99.5586	24	0	99.5796	30210	4	30210	100	100
rand.31	covid	237	1	29796	2	99.6422	12	0	24.0782	123747	1	29810	24.0894728761101	99.6890180561149
rand.23	covid	1	1	29869	4	99.8863	20	0	99.9466	29974	1	29974	100	100
rand.86	covid	10	1	29839	2	99.7860	22	0	89.5448	33323	1	29898	89.7218137622663	99.983304668387
rand.5	covid	4	1	29796	2	99.6422	12	0	96.2683	30951	1	29840	96.4104552356951	99.7893424620754
rand.64	covid	20	2	29806	6	99.6756	14	0	81.2353	36963	2	30083	81.386792197603	100
rand.18	covid	2	2	29839	4	99.7860	20	0	99.7263	29958	2	29958	100	100
rand.62	covid	4	1	29847	2	99.8127	20	0	95.7064	31186	1	29863	95.7577117937536	99.8662063222434
rand.61	covid	3	3	29818	10	99.7157	22	0	99.9501	30045	3	30045	100	100
rand.24	covid	1	1	29858	4	99.8495	26	0	99.9833	29913	1	29913	100	100
rand.66	covid	74	1	29843	4	99.7994	14	0	49.8344	60067	1	29934	49.8343516406679	100
rand.28	covid	2	2	24901	6	83.2726	10	0	99.8124	25052	2	25052	100	83.7775661700333
