sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.80	GCA_002889555	212	1	11268	0	100.0000	463	0	11.2785	99907	1	11834	11.8450158647542	100
rand.12	GCA_002889555	169	1	11268	0	100.0000	461	0	14.4260	78109	1	11901	15.236400414805	100
rand.64	GCA_002889555	152	1	11268	0	100.0000	461	0	14.8680	75787	1	11841	15.6240516183514	100
rand.26	GCA_002889555	209	1	11268	0	100.0000	460	0	11.7796	95657	1	11858	12.396374546557	100
rand.76	GCA_002889555	212	1	11268	0	100.0000	462	0	11.1097	101425	1	11839	11.6726645304412	100
rand.52	GCA_002889555	38	1	11268	0	100.0000	460	0	41.5885	27094	1	11931	44.0355798331734	100
rand.96	GCA_002889555	282	1	11268	0	100.0000	459	0	9.0627	124334	1	11832	9.51630286164685	100
rand.27	GCA_002889555	132	1	11268	0	100.0000	460	0	16.6097	67840	1	11902	17.5442216981132	100
rand.99	GCA_002889555	138	1	11268	0	100.0000	462	0	16.0447	70229	1	11870	16.9018496632445	100
rand.4	GCA_002889555	182	1	11268	0	100.0000	461	0	12.9232	87192	1	11841	13.5803743462703	100
rand.6	GCA_002889555	107	1	11268	0	100.0000	459	0	20.7030	54427	1	11885	21.8365884579345	100
rand.54	GCA_002889555	180	1	11268	0	100.0000	459	0	13.0971	86034	1	11833	13.7538647511449	100
rand.33	GCA_002889555	148	1	11268	0	100.0000	461	0	15.1342	74454	1	11874	15.9481021838988	100
rand.67	GCA_002889555	216	1	11268	0	100.0000	461	0	11.4785	98166	1	11841	12.0622211356274	100
rand.70	GCA_002889555	183	1	11268	0	100.0000	461	0	13.5472	83176	1	11846	14.2420890641531	100
rand.23	GCA_002889555	163	1	11268	0	100.0000	461	0	14.9819	75211	1	11834	15.7344005531106	100
rand.22	GCA_002889555	167	1	11268	0	100.0000	460	0	14.5747	77312	1	11848	15.324917218543	100
rand.98	GCA_002889555	216	1	11268	0	100.0000	461	0	11.1460	101095	1	11840	11.711756268856	100
rand.37	GCA_002889555	132	1	11268	0	100.0000	460	0	16.4178	68633	1	11901	17.3400550755467	100
rand.92	GCA_002889555	127	1	11268	0	100.0000	462	0	17.3551	64926	1	11832	18.2238240458368	100
rand.24	GCA_002889555	188	1	11268	0	100.0000	460	0	12.5479	89800	1	11860	13.2071269487751	100
rand.66	GCA_002889555	211	1	11268	0	100.0000	461	0	11.2670	100009	1	11845	11.8439340459359	100
rand.87	GCA_002889555	47	1	11268	0	100.0000	460	0	38.1681	29522	1	11940	40.4444143350721	100
rand.39	GCA_002889555	86	1	11268	0	100.0000	462	0	23.4711	48008	1	11878	24.7417097150475	100
rand.63	GCA_002889555	76	1	11268	0	100.0000	460	0	27.4414	41062	1	11890	28.9562125566217	100
rand.83	GCA_002889555	161	1	11268	0	100.0000	460	0	13.8017	81642	1	11804	14.4582445310012	100
rand.72	GCA_002889555	153	1	11268	0	100.0000	460	0	15.0670	74786	1	11873	15.8759660899099	100
rand.13	GCA_002889555	222	1	11268	0	100.0000	460	0	11.1324	101218	1	11856	11.713331620858	100
rand.11	GCA_002889555	66	1	11268	0	100.0000	460	0	29.1170	38699	1	11939	30.8509263805266	100
rand.29	GCA_002889555	263	1	11268	0	100.0000	462	0	9.3064	121078	1	11866	9.80029402533904	100
rand.2	GCA_002889555	128	1	11268	0	100.0000	461	0	17.7692	63413	1	11843	18.6759812656711	100
rand.1	GCA_002889555	140	1	11268	0	100.0000	460	0	16.4761	68390	1	11901	17.401666910367	100
rand.82	GCA_002889555	252	1	11268	0	100.0000	460	0	10.2128	110332	1	11966	10.8454482833629	100
rand.86	GCA_002889555	169	1	11268	0	100.0000	460	0	14.1247	79775	1	11951	14.9808837355061	100
rand.41	GCA_002889555	101	1	11268	2	100.0000	461	0	22.3884	50888	1	11967	23.5163496305612	100
rand.3	GCA_002889555	87	1	11268	0	100.0000	459	0	24.8659	45315	1	11832	26.1105594174115	100
rand.53	GCA_002889555	117	1	11268	0	100.0000	460	0	20.1625	55886	1	11837	21.1806176860037	100
rand.40	GCA_002889555	101	1	11268	0	100.0000	459	0	20.8601	54017	1	11863	21.9616046800081	100
rand.69	GCA_002889555	112	1	11268	0	100.0000	461	0	19.1174	58941	1	11910	20.2066473252914	100
rand.58	GCA_002889555	115	1	11268	0	100.0000	461	0	18.5558	60725	1	11841	19.4993824619185	100
rand.50	GCA_002889555	130	1	11268	0	100.0000	460	0	17.5222	64307	1	11947	18.5780708165519	100
rand.7	GCA_002889555	51	1	11268	0	100.0000	460	0	34.2722	32878	1	11865	36.0879615548391	100
rand.48	GCA_002889555	171	1	11268	0	100.0000	461	0	14.3662	78434	1	11841	15.0967692582299	100
rand.94	GCA_002889555	244	1	11268	0	100.0000	459	0	10.1794	110694	1	11832	10.6889262290639	100
rand.25	GCA_002889555	296	1	11268	0	100.0000	461	0	8.5944	131109	1	11901	9.07718005628904	100
rand.84	GCA_002889555	80	1	11268	0	100.0000	460	0	27.2787	41307	1	11939	28.9030914857046	100
rand.43	GCA_002889555	114	1	11268	0	100.0000	460	0	18.7531	60086	1	11881	19.7733249009753	100
rand.51	GCA_002889555	175	1	11268	0	100.0000	461	0	13.6618	82478	1	11901	14.4293023594171	100
rand.47	GCA_002889555	198	1	11268	0	100.0000	461	0	12.2629	91887	1	11852	12.8984513587341	100
rand.46	GCA_002889555	155	1	11268	0	100.0000	461	0	15.3040	73628	1	11914	16.1813440538925	100
rand.68	GCA_002889555	169	1	11268	0	100.0000	460	0	13.9221	80936	1	11900	14.7029751902738	100
rand.91	GCA_002889555	336	1	11268	0	100.0000	462	0	7.8228	144041	1	11848	8.22543581341424	100
rand.62	GCA_002889555	129	1	11268	0	100.0000	460	0	16.7462	67287	1	11822	17.5695156568134	100
