sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.92	covid	133	23	28776	46	96.2311	4	0	42.4456	67960	23	28846	42.445556209535	96.4652376015784	66803	23	28846	43.180695477748	52.1713096717213	4.64799485053067
rand.9	covid	31	2	535	4	1.7891	2	0	5.7073	9374	2	535	5.70727544271389	1.78911814868073	9374	2	535	5.70727544271389	82.1314273522509	12.1612972050352
rand.79	covid	86	19	20711	38	69.2606	2	0	48.4044	42837	19	20735	48.4044167425357	69.3408688091496	42837	19	20735	48.4044167425357	44.5105866423886	7.08499661507575
rand.35	covid	128	29	16136	58	53.9611	0	2	31.0834	51928	29	16142	31.0853489446927	53.9812058990737	48726	29	16142	33.1281040922711	55.6376472519805	11.2342486557485
rand.97	covid	59	28	15896	56	53.1585	0	2	62.6418	25384	28	15902	62.6457611093602	53.1786108417216	25124	28	15902	63.2940614551823	26.6557872950167	10.050151249801
rand.6	covid	200	3	29792	6	99.6288	6	0	31.0937	95849	3	29804	31.0947427724859	99.6689295388422	90771	3	29804	32.8342752641262	55.0946888323363	12.0710359035375
rand.16	covid	83	1	29801	2	99.6589	2	0	47.1237	63240	1	29801	47.1236559139785	99.6588971006254	62223	1	29801	47.8938656123941	40.5477074393713	11.5584269482346
rand.30	covid	176	2	885	4	2.9596	2	0	1.4861	59550	2	885	1.48614609571788	2.95956927398589	57113	2	885	1.54955964491447	89.0462766795651	9.40416367552046
rand.19	covid	84	1	29801	2	99.6589	2	0	52.1863	57105	1	29801	52.1863234392785	99.6588971006254	57105	1	29801	52.1863234392785	34.1546274406795	13.659049120042
rand.70	covid	38	2	29855	4	99.8395	4	0	70.7497	42215	2	29869	70.7544711595404	99.8862990335418	42215	2	29869	70.7544711595404	26.7393106715622	2.50621816889732
rand.60	covid	109	26	21873	52	73.1465	6	0	42.9833	50964	26	21908	42.9872066556785	73.263552151958	50171	26	21908	43.6666600227223	45.5781228199558	10.755217157322
rand.100	covid	101	2	29855	4	99.8395	6	0	49.5297	60283	2	29858	49.5297181626661	99.8495134267465	59369	2	29858	50.2922400579427	33.0374437837929	16.6703161582644
rand.65	covid	4	1	258	2	0.8628	0	0	15.8769	1625	1	258	15.8769230769231	0.862789686653513	1625	1	258	15.8769230769231	84.1230769230769	0
rand.46	covid	14	3	29766	6	99.5419	6	0	89.7675	33159	3	29767	89.7704997135016	99.5451961341671	33159	3	29767	89.7704997135016	7.58466781266021	2.64483247383817
rand.82	covid	67	5	28690	10	95.9436	8	0	60.8342	47161	5	28690	60.8341638218019	95.9435508142996	46813	5	28690	61.2863948048619	29.639202785551	9.07440240958708
rand.29	covid	48	17	13244	34	44.2899	4	0	52.1684	25387	17	13258	52.2235789971245	44.3366886265592	23109	17	13258	57.3715868276429	26.8726470206413	15.7557661517158
rand.78	covid	10	2	1915	4	6.4040	0	0	45.1544	4241	2	1915	45.1544447064372	6.40403972845534	4241	2	1915	45.1544447064372	35.1803819853808	19.665173308182
rand.36	covid	97	3	29804	6	99.6689	8	0	45.8311	65065	3	29820	45.8310919849381	99.7224358759991	64709	3	29820	46.0832341714445	47.0135529833563	6.90321284519928
rand.71	covid	67	1	246	2	0.8227	0	0	1.1791	20863	1	246	1.17912093179313	0.822659933785908	20863	1	246	1.17912093179313	70.771221780185	28.0496572880219
rand.62	covid	113	2	27249	4	91.1246	4	0	42.1981	64574	2	27249	42.1980983058197	91.1246363241146	64574	2	27249	42.1980983058197	46.4505838263078	11.3513178678725
rand.67	covid	87	3	26691	6	89.2586	6	0	49.0287	54462	3	26703	49.0305166905365	89.2987325686386	53355	3	26703	50.0477930840596	50.2876956236529	0
rand.3	covid	20	7	3510	14	11.7380	0	0	48.7162	7205	7	3510	48.7161693268564	11.7379527137745	6963	7	3510	50.4093063334769	28.464742208818	21.125951457705
rand.7	covid	35	1	29801	2	99.6589	2	0	73.3780	40613	1	29801	73.3779824194224	100	40613	2	30114	74.1486716076133	20.904636446458	4.94669194592865
rand.98	covid	12	1	29801	2	99.6589	2	0	88.9556	33501	1	29801	88.9555535655652	99.6588971006254	33501	1	29801	88.9555535655652	1.96113548849288	9.08331094594191
