fragment	annotation	frquency	length	status
rand.96.k141_183	Lysobacter capsici	6	617	Annotated
rand.40.k141_37210	NA	NA	434	Unannotated
rand.96.k141_2791	Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	10	726	Annotated
rand.96.k141_1537	GB virus C	64	383	Annotated
rand.64.k141_3910	NA	NA	368	Unannotated
rand.64.k141_41138	NA	NA	312	Unannotated
rand.94.k141_2721	Oncorhynchus tshawytscha	4	316	Annotated
rand.72.k141_3850	Escherichia phage T4	8	476	Annotated
rand.40.k141_1227	GB virus C	72	403	Annotated
rand.30.k141_19508	Escherichia coli	97	461	Annotated
rand.30.k141_2522	GB virus C	47	3309	Annotated
rand.30.k141_1618	GB virus C	54	3250	Annotated
rand.67.k141_1377	Escherichia coli	93	397	Annotated
rand.67.k141_7241	NA	NA	397	Unannotated
rand.43.k141_15295	Pantoea dispersa	4	546	Annotated
rand.13.k141_12793	Escherichia coli	49	340	Annotated
rand.58.k141_1709	Klebsiella pneumoniae	29	368	Annotated
rand.34.k141_1477	Escherichia coli	93	350	Annotated
rand.13.k141_3511	synthetic construct	6	329	Annotated
rand.13.k141_957	Escherichia coli	91	568	Annotated
rand.55.k141_44	Torque teno virus	44	386	Annotated
rand.55.k141_40039	Nibricoccus aquaticus	1	623	Annotated
rand.55.k141_5895	Alphatorquevirus homin13	37	612	Annotated
rand.55.k141_635	Alphatorquevirus homin13	40	317	Annotated
rand.55.k141_768	Torque teno virus	38	209	Annotated
rand.71.k141_1715	GB virus C	52	283	Annotated
rand.49.k141_3620	GB virus C	52	389	Annotated
rand.91.k141_44185	Escherichia coli	106	390	Annotated
rand.91.k141_47591	Escherichia coli	101	312	Annotated
rand.91.k141_40562	Escherichia coli	96	390	Annotated
rand.16.k141_6917	Escherichia coli	94	641	Annotated
rand.16.k141_5668	GB virus C	50	1037	Annotated
rand.16.k141_20192	Escherichia coli	89	623	Annotated
rand.61.k141_24160	Escherichia coli	109	1009	Annotated
rand.52.k141_4615	uncultured Acidobacteriota bacterium	11	441	Annotated
rand.14.k141_4065	GB virus C	55	300	Annotated
rand.14.k141_6411	GB virus C	51	275	Annotated
rand.88.k141_3004	Torque teno virus	27	385	Annotated
rand.14.k141_5472	GB virus C	54	319	Annotated
rand.14.k141_4814	GB virus C	56	429	Annotated
rand.14.k141_2662	GB virus C	50	263	Annotated
rand.14.k141_7071	GB virus C	78	398	Annotated
rand.14.k141_7121	GB virus C	59	287	Annotated
rand.14.k141_2094	GB virus C	52	315	Annotated
rand.14.k141_3560	GB virus C	57	329	Annotated
rand.14.k141_2157	GB virus C	58	214	Annotated
rand.14.k141_942	GB virus C	57	282	Annotated
rand.14.k141_1881	GB virus C	74	312	Annotated
rand.14.k141_437	GB virus C	78	323	Annotated
rand.14.k141_259	GB virus C	52	426	Annotated
rand.14.k141_4544	GB virus C	52	365	Annotated
rand.14.k141_300	GB virus C	59	253	Annotated
rand.14.k141_7494	GB virus C	56	273	Annotated
rand.14.k141_1074	GB virus C	61	282	Annotated
rand.14.k141_2483	GB virus C	49	295	Annotated
rand.14.k141_1859	GB virus C	62	550	Annotated
rand.14.k141_8287	GB virus C	57	373	Annotated
rand.2.k141_676	Escherichia coli	107	742	Annotated
rand.14.k141_907	GB virus C	51	433	Annotated
rand.54.k141_9535	Escherichia coli	93	582	Annotated
rand.54.k141_15714	Escherichia coli	90	600	Annotated
rand.54.k141_46302	uncultured Chitinophagaceae bacterium	3	462	Annotated
rand.54.k141_12597	Torque teno virus	85	1793	Annotated
rand.14.k141_725	GB virus C	52	305	Annotated
rand.14.k141_775	GB virus C	51	216	Annotated
rand.14.k141_7246	Escherichia coli	84	479	Annotated
rand.14.k141_4406	GB virus C	54	419	Annotated
rand.39.k141_2049	GB virus C	57	431	Annotated
rand.2.k141_975	Cloning vector p(S)IA(3)_TAN	1	465	Annotated
rand.39.k141_1681	GB virus C	54	367	Annotated
rand.39.k141_2549	GB virus C	60	341	Annotated
rand.39.k141_3792	GB virus C	56	422	Annotated
rand.35.k141_1108	GB virus C	47	275	Annotated
rand.35.k141_11950	Escherichia coli	111	384	Annotated
rand.24.k141_17852	Escherichia coli	86	526	Annotated
rand.24.k141_2372	Torque teno virus	87	442	Annotated
rand.46.k141_657	NA	NA	364	Unannotated
rand.39.k141_6234	GB virus C	45	2659	Annotated
rand.39.k141_5385	GB virus C	53	298	Annotated
rand.99.k141_4794	Escherichia coli	93	535	Annotated
rand.53.k141_718	Escherichia coli	90	388	Annotated
rand.39.k141_4280	GB virus C	53	277	Annotated
rand.39.k141_940	GB virus C	46	336	Annotated
rand.39.k141_3911	GB virus C	62	294	Annotated
rand.39.k141_212	GB virus C	49	201	Annotated
rand.39.k141_4460	GB virus C	45	302	Annotated
rand.39.k141_1957	GB virus C	52	314	Annotated
rand.3.k141_3243	Torque teno virus	88	421	Annotated
rand.46.k141_3404	Equine infectious anemia virus	85	258	Annotated
rand.46.k141_2366	Escherichia coli	98	552	Annotated
rand.3.k141_3111	Escherichia coli	93	312	Annotated
rand.29.k141_2232	Torque teno midi virus	97	1020	Annotated
rand.15.k141_15457	uncultured Acidobacteriota bacterium	12	594	Annotated
rand.66.k141_975	GB virus C	45	2278	Annotated
rand.66.k141_24454	Escherichia coli	49	314	Annotated
rand.46.k141_688	Escherichia coli	94	341	Annotated
rand.41.k141_15740	Escherichia coli	91	442	Annotated
rand.93.k141_1930	GB virus C	39	2177	Annotated
rand.93.k141_3961	GB virus C	68	375	Annotated
rand.93.k141_619	GB virus C	55	437	Annotated
rand.93.k141_8281	GB virus C	45	337	Annotated
rand.93.k141_6596	GB virus C	58	663	Annotated
rand.93.k141_6976	GB virus C	55	907	Annotated
rand.76.k141_19648	Escherichia coli	111	382	Annotated
rand.12.k141_1759	Acidovorax carolinensis	2	397	Annotated
rand.12.k141_24869	Escherichia coli	106	330	Annotated
rand.32.k141_37806	NA	NA	330	Unannotated
rand.7.k141_19446	Torque teno virus	73	689	Annotated
rand.33.k141_1547	GB virus C	58	457	Annotated
rand.33.k141_2248	GB virus C	60	345	Annotated
rand.21.k141_2449	Torque teno virus	77	262	Annotated
rand.68.k141_402	Torque teno virus	51	411	Annotated
rand.76.k141_5235	Torque teno virus	65	764	Annotated
rand.79.k141_3427	Torque teno virus	69	447	Annotated
rand.79.k141_4667	Torque teno virus	16	376	Annotated
rand.79.k141_2711	Torque teno virus	76	305	Annotated
rand.79.k141_2801	Torque teno virus	61	347	Annotated
rand.79.k141_557	Torque teno virus	75	333	Annotated
rand.79.k141_13401	Escherichia coli	104	405	Annotated
rand.79.k141_4417	Torque teno virus	86	204	Annotated
rand.68.k141_3996	Escherichia coli	107	358	Annotated
rand.85.k141_4731	GB virus C	67	227	Annotated
rand.26.k141_7026	Pseudomonas aeruginosa	21	326	Annotated
rand.26.k141_14978	Escherichia coli	107	642	Annotated
rand.26.k141_3644	Escherichia coli	94	487	Annotated
rand.26.k141_5717	GB virus C	44	280	Annotated
rand.21.k141_3884	Pyrinomonadaceae bacterium	2	342	Annotated
rand.21.k141_281	uncultured Acidobacteriota bacterium	11	486	Annotated
rand.21.k141_6792	Salmonella enterica	21	1184	Annotated
rand.62.k141_43440	Pan paniscus	6	280	Annotated
rand.85.k141_10142	GB virus C	52	281	Annotated
rand.85.k141_1237	Escherichia coli	110	327	Annotated
rand.74.k141_12268	Acidobacteriota bacterium	2	713	Annotated
rand.74.k141_3580	Qipengyuania flava	4	497	Annotated
rand.74.k141_1209	Torque teno virus	34	206	Annotated
rand.5.k141_14132	NA	NA	559	Unannotated
rand.50.k141_4572	Escherichia coli	93	367	Annotated
rand.50.k141_3015	Castellaniella ginsengisoli	16	522	Annotated
rand.85.k141_12330	Escherichia coli	86	404	Annotated
rand.85.k141_28090	Escherichia coli	108	565	Annotated
rand.57.k141_2427	Torque teno virus	85	325	Annotated
rand.81.k141_3142	Klebsiella pneumoniae	22	247	Annotated
rand.81.k141_445	Vitis cinerea var. helleri x Vitis riparia	13	352	Annotated
rand.57.k141_6212	Vector pACCRT-EB-RcI	1	429	Annotated
rand.4.k141_1820	Escherichia coli	93	826	Annotated
rand.4.k141_2083	Torque teno virus	52	594	Annotated
rand.75.k141_12020	Escherichia coli	100	427	Annotated
rand.75.k141_11656	Escherichia coli	81	280	Annotated
rand.23.k141_3055	Escherichia coli	93	717	Annotated
rand.81.k141_761	synthetic construct	83	452	Annotated
rand.80.k141_3612	Escherichia coli	100	415	Annotated
rand.80.k141_6096	uncultured Acidobacteriota bacterium	1	521	Annotated
rand.70.k141_3202	Escherichia coli	107	429	Annotated
rand.70.k141_8115	Burkholderia mallei	30	281	Annotated
rand.70.k141_5837	Pyrinomonadaceae bacterium	4	391	Annotated
rand.70.k141_2909	Escherichia coli	87	574	Annotated
rand.70.k141_4587	Escherichia coli	96	332	Annotated
rand.51.k141_4939	Klebsiella pneumoniae	29	376	Annotated
rand.51.k141_22718	Escherichia coli	95	410	Annotated
rand.69.k141_17490	GB virus C	50	273	Annotated
rand.38.k141_9687	Torque teno virus	71	707	Annotated
rand.38.k141_985	Klebsiella pneumoniae	31	281	Annotated
rand.59.k141_9740	Escherichia coli	98	447	Annotated
rand.56.k141_3113	NA	NA	310	Unannotated
rand.73.k141_3122	Escherichia coli	86	656	Annotated
rand.69.k141_8954	GB virus C	73	236	Annotated
rand.69.k141_12199	GB virus C	46	272	Annotated
rand.69.k141_9925	GB virus C	72	252	Annotated
rand.69.k141_5652	GB virus C	77	325	Annotated
rand.69.k141_5671	GB virus C	51	272	Annotated
rand.69.k141_3732	GB virus C	46	289	Annotated
rand.69.k141_11131	GB virus C	70	446	Annotated
rand.69.k141_9816	GB virus C	53	355	Annotated
rand.69.k141_12145	GB virus C	50	262	Annotated
rand.69.k141_1330	GB virus C	68	404	Annotated
rand.69.k141_11184	GB virus C	64	214	Annotated
rand.69.k141_4727	GB virus C	46	283	Annotated
rand.69.k141_11202	GB virus C	72	298	Annotated
rand.69.k141_1395	GB virus C	42	283	Annotated
rand.69.k141_4244	GB virus C	71	344	Annotated
rand.69.k141_1275	GB virus C	49	436	Annotated
rand.69.k141_12087	GB virus C	73	357	Annotated
rand.69.k141_11807	GB virus C	67	451	Annotated
rand.69.k141_10795	GB virus C	35	283	Annotated
rand.69.k141_13155	GB virus C	57	337	Annotated
rand.69.k141_1249	GB virus C	37	282	Annotated
rand.69.k141_6603	GB virus C	57	618	Annotated
rand.69.k141_10704	GB virus C	76	566	Annotated
rand.69.k141_9426	GB virus C	75	262	Annotated
rand.69.k141_6618	GB virus C	52	274	Annotated
rand.69.k141_4606	GB virus C	58	202	Annotated
rand.69.k141_10748	GB virus C	57	336	Annotated
rand.69.k141_2282	GB virus C	49	238	Annotated
rand.69.k141_6069	GB virus C	68	444	Annotated
rand.69.k141_3290	GB virus C	60	249	Annotated
rand.69.k141_428	GB virus C	48	230	Annotated
rand.69.k141_13139	GB virus C	56	282	Annotated
rand.69.k141_5142	GB virus C	61	559	Annotated
rand.69.k141_395	GB virus C	52	288	Annotated
rand.69.k141_859	GB virus C	64	268	Annotated
rand.69.k141_8435	GB virus C	51	280	Annotated
rand.69.k141_8442	GB virus C	56	466	Annotated
rand.69.k141_9354	GB virus C	46	552	Annotated
rand.69.k141_6065	GB virus C	62	254	Annotated
