sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.64	KU182898	17	1	401	2	2.1151	4	0	3.6068	11118	1	417	3.75067458175931	2.19948309509995	11118	1	417	3.75067458175931	3.51681957186544	92.7325058463752
rand.21	KU182898	130	2	18873	6	99.5464	246	0	22.8179	83614	2	19679	23.5355323271223	100	83614	2	19679	23.5355323271223	13.6113569497931	62.8531107230846
rand.56	KU182898	105	2	18858	6	99.4673	245	0	26.1016	73095	2	19731	26.9936384157603	100	73095	2	19731	26.9936384157603	13.8956152951638	59.1107462890759
rand.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.15	KU182898	24	1	18858	2	99.4673	246	0	60.4830	31179	1	18915	60.6658327720581	99.7679202489583	31179	1	18915	60.6658327720581	1.73193495622053	37.6022322717213
rand.43	KU182898	106	2	18898	4	99.6783	246	0	26.3499	72266	2	19621	27.151080729527	100	71348	2	19621	27.500420474295	8.02124796770758	64.4783315579974
rand.50	KU182898	147	2	18876	6	99.5622	246	0	20.3940	93851	2	19791	21.0876815377567	100	93416	2	19791	21.1858782221461	12.7922411578316	66.0218806200223
rand.80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.25	KU182898	33	17	13224	38	69.7505	173	0	59.1906	22534	17	13882	61.604686251886	73.2211614536632	22534	17	13882	61.604686251886	0	38.395313748114
rand.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.68	KU182898	33	1	206	2	1.0866	3	0	1.1358	18137	1	310	1.70921321056404	1.63510733688486	18137	1	310	1.70921321056404	0	98.290786789436
rand.72	KU182898	36	1	206	2	1.0866	3	0	1.2050	17096	1	310	1.81328965839963	1.63510733688486	17096	1	310	1.81328965839963	0	98.1867103416004
rand.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.85	KU182898	97	3	18801	10	99.1666	245	0	28.3251	68847	3	20149	29.2663442125292	100	68546	3	20149	29.394858926852	6.96612493799784	63.6390161351501
rand.14	KU182898	26	8	6464	16	34.0946	106	0	31.5284	20518	8	6700	32.6542548006628	35.3394166358985	20518	8	6700	32.6542548006628	0	67.3457451993372
rand.30	KU182898	86	3	18850	6	99.4251	246	0	30.2575	62791	3	19148	30.4948161360705	100	62791	3	19148	30.4948161360705	1.70884362408625	67.7963402398433
rand.45	KU182898	23	1	18858	2	99.4673	246	0	61.4828	30672	1	18908	61.6458007303078	99.7309984703835	30672	1	18908	61.6458007303078	4.47313510693792	33.8810641627543
rand.41	KU182898	40	1	18858	4	99.4673	246	0	46.8364	40445	1	18975	46.9155643466436	100	40445	1	18975	46.9155643466436	0	53.0844356533564
rand.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.100	KU182898	69	9	8125	18	42.8556	130	0	19.3493	42017	9	8402	19.9966680153271	44.316683369376	42017	9	8402	19.9966680153271	5.45255491824738	74.5507770664255
rand.88	AF086833	40	10	7614	20	40.1603	155	0	33.9926	22399	10	7991	35.6756998080271	42.1488475130545	22399	10	7991	35.6756998080271	6.47796776641814	57.8463324255547
rand.34	KU182898	102	1	18873	2	99.5464	246	0	26.8789	70215	1	18913	26.935839920245	99.7573711693655	69895	1	18913	27.0591601688247	10.6073395807998	62.3335002503756
rand.95	KU182898	82	19	13076	44	68.9699	156	1	27.4468	48891	19	14056	28.7496676279888	74.1389313782372	48229	19	14056	29.1442907794066	2.92562566090941	67.930083559684
rand.13	KU182898	24	1	18858	2	99.4673	246	0	59.5566	31664	1	18908	59.7145022738757	99.7309984703835	31664	1	18908	59.7145022738757	1.71803941384538	38.5674583122789
rand.76	KU182898	191	1	18873	2	99.5464	246	0	16.0084	117894	1	18913	16.0423770505709	99.7573711693655	117459	1	18913	16.1017887092517	25.9767237929831	57.9214874977652
rand.7	KU182898	18	1	401	2	2.1151	4	0	4.4521	9007	1	415	4.60752747862773	2.18893401550715	9007	1	415	4.60752747862773	0	95.3924725213723
rand.83	KU182898	56	1	18850	2	99.4251	248	0	38.9825	48355	1	18936	39.1603763830007	99.8786855846827	48355	1	18936	39.1603763830007	2.01220142694654	58.8274221900527
rand.77	KU182898	28	3	3022	6	15.9397	56	0	19.0699	15847	3	3075	19.4043036536884	16.2192098739385	15847	3	3075	19.4043036536884	12.8983403798826	67.697355966429
