contig	length	gc	frequency	meanDepth	meanCov	S1_fre	S1_meanDepth	S1_meanCov	Specy
DNA_k41_548	219	0.383561643835616	5	0.958529984722299	0.654664406594333	447	0.20687666139932	0.137320143297793	0
DNA_k41_131	225	0.355555555555556	4	0.843358130256905	0.575175780753691	294	0.129921912616389	0.0876110469266836	0
RNA_k49_78	294	0.387755102040816	3	33.5257219166045	0.289341063101196	0	0	0	1
DNA_k41_533	221	0.443438914027149	5	0.860121074785461	0.608748808445572	382	0.176136241282683	0.121201789515124	0
RNA_k49_139	230	0.41304347826087	2	35.7964242170412	0.302834008097166	0	0	0	1
DNA_k41_473	328	0.332317073170732	4	0.675384638741435	0.50504934373168	449	0.190948506097925	0.122434081854214	0
DNA_k41_263	299	0.421404682274247	4	0.771139756932093	0.546682465079342	477	0.225983502957023	0.138116988990929	0
RNA_k49_76	263	0.555133079847909	4	15.1713004734057	0.319643553327764	0	0	0	1
DNA_k41_636	2156	0.648886827458256	1	3.47737747484584	0.2	0	0	0	0
DNA_k41_331	221	0.502262443438914	5	0.679435379783596	0.528249564394347	460	0.226983243159337	0.151735600275975	0
RNA_k49_48	361	0.473684210526316	3	17.486418062061	0.312183566287826	0	0	0	1
RNA_k49_134	256	0.515625	5	1.91853691137015	0.720538804835312	3	0.00761978822525363	0.00124756835102671	0
DNA_k41_71	202	0.47029702970297	4	0.836597736375611	0.59120150580138	395	0.211702554414733	0.135740680728317	0
DNA_k41_288	204	0.504901960784314	5	0.646726273745695	0.403012683623097	415	0.215536685133409	0.142533492831774	0
DNA_k41_567	270	0.440740740740741	5	0.970192986176253	0.605340365480297	484	0.33522155374826	0.167467558328018	0
DNA_k41_507	221	0.425339366515837	5	0.729937196144358	0.560503997763792	539	0.314207790343075	0.18080612217257	0
DNA_k41_296	288	0.513888888888889	5	0.97510588097623	0.614829106851931	492	0.260832935575758	0.160030065243353	0
DNA_k41_634	731	0.701778385772914	1	1.51701427003293	0.2	0	0	0	0
RNA_k49_70	237	0.565400843881857	3	11.2933364442746	0.314425591631052	0	0	0	1
DNA_k41_556	933	0.592711682743837	1	6.25580147551978	0.2	0	0	0	0
RNA_k49_89	307	0.55700325732899	4	19.948522695198	0.426490776759112	0	0	0	1
RNA_k49_36	391	0.508951406649616	4	13.6045516667281	0.306800806441316	0	0	0	1
DNA_k41_431	206	0.616504854368932	5	0.927099939646197	0.582097943882986	399	0.212737849169494	0.135767846358563	0
DNA_k41_208	257	0.536964980544747	5	1.10070137745123	0.657684672096208	494	0.436586307838957	0.18555606401369	0
DNA_k41_639	1201	0.658617818484596	1	2.91950059453032	0.2	1	6.26089518524884e-05	3.19182891797e-05	0
RNA_k49_99	275	0.443636363636364	4	47.1439222561803	0.584295458925253	0	0	0	1
RNA_k49_40	253	0.422924901185771	4	18.9732679252893	0.457103302042161	0	0	0	1
DNA_k41_440	213	0.483568075117371	5	0.901631295211306	0.594377565805267	345	0.18451166452575	0.114066084429968	0
RNA_k49_146	380	0.389473684210526	4	30.6719460864303	0.428450396229951	0	0	0	1
RNA_k49_38	463	0.453563714902808	5	25.6069880614084	0.395908812776582	0	0	0	1
RNA_k49_116	246	0.398373983739837	3	21.8597977133634	0.433792589582063	0	0	0	1
DNA_k41_121	226	0.473451327433628	5	0.661532316407016	0.53354826624417	488	0.271449094280315	0.157865463831696	0
DNA_k41_614	202	0.445544554455446	5	0.891227714463341	0.640177796823686	385	0.185051545030814	0.123945473483947	0
DNA_k41_489	295	0.420338983050847	5	0.7812534928292	0.557319884298069	492	0.268420774176304	0.155998102232962	0
RNA_k49_29	211	0.502369668246445	5	2.29416351694178	0.85136840701953	47	0.0115364162309136	0.00956953395275358	0
DNA_k41_469	212	0.424528301886792	5	0.898594184796022	0.643819202458391	8	0.0273454047227554	0.0045685236563413	0
DNA_k41_276	210	0.5	5	1.00721225098205	0.648154705564318	370	0.230867004851701	0.130471256678333	0
RNA_k49_126	329	0.428571428571429	3	32.3608884232011	0.333400214018192	0	0	0	1
DNA_k41_306	225	0.462222222222222	5	1.11971318886714	0.717300661678836	412	0.202143822325304	0.131843294081808	0
DNA_k41_545	229	0.406113537117904	5	1.44674637145746	0.687122623900793	728	0.5947761130919	0.268961442026541	0
RNA_k49_87	202	0.400990099009901	1	38.8445012787724	0.2	0	0	0	1
DNA_k41_486	256	0.45703125	5	0.902898900093364	0.600281775021537	377	0.171444053588361	0.111958649234782	0
DNA_k41_393	225	0.551111111111111	5	0.757105442431213	0.56057494493991	402	0.207215248710006	0.136382128801515	0
DNA_k41_106	247	0.388663967611336	4	0.81345502408885	0.49546692689579	427	0.212730186972637	0.132589437523261	0
DNA_k41_110	210	0.404761904761905	5	0.81949265189013	0.560868406787759	389	0.196504188472177	0.127601053820296	0
