sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.81	GCA_002889555	373	1	11268	0	100.0000	460	0	5.3739	209680	1	11881	5.66625333842045	100
rand.77	GCA_002889555	508	1	11268	0	100.0000	460	0	3.6302	310396	1	11939	3.84637688630008	100
rand.80	GCA_002889555	648	1	11268	0	100.0000	463	0	3.2399	347791	1	11834	3.40261823911487	100
rand.43	GCA_002889555	1132	1	11268	0	100.0000	460	0	1.9038	591867	1	11881	2.00737665725577	100
rand.65	GCA_002889555	490	1	11268	0	100.0000	461	0	4.3357	259889	1	11841	4.55617590586751	100
rand.94	GCA_002889555	665	1	11268	0	100.0000	459	0	3.4499	326614	1	11832	3.62262487217327	100
rand.23	GCA_002889555	639	1	11268	0	100.0000	461	0	3.3438	336983	1	11834	3.51174985088269	100
rand.87	GCA_002889555	678	1	11268	0	100.0000	460	0	2.8493	395462	1	11940	3.01925343016522	100
rand.6	GCA_002889555	419	1	11268	0	100.0000	459	0	4.7455	237448	1	11885	5.00530642498568	100
rand.57	GCA_002889555	1032	1	11268	0	100.0000	462	0	2.0624	546356	1	11829	2.16507185790949	100
rand.44	GCA_002889555	376	1	11268	0	100.0000	461	0	5.4761	205765	1	11860	5.7638568269628	100
rand.68	GCA_002889555	1675	1	11268	0	100.0000	460	0	1.3371	842709	1	11900	1.41211260352031	100
rand.79	GCA_002889555	732	1	11268	2	100.0000	461	0	2.8010	406745	1	11945	2.93672940048433	100
rand.93	GCA_002889555	526	1	11268	0	100.0000	461	0	3.9743	283523	1	11841	4.17638075217884	100
rand.20	GCA_002889555	603	1	11268	0	100.0000	461	0	3.5054	321451	1	11830	3.68018764912848	100
rand.51	GCA_002889555	469	1	11268	0	100.0000	461	0	4.5870	245652	1	11901	4.84465829710322	100
rand.72	GCA_002889555	355	1	11268	0	100.0000	460	0	5.8637	192164	1	11873	6.17857663245977	100
rand.19	GCA_002889555	910	1	11268	0	100.0000	460	0	2.1738	518360	1	11953	2.30592638320858	100
rand.85	GCA_002889555	339	1	11268	0	100.0000	459	0	6.1820	182270	1	11833	6.49201733691776	100
rand.67	GCA_002889555	503	1	11268	0	100.0000	461	0	4.2701	263882	1	11841	4.48723292987017	100
rand.17	GCA_002889555	1282	1	11268	0	100.0000	460	0	1.7290	651714	1	11876	1.82227173269256	100
rand.8	GCA_002889555	439	1	11268	0	100.0000	460	0	4.6065	244610	1	11884	4.85834593843261	100
rand.1	GCA_002889555	526	1	11268	0	100.0000	460	0	3.8610	291838	1	11901	4.07794735435413	100
rand.42	GCA_002889555	863	1	11268	0	100.0000	461	0	2.3708	475283	1	11841	2.49135778052234	100
rand.31	GCA_002889555	644	1	11268	0	100.0000	460	0	3.0952	364049	1	11888	3.26549448013866	100
rand.3	GCA_002889555	421	1	11268	0	100.0000	459	0	4.7507	237188	1	11832	4.98844798219134	100
rand.26	GCA_002889555	572	1	11268	0	100.0000	460	0	3.9053	288533	1	11858	4.10975520997598	100
rand.47	GCA_002889555	648	1	11268	0	100.0000	461	0	3.2437	347384	1	11852	3.4117863804896	100
rand.59	GCA_002889555	387	1	11268	0	100.0000	460	0	4.6109	244380	1	11939	4.88542433914396	100
rand.92	GCA_002889555	1156	1	11268	0	100.0000	462	0	1.8262	617028	1	11832	1.9175791050001	100
rand.24	GCA_002889555	1549	1	11268	0	100.0000	460	0	1.4476	778414	1	11860	1.52361082919886	100
rand.74	GCA_002889555	525	1	11268	0	100.0000	460	0	3.6939	305046	1	11935	3.91252466841067	100
rand.45	GCA_002889555	440	1	11268	0	100.0000	461	0	4.9703	226705	1	11901	5.24955338435412	100
rand.46	GCA_002889555	482	1	11268	0	100.0000	461	0	4.4995	250430	1	11914	4.75741724234317	100
rand.86	GCA_002889555	1096	1	11268	0	100.0000	460	0	1.9423	580138	1	11951	2.06002709700106	100
rand.76	GCA_002889555	796	1	11268	0	100.0000	462	0	2.6836	419889	1	11839	2.81955469183522	100
rand.98	GCA_002889555	945	1	11268	0	100.0000	461	0	2.2950	490987	1	11840	2.41146914276753	100
rand.22	GCA_002889555	492	1	11268	0	100.0000	460	0	4.3074	261598	1	11848	4.52908661381203	100
rand.48	GCA_002889555	807	1	11268	0	100.0000	461	0	2.6102	431697	1	11841	2.74289605904141	100
rand.38	GCA_002889555	1006	1	11268	0	100.0000	462	0	2.1108	533817	1	11869	2.22342113495823	100
rand.71	GCA_002889555	1054	1	11268	0	100.0000	460	0	1.9871	567051	1	11881	2.09522600259941	100
rand.64	GCA_002889555	388	1	11268	0	100.0000	461	0	5.1994	216718	1	11841	5.4637824269327	100
rand.21	GCA_002889555	861	1	11268	0	100.0000	461	0	2.4684	456494	1	11844	2.59455765026484	100
rand.40	GCA_002889555	541	1	11268	0	100.0000	459	0	3.6144	311751	1	11863	3.80528049629352	100
rand.55	GCA_002889555	448	1	11268	0	100.0000	460	0	4.4021	255968	1	11824	4.61932741592699	100
rand.29	GCA_002889555	1178	1	11268	0	100.0000	462	0	1.8852	597705	1	11866	1.98526028726546	100
rand.16	GCA_002889555	529	1	11268	2	100.0000	461	0	3.6836	309290	1	11945	3.86207119531831	100
