contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k49_96	963	0.39460020768432	5	31.8861601081117	0.311609901145433	0	0	0	Y	N
k49_112	443	0.349887133182844	5	42.7395148134221	0.560715166501401	0	0	0	Y	N
k49_148	260	0.4	3	11.0301154169533	0.435328288618818	0	0	0	Y	N
k49_30	211	0.398104265402844	5	2.70139811371296	0.848738812926133	10	0.00107372906564415	0.000988555993962495	N	Y
k49_36	222	0.418918918918919	5	1.48330593187141	0.617206521695245	0	0	0	N	N
k49_122	307	0.55700325732899	4	19.9619185663098	0.426490776759112	0	0	0	Y	N
k49_106	268	0.328358208955224	1	29.836504854369	0.2	0	0	0	Y	N
k49_23	255	0.407843137254902	5	8.61326251574103	0.896631757720637	16	0.0256116268685123	0.00237747732780624	N	Y
k49_113	335	0.585074626865672	5	1.62785049377606	0.744020219078582	0	0	0	N	N
k49_54	320	0.396875	3	27.4958328757551	0.337910447761194	0	0	0	Y	N
k49_141	435	0.328735632183908	3	39.4038913609278	0.368220092397953	0	0	0	Y	N
k49_48	305	0.583606557377049	5	1.32130569416886	0.671505038015242	11	0.000735364390311244	0.000735364390311244	N	Y
k49_53	301	0.481727574750831	4	36.555388740145	0.302515099223469	0	0	0	Y	N
k49_2	268	0.384328358208955	4	32.4570504580506	0.554248836570477	0	0	0	Y	N
k49_42	242	0.454545454545455	5	1.47977890850639	0.731376692195762	10	0.0020410798049908	0.000849630207981113	N	Y
k49_110	263	0.555133079847909	4	15.1321425786689	0.319643553327764	0	0	0	Y	N
k49_115	261	0.379310344827586	2	48.2328727272727	0.251636363636364	0	0	0	Y	N
k49_69	253	0.422924901185771	4	18.9732679252893	0.457103302042161	0	0	0	Y	N
k49_70	448	0.368303571428571	5	56.0107892992648	0.56719484968456	0	0	0	Y	N
k49_77	348	0.445402298850575	3	2.65910304368493	0.400998604570033	16	0.00297833609197866	0.00229126161408033	N	Y
k49_41	232	0.581896551724138	5	11.3199016572705	0.979883200238063	10	0.000964547631272289	0.000875822661282205	N	Y
k49_79	380	0.389473684210526	4	30.6719460864303	0.428450396229951	0	0	0	Y	N
k49_93	350	0.38	5	40.2355171784058	0.404028991259094	0	0	0	Y	N
k49_116	241	0.365145228215768	4	42.774093433419	0.517187283003053	0	0	0	Y	N
k49_144	255	0.6	5	3.73345212243516	0.85882494720647	11	0.000966932248188784	0.000886116868546654	N	Y
k49_114	294	0.387755102040816	3	33.5257219166045	0.289341063101196	0	0	0	Y	N
k49_124	303	0.346534653465347	1	30.1092495636998	0.2	0	0	0	Y	N
k49_74	361	0.473684210526316	3	17.4444010757889	0.311384997835286	0	0	0	Y	N
k49_67	543	0.353591160220994	4	25.0521004797716	0.396905414548255	0	0	0	Y	N
k49_137	329	0.428571428571429	3	32.3263205219665	0.333400214018192	0	0	0	Y	N
k49_58	391	0.508951406649616	4	13.6362320170291	0.307209490987931	0	0	0	Y	N
k49_26	214	0.537383177570093	5	2.20893998236199	0.752586673369049	0	0	0	N	N
k49_108	250	0.368	3	31.1968453590804	0.375116619090719	0	0	0	Y	N
k49_118	491	0.395112016293279	5	65.6879269975944	0.773824935832196	0	0	0	Y	N
k49_105	365	0.402739726027397	3	47.7135205344483	0.538107322231034	0	0	0	Y	N
k49_97	370	0.318918918918919	4	46.1265714820008	0.298352688172043	0	0	0	Y	N
