contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k141_3011	560	0.433928571428571	1	15.4351395730706	1	73	0.348539741147923	0.0299846192903885	N	N
k141_2651	338	0.517751479289941	1	5.31142857142857	1	0	0	0	N	N
k141_1111	301	0.275747508305648	1	4.61165048543689	1	17	0.0123138393189607	0.00565285692871389	N	N
k141_13977	346	0.317919075144509	1	7.71111111111111	1	12	0.00969667492530272	0.00370971326869963	N	N
k141_4986	319	0.463949843260188	1	7.93235294117647	0.994117647058824	15	0.00678008828722523	0.00323224203234782	N	N
k141_24194	302	0.417218543046358	1	5.81587301587302	1	70	0.261674869021168	0.0329322553312767	N	N
k141_9150	337	0.456973293768546	1	7.88	1	60	0.0739840245246501	0.0205621399461432	N	N
k141_13209	475	0.629473684210526	1	10.3972055888224	1	7	0.00139447766874437	0.00114602910772287	N	N
k141_22245	473	0.460887949260042	1	4.75413223140496	1	134	1.06953270087288	0.0584675268954873	N	N
k141_6105	520	0.511538461538461	1	11.0071428571429	1	12	0.00845242608315749	0.00268946955121562	N	N
k141_6652	384	0.572916666666667	1	3.56345177664975	1	0	0	0	N	N
k141_13661	585	0.381196581196581	1	10.2652733118971	1	226	5.50475887539071	0.102625400732228	N	N
k141_26085	884	0.432126696832579	1	10.4142705005325	1	171	0.488723295019529	0.051147098309155	N	N
k141_23506	475	0.471578947368421	1	8.07100591715976	1	19	0.00632501031809442	0.0029618499515796	N	N
k141_2439	382	0.400523560209424	1	3.13705583756345	1	1	0.000168350168350168	0.000168350168350168	N	N
k141_17324	584	0.662671232876712	1	3.31613976705491	0.910149750415973	8	0.00153523854365231	0.000928866209580498	N	N
k141_24243	446	0.307174887892377	1	4.05206073752711	1	3	0.000335575502613364	0.000335575502613364	N	N
k141_25340	365	0.457534246575342	1	3.73740053050398	1	0	0	0	N	N
k141_11360	503	0.407554671968191	1	13.3047445255474	0.948905109489051	120	0.631072192020756	0.0516564466125428	N	N
k141_9115	320	0.5875	1	7.20535714285714	1	0	0	0	N	N
k141_19895	393	0.407124681933842	1	5.30541871921182	1	3	0.000325221916131008	0.000325221916131008	N	N
k141_3743	4872	0.441502463054187	1	49.5455332409972	0.985803324099723	150	0.487059524031178	0.0271287500392133	N	N
k141_23356	338	0.452662721893491	1	6.23142857142857	1	59	0.112670515289053	0.019077005623241	N	N
k141_22370	320	0.33125	1	7.41141141141141	1	3	0.000536010257372487	0.000536010257372487	N	N
k141_18334	372	0.473118279569892	1	16.6925064599483	1	0	0	0	N	N
k141_7161	558	0.578853046594982	1	4.07093425605536	0.996539792387543	8	0.00179286528459742	0.00160283101533189	N	N
k141_11071	320	0.5375	1	3.62079510703364	0.99388379204893	1	0.00013290802764487	0.00013290802764487	N	N
k141_6107	317	0.397476340694006	1	2.77272727272727	1	0	0	0	N	N
k141_13068	393	0.470737913486005	1	2.28606965174129	1	4	0.000763102404516545	0.000599428629731659	N	N
k141_13420	638	0.384012539184953	1	8.9160419790105	1	0	0	0	N	N
k141_25735	589	0.395585738539898	1	8.3317230273752	1	16	0.00348733809678371	0.00270264698071452	N	N
k141_10437	311	0.405144694533762	1	9.13312693498452	1	0	0	0	N	N
k141_1057	703	0.422475106685633	1	21.0770202020202	1	62	0.142940569319705	0.0192594359237051	N	N
k141_24679	707	0.502121640735502	1	23.396486825596	1	72	0.137413404725815	0.0217734021529357	N	N
k141_5991	395	0.422784810126582	1	16.7247058823529	1	45	0.0988302397926658	0.0154648695228552	N	N
k141_23228	427	0.585480093676815	1	7.203125	1	20	0.0109185235943485	0.00588076662084841	N	N
k141_7068	505	0.306930693069307	1	6.55283018867925	1	56	0.196450951708242	0.0169029916669756	N	N
k141_23097	460	0.580434782608696	1	9.58490566037736	0.930817610062893	0	0	0	N	N
k141_2079	505	0.485148514851485	1	8.94833948339483	1	123	0.194446837183893	0.0349807810952652	N	N
k141_18838	341	0.516129032258065	1	13.0853994490358	1	8	0.0030558592240772	0.00206985100314228	N	N
k141_10740	594	0.346801346801347	1	5.75080906148867	1	36	0.0188753161919631	0.00687711059277763	N	N
k141_21649	373	0.439678284182306	1	25.4029126213592	1	83	0.343663056884589	0.0319343692492248	N	N
k141_13487	471	0.430997876857749	1	17.7548262548263	1	49	0.0503810037700973	0.0147198319623677	N	N
k141_25379	720	0.483333333333333	1	25.0449293966624	1	5	0.000414138041838714	0.000381629043812475	N	N
k141_21751	321	0.314641744548287	1	8.92814371257485	0.790419161676647	1	0.000200045724737082	0.000200045724737082	N	N
k141_9523	386	0.370466321243523	1	7.0375	1	6	0.00087686553080803	0.00087686553080803	N	N
k141_15840	310	0.390322580645161	1	5.31761006289308	1	73	0.405764155263493	0.029886974973388	N	N
k141_7080	349	0.404011461318052	1	6.37978142076503	1	0	0	0	N	N
k141_17773	309	0.433656957928803	1	2.80634920634921	1	1	0.000137593887593887	0.000137593887593887	N	N
k141_17616	364	0.357142857142857	1	7.89501312335958	1	0	0	0	N	N
k141_14103	387	0.315245478036176	1	3.71139240506329	0.979746835443038	0	0	0	N	N
