contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k141_174	303	0.432343234323432	1	1.46141479099678	0.5	27	0.0145650739239843	0.00743924007441811	N	N
k141_32	910	0.434065934065934	2	1.13629573345903	0.283107143108409	0	0	0	N	N
k141_194	565	0.341592920353982	1	3.23558484349258	0.5	13	0.144439468001904	0.00469085594378621	N	N
k141_76	767	0.388526727509778	1	3.37590361445783	0.5	20	0.0308189697317037	0.00526528352860896	N	N
k141_47	766	0.441253263707572	1	1.96192259675406	0.5	17	0.00898404424335763	0.00268401695425287	N	N
k141_149	406	0.463054187192118	1	0.921875	0.475961538461538	128	0.541125615218477	0.0541351303908407	N	N
k141_167	554	0.368231046931408	1	0.94885361552028	0.5	71	0.624800601151705	0.0228927233954657	N	N
k141_125	343	0.396501457725948	1	3.28918918918919	0.5	32	0.127361281287645	0.0142342316567558	N	N
k141_98	379	0.321899736147757	1	0.785529715762275	0.461240310077519	32	0.0602267538859455	0.00795473331902702	N	N
k141_238	1584	0.512626262626263	1	4.19151376146789	0.499139908256881	1	0.000226584503314063	0.000103233593799631	N	N
k141_15	367	0.313351498637602	1	2.63753213367609	0.5	16	0.0252946989334669	0.00507103513533586	N	N
k141_213	363	0.40771349862259	1	1.4468085106383	0.5	22	0.0406446050356696	0.00805268959796646	N	N
k141_135	342	0.415204678362573	1	2.57851239669422	0.5	256	9.64488050058981	0.127952167357916	N	N
k141_122	377	0.3342175066313	1	4.86729857819905	0.5	22	0.0422133572404728	0.00899145772999011	N	N
k141_203	324	0.351851851851852	1	0.917168674698795	0.465361445783132	50	0.448370432907792	0.0215611603129901	N	N
k141_129	626	0.549520766773163	1	2.14848484848485	0.5	0	0	0	N	N
k141_103	313	0.325878594249201	1	1.91615853658537	0.5	29	0.320233074961985	0.0133423004322906	N	N
k141_114	416	0.475961538461538	1	2.46924829157176	0.5	0	0	0	N	N
k141_81	375	0.426666666666667	1	1.38917525773196	0.5	392	15.164643095816	0.211333964250157	N	N
k141_57	1601	0.357276702061212	2	6.76720557558955	0.836984319909998	440	3131.31548393041	0.366331595695963	N	N
k141_220	314	0.378980891719745	1	2.60179640718563	0.5	66	1.29863164834705	0.0326411447583459	N	N
k141_219	505	0.340594059405941	1	0.892441860465115	0.5	20	0.0050720423570991	0.00374475568571324	N	N
k141_94	477	0.490566037735849	1	2.18924302788845	0.495019920318725	149	1.76842263285939	0.053929359313315	N	N
k141_141	323	0.396284829721362	1	2.09643916913946	0.5	14	0.0165071066322886	0.00512189626615128	N	N
k141_145	337	0.264094955489614	1	1.71327683615819	0.5	2	0.0111685016003307	0.0011505990539609	N	N
k141_190	352	0.323863636363636	1	1.28787878787879	0.5	2	0.000241855171432636	0.000241855171432636	N	N
k141_65	355	0.43943661971831	1	1.48373983739838	0.455284552845528	14	0.0150316613165616	0.00456986289592193	N	N
k141_7	455	0.435164835164835	1	0.991434689507495	0.472162740899358	101	3.03191878260937	0.0378142807787248	N	N
k141_34	307	0.397394136807818	1	1.68867924528302	0.5	20	0.0215113670520068	0.00640067707330474	N	N
k141_148	344	0.375	1	1.75983146067415	0.5	191	6.12667169433172	0.0998265866015926	N	N
k141_248	398	0.454773869346734	1	0.933497536945815	0.5	274	21.5374080810608	0.152437652634063	N	N
k141_142	331	0.425981873111782	1	1.8121387283237	0.5	36	0.704847905219435	0.0176707735786581	N	N
k141_64	364	0.346153846153846	1	5.37408312958435	0.5	71	0.404117672101059	0.0282986971358277	N	N
k141_108	410	0.360975609756098	1	2.92272727272728	0.497727272727273	25	0.0486693805833851	0.00786311986288734	N	N
k141_205	514	0.441634241245136	2	0.856132973864546	0.472731038206503	0	0	0	N	N
k141_206	756	0.503968253968254	1	3.82971014492753	0.5	0	0	0	N	N
k141_4	430	0.390697674418605	1	2.10927152317881	0.5	20	0.0217053576997897	0.00624084658603277	N	N
k141_263	351	0.464387464387464	1	1.23415977961433	0.5	25	0.0209283323776576	0.0074928084840122	N	N
k141_256	627	0.381180223285486	1	2.15553869499241	0.5	22	0.0245114286812973	0.00547134939586149	N	N
k141_130	847	0.396694214876033	1	5.2507953340403	0.5	55	0.489426526338325	0.0138813520444578	N	N
k141_124	332	0.376506024096386	1	1.33527696793003	0.5	31	0.139992315458317	0.0115365389219685	N	N
k141_258	355	0.4	1	2.12600536193029	0.5	10	0.00310563401118521	0.00189943365438797	N	N
k141_43	595	0.391596638655462	2	7.07282362748601	0.828778135048232	406	66.0486677331207	0.203414542030082	N	N
k141_239	584	0.407534246575342	2	1.54595720720721	0.724054054054054	274	12.7119236561094	0.127257454109681	N	N
k141_186	349	0.418338108882521	1	1.06302521008403	0.5	128	3.59603589662066	0.0599043592181105	N	N
k141_63	311	0.372990353697749	1	2.35	0.5	20	0.0311901601662386	0.00729065472347213	N	N
k141_233	322	0.416149068322981	1	1.63432835820895	0.5	29	0.112472950139428	0.0104074214322049	N	N
k141_109	378	0.396825396825397	1	2.3275	0.5	152	1.86300878796867	0.0732600874165703	N	N
k141_70	979	0.51685393258427	1	6.6443946188341	0.478923766816144	0	0	0	N	N
k141_224	409	0.386308068459658	1	2.02102803738318	0.5	16	0.00473918004213839	0.00318326061937114	N	N
k141_27	640	0.4125	1	1.52865761689291	0.464555052790347	106	3.31479904598926	0.0423130071575005	N	N
k141_29	368	0.418478260869565	1	1.21052631578948	0.389473684210527	297	13.8685990161489	0.160125368221105	N	N
k141_88	325	0.396923076923077	1	0.92921686746988	0.5	35	0.291559319716597	0.013298569760358	N	N
k141_172	305	0.422950819672131	1	1.7192429022082	0.5	19	0.0388178740184411	0.00633969995243641	N	N
k141_177	412	0.424757281553398	1	2.02314814814815	0.5	106	0.457865457700443	0.0387160456467232	N	N
k141_90	330	0.463636363636364	1	1.34017595307918	0.5	47	0.248273799142628	0.0187010167977376	N	N
k141_50	479	0.417536534446764	1	2.053	0.5	48	0.242151596605531	0.0179112743253854	N	N
k141_262	335	0.385074626865672	1	1.3304347826087	0.5	128	0.658408700023951	0.0542593175882757	N	N
k141_24	499	0.398797595190381	1	3.02886405959031	0.5	32	0.0837504028943295	0.00979719801526027	N	N
k141_123	310	0.425806451612903	1	3.16918429003021	0.5	33	0.0328644138033196	0.0104511006222076	N	N
k141_199	452	0.440265486725664	1	1.48832271762208	0.5	20	0.115800903482885	0.00754878969343135	N	N
k141_193	903	0.388704318936877	1	3.70092024539878	0.5	44	0.100906215535708	0.0109561775679572	N	N
k141_84	328	0.466463414634146	1	1.81671554252199	0.5	222	9.61044608479559	0.12590001243314	N	N
k141_49	321	0.429906542056075	1	1.8598820058997	0.5	5	0.00128698048678356	0.00128698048678356	N	N
k141_0	336	0.431547619047619	2	56.9426361561149	1	0	0	0	N	N
k141_241	354	0.355932203389831	1	1.86253369272237	0.5	19	0.0157459700212288	0.0056245902800385	N	N
k141_86	358	0.466480446927374	1	1.0327868852459	0.5	55	0.173656932534276	0.0199760236903483	N	N
k141_218	359	0.35933147632312	1	1.04755434782608	0.5	16	0.04204450400189	0.00570557614443723	N	N
k141_105	309	0.268608414239482	1	1.42476489028213	0.5	6	0.0847189128116091	0.00348881709583413	N	N
k141_140	367	0.348773841961853	1	1.84736842105263	0.5	17	0.00730313950011685	0.00418187801205369	N	N
k141_208	540	0.355555555555556	1	3.16780821917808	0.5	15	0.00358353467019103	0.00230030558609106	N	N
k141_198	308	0.366883116883117	1	1.21293375394322	0.5	10	0.00288105327313762	0.0020484631256735	N	N
k141_178	396	0.383838383838384	1	2.67899761336515	0.5	12	0.00755421741979592	0.00438829475414822	N	N
k141_228	346	0.485549132947977	1	1.26330532212885	0.5	505	144.696807855327	0.262724902789727	N	N
k141_257	338	0.340236686390533	1	1.54815864022663	0.5	93	2.66980098879405	0.0439445580876816	N	N
k141_267	525	0.304761904761905	1	1.73400365630713	0.5	10	0.00298886917942743	0.00209186430437004	N	N
k141_175	509	0.528487229862475	1	1.78679245283019	0.5	73	0.342605953592612	0.0247776606111505	N	N
k141_118	445	0.442696629213483	1	1.71120689655173	0.5	204	3.08750041290744	0.0933965256868003	N	N
k141_9	611	0.4189852700491	1	5.56966618287375	0.5	111	6.6783527101853	0.0466918918531104	N	N
k141_270	311	0.35048231511254	1	1.39751552795031	0.5	12	0.019179200471253	0.00586596904318572	N	N
k141_121	393	0.417302798982188	2	1.9001416212555	0.721141590468273	436	1126.00253507557	0.324120030313518	N	N
k141_255	509	0.371316306483301	1	2.82844036697248	0.46697247706422	61	0.753517768501645	0.0219525807879328	N	N
k141_170	521	0.460652591170825	1	1.72702205882353	0.5	13	0.00195420814692285	0.00169201454964091	N	N
k141_128	308	0.383116883116883	1	0.97777777777778	0.5	15	0.0146948515719122	0.00587022121095372	N	N
k141_23	771	0.43579766536965	1	3.1753640776699	0.5	99	0.624149809201818	0.0312776176284439	N	N
k141_78	350	0.414285714285714	1	0.646478873239435	0.5	97	0.489659020315422	0.0483938473699592	N	N
k141_12	473	0.359408033826638	1	2.20883534136546	0.5	45	0.204663288864274	0.0166265693698522	N	N
k141_195	363	0.418732782369146	1	1.42553191489361	0.5	13	0.00336592560736388	0.00228865384261559	N	N
