sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.38	KU182898	11	1	18858	2	99.4673	246	0	81.2705	23204	1	18916	81.5204275124978	99.7731947887547	23204	1	18916	81.5204275124978	1.38769177727978	17.0918807102224
rand.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.12	KU182898	1	1	18858	2	99.4673	246	0	99.6828	18918	1	18918	100	99.7837438683475	18918	1	18918	100	0	0
rand.74	KU182898	22	17	12951	38	68.3106	166	0	78.6920	16820	17	13709	81.5041617122473	72.3086660688855	16820	17	13709	81.5041617122473	7.89536266349584	10.6004756242568
rand.58	KU182898	7	2	18853	4	99.4409	250	2	85.5795	22052	2	18971	86.0284781425721	100	22052	2	18971	86.0284781425721	1.90005441683294	12.0714674405949
rand.7	KU182898	2	1	401	2	2.1151	4	0	40.5870	988	1	415	42.0040485829959	2.18893401550715	988	1	415	42.0040485829959	0	57.9959514170041
rand.95	KU182898	24	19	13076	44	68.9699	156	1	82.7006	16226	19	14056	86.6264020707507	74.1389313782372	16226	19	14056	86.6264020707507	1.92283988660175	11.4507580426476
rand.61	KU182898	2	1	18853	2	99.4409	248	0	95.7005	19700	1	18927	96.0761421319797	99.8312147265151	19700	1	18927	96.0761421319797	0	3.92385786802031
rand.79	KU182898	3	1	18858	2	99.4673	246	0	94.6639	19921	1	18917	94.9600923648411	99.7784693285511	19921	1	18917	94.9600923648411	0	5.03990763515888
