sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.33	GCA_003188765	185	50	8954	139	99.8773	832	96	23.6127	108192	70	45337	41.904207335108	100	106586	70	45337	42.5356050513201	0.763702550053478	56.7006923986265
rand.49	GCA_003112285	233	11	4095	34	80.2941	359	6	5.0007	127302	22	15036	11.8112834048169	100	127302	23	15390	12.089362303813	2.78864432609071	85.1219933700963
rand.59	GCA_003099235	616	90	8782	257	99.7161	730	114	11.6094	342127	133	77305	22.5954104762267	100	342127	133	77305	22.5954104762267	1.04259529356058	76.3619942302128
rand.76	GCA_003112285	512	70	5042	180	98.8627	439	26	8.6551	302814	141	80272	26.5086818971382	100	302814	142	80675	26.6417668932084	0.880408435541289	72.4778246712503
rand.50	GCA_003112285	960	10	3588	32	70.3529	304	19	1.0839	521193	19	13606	2.61054925910363	100	521193	19	13606	2.61054925910363	1.48965930087319	95.8997914400232
rand.14	GCA_003188275	720	13	5476	26	61.1570	616	27	1.7889	359057	14	9919	2.76251402980585	100	358690	14	9919	2.7653405447601	1.86344754523405	95.3712119100059
rand.47	GCA_003112285	303	13	3656	38	71.6863	329	15	3.6295	172859	21	14035	8.11933425508652	100	172561	21	14035	8.13335574086845	2.9201267957418	88.9465174633898
rand.60	GCA_003112285	158	12	4753	32	93.1961	504	21	8.1636	84228	19	15124	17.9560241249941	100	83959	19	15124	18.0135542348051	2.64652985385724	79.3399159113377
rand.41	GCA_003112285	777	3	4671	8	91.5882	545	38	1.0550	470407	8	9948	2.11476444865829	100	470407	8	9948	2.11476444865829	1.64453335090677	96.2407022004349
rand.12	GCA_003104855	109	27	7347	86	82.0710	390	13	24.9532	58714	31	19558	33.3106243826004	100	58365	31	19558	33.5098089608498	6.48162426111539	60.0085667780348
rand.64	GCA_003097875	560	57	8517	179	92.9803	500	41	8.3204	312450	69	40814	13.0625700112018	100	311868	69	40814	13.0869470416971	2.62707299241987	84.285979965883
rand.54	GCA_003104595	1220	226	9178	632	100.0000	588	80	11.5282	663961	257	117130	17.6410963896976	100	663687	259	118052	17.7873003388646	1.93992047456105	80.2727791865744
rand.28	GCA_003099115	123	27	8398	71	95.2586	923	98	22.5441	73833	39	27072	36.6665312258746	100	73506	39	27072	36.8296465594645	1.44478001795772	61.7255734225777
rand.10	GCA_003187595	470	25	7387	82	90.4383	573	75	6.1492	248503	28	22982	9.24817809040535	100	248503	28	22982	9.24817809040535	3.46193003706193	87.2898918725327
rand.65	GCA_003112285	75	15	4374	36	85.7647	411	40	21.7548	39959	30	16919	42.3408994219075	100	39514	30	16919	42.8177354861568	4.1554891937035	53.0267753201397
rand.45	GCA_003112285	257	9	4788	22	93.8824	462	53	4.9651	135969	17	15406	11.3305238694114	100	135659	17	15406	11.3564157188244	3.62600343508356	85.017580846092
rand.70	GCA_003112325	2079	7	2568	20	48.2435	297	23	0.2950	1268060	8	5068	0.399665630963835	95.2094683449183	1268060	8	5068	0.399665630963835	1.19150513382648	98.4088292352097
rand.43	GCA_003112285	459	67	4694	148	92.0392	413	21	7.7890	234587	185	79445	33.86590049747	100	234225	186	79774	34.0587042373786	3.50304194684598	62.4382538157754
rand.31	GCA_003189025	355	28	6727	74	80.6788	807	60	5.9014	196175	48	23630	12.0453676564292	100	196175	48	23630	12.0453676564292	0.977698483496878	86.9769338600739
rand.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.40	GCA_003108825	358	18	7997	47	90.8647	826	88	5.8977	208794	24	19879	9.52086745787714	100	208794	24	19879	9.52086745787714	2.47899843865245	88.0001341034704
rand.34	GCA_003100995	726	2	571	6	6.4287	69	10	0.1665	365696	2	805	0.220128193909695	9.06327403737897	365025	2	805	0.220532840216424	2.41271145811931	97.3667557016643
rand.46	GCA_003101315	1242	390	8818	1055	100.0000	614	101	20.7095	563244	582	252388	44.8097094687205	100	562381	585	253511	45.0781587571415	1.18869591967012	53.7331453231884
rand.38	GCA_003099235	1055	169	8633	488	98.0243	528	89	10.1361	548780	245	109190	19.8968621305441	100	548452	245	109190	19.9087613865935	1.71099749841372	78.3802411149927
rand.81	GCA_003188925	833	94	8950	282	100.0000	531	80	8.4440	417517	109	54687	13.0981492969149	100	417517	110	55099	13.1968279135939	2.15128964808619	84.6518824383199
rand.88	GCA_003099235	215	43	8262	140	93.8117	590	56	19.9847	116254	49	32764	28.1831162798699	100	115609	50	33065	28.6007144772466	3.1485437984932	68.2507417242602
rand.1	GCA_003097875	1066	164	9023	527	98.5044	617	65	10.1679	599131	182	89937	15.0112412811222	100	598722	183	90300	15.0821249260926	2.44704554033425	82.4708295335732
