name	xstart	xend	ystart	yend	dp	fill
ZDH221200141R	0	4	0	1	0	grey100
ZDH221200141R	4	29866	0	1	3721	grey0
ZDH221200141R	29866	29867	0	1	0	grey100
ZDH230100321R	0	42	1.5	2.5	0	grey100
ZDH230100321R	42	29839	1.5	2.5	57	grey30
ZDH230100321R	29839	29867	1.5	2.5	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	0	38	3	4	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	38	22795	3	4	369	grey15
CF231C0481-8B6AXX1LXF1-N002J019	22795	22815	3	4	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	22815	23009	3	4	132	grey25
CF231C0481-8B6AXX1LXF1-N002J019	23009	23075	3	4	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	23075	28336	3	4	364	grey15
CF231C0481-8B6AXX1LXF1-N002J019	28336	28366	3	4	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	28366	29849	3	4	793	grey10
CF231C0481-8B6AXX1LXF1-N002J019	29849	29867	3	4	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	0	22	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	22	350	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	350	358	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	358	984	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	984	1003	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	1003	1068	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	1068	1077	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	1077	1127	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	1127	1133	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	1133	1259	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	1259	1309	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	1309	1423	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	1423	1432	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	1432	1482	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	1482	1501	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	1501	1701	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	1701	1745	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	1745	1990	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	1990	2001	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	2001	2051	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	2051	2064	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	2064	2157	4.5	5.5	6	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	2157	2171	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	2171	2295	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	2295	2317	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	2317	2374	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	2374	2375	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	2375	2609	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	2609	2643	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	2643	2821	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	2821	2839	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	2839	2940	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	2940	2949	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	2949	3340	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	3340	3354	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	3354	3528	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	3528	3529	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	3529	4279	4.5	5.5	6	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	4279	4289	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	4289	4342	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	4342	4348	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	4348	4428	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	4428	4446	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	4446	4577	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	4577	4579	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	4579	4718	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	4718	4778	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	4778	4907	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	4907	4942	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	4942	5173	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	5173	5179	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	5179	5307	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	5307	5309	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	5309	5771	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	5771	5791	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	5791	5857	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	5857	5866	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	5866	6004	4.5	5.5	6	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	6004	6029	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	6029	6275	4.5	5.5	6	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	6275	6277	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	6277	6564	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	6564	6581	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	6581	6663	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	6663	6688	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	6688	6820	4.5	5.5	6	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	6820	6859	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	6859	6909	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	6909	7126	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	7126	7183	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	7183	7216	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	7216	7266	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	7266	7269	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	7269	7319	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	7319	7378	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	7378	7473	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	7473	7507	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	7507	7583	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	7583	7630	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	7630	7754	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	7754	7819	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	7819	7869	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	7869	7950	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	7950	8000	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	8000	8011	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	8011	8061	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	8061	8100	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	8100	8175	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	8175	8184	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	8184	8234	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	8234	8330	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	8330	8420	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	8420	8549	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	8549	8614	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	8614	8628	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	8628	9079	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	9079	9097	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	9097	9147	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	9147	9211	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	9211	9361	4.5	5.5	5	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	9361	9421	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	9421	9492	4.5	5.5	4	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	9492	9498	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	9498	9548	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	9548	9561	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	9561	9707	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	9707	9715	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	9715	9765	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	9765	9767	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	9767	9850	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	9850	9851	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	9851	9966	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	9966	9987	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	9987	10116	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	10116	10161	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	10161	10211	4.5	5.5	2	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	10211	10237	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	10237	10675	4.5	5.5	3	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	10675	10676	4.5	5.5	0	grey100
MDL001-Q24C22520006L-RNA-D11-20221223	10676	10732	4.5	5.5	6	grey40
MDL001-Q24C22520006L-RNA-D11-20221223	10732	10735	4.5	5.5	0	grey100
