contig	length	gc	stage1_fre	stage1_mean_depth	stage1_mean_cov	stage2_fre	stage2_mean_depth	stage2_mean_cov	control.fre	control.mean.depth	contro.mean.cov	annotation
k141_10545	322	0.481	5	53.400	0.814	12	60.000	0.869	0	0	0	Cetorhinus maximus
k141_2341	471	0.369	2	20.500	0.920	3	29.667	0.786	0	0	0	Plasmodium falciparum 3D7
k141_775	285	0.523	5	27.800	0.853	9	14.000	0.665	1	6.38798037612428E-05	6.38798037612428E-05	Paramisgurnus dabryanus
k141_1897	512	0.396	4	52.000	0.667	12	29.917	0.482	1	0.000283403059482888	0.000121458454064095	Plasmodium falciparum 3D7
k141_10514	365	0.370	2	22.000	0.895	4	58.750	1.000	1	0.0002266344342138	0.0002266344342138	Plasmodium falciparum 3D7
k141_9542	678	0.394	2	78.500	0.639	5	28.400	0.666	1	0.000215668428971414	0.000124085553652221	Plasmodium falciparum 3D7
k141_1836	317	0.603	4	10.000	0.935	5	2.000	0.519	2	0.000192519002351095	0.000192519002351095	Homo sapiens
k141_1377	323	0.576	4	120.750	0.998	8	16.250	0.873	2	0.000126272296813934	0.000126272296813934	Homo sapiens
k141_5622	311	0.624	4	35.250	0.980	9	3.000	0.682	3	0.000192697293384233	0.000192697293384233	Homo sapiens
k141_7999	441	0.506	4	186.750	0.939	12	20.583	0.636	3	0.000141586941120544	0.000141586941120544	Eulemur rufifrons
k141_2114	286	0.402	4	2.250	0.604	5	3.200	0.710	4	0.000289495471292511	0.000289495471292511	Homo sapiens
k141_8847	334	0.509	4	24.750	0.954	7	3.571	0.700	4	0.000247482112138512	0.000247482112138512	Equus asinus
k141_5360	365	0.395	4	6.250	0.870	9	4.000	0.858	4	0.000221257175794968	0.000221257175794968	Homo sapiens
k141_10236	432	0.574	4	52.250	0.987	8	34.625	0.648	4	0.000184924966616834	0.000184924966616834	Homo sapiens
k141_10225	692	0.371	4	1.250	0.429	2	2.000	0.350	4	0.000120416505957583	0.000120416505957583	Homo sapiens
k141_4730	529	0.573	5	13.400	0.761	6	2.500	0.433	5	0.000387778567768657	0.000357920142639807	Homo sapiens
k141_10305	664	0.565	3	2.333	0.664	4	2.000	0.499	5	0.000372720324255065	0.000248480083543942	Lampetra fluviatilis
k141_8784	481	0.572	5	25.600	0.629	6	6.667	0.567	5	0.000209306240798597	0.000209306240798597	Homo sapiens
k141_8228	652	0.390	4	8.500	0.632	8	35.500	0.537	6	0.000646157490314211	0.000205122179128732	Plasmodium falciparum 3D7
k141_5271	476	0.613	5	11.600	0.689	9	45.444	0.570	6	0.000303664611801795	0.000260135659927745	Homo sapiens
