sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.60	covid	1500	26	21873	52	73.1465	6	0	4.2184	519298	26	21908	4.21877226563553	73.263552151958	519298	26	21908	4.21877226563553	10.3430015135818	85.4382262207827
rand.29	covid	342	17	13244	34	44.2899	4	0	10.6998	123778	17	13258	10.7111118292427	44.3366886265592	121500	17	13258	10.9119341563786	9.83292181069959	79.2551440329218
rand.19	covid	4527	1	29801	2	99.6589	2	0	1.8741	1590172	1	29801	1.87407399954219	99.6588971006254	1589122	1	29801	1.87531227935929	3.40087167630931	94.7238160443314
rand.92	covid	4923	23	28776	46	96.2311	4	0	1.5020	1920513	23	28846	1.50199451917274	96.4652376015784	1910074	23	28846	1.51020326961154	9.2329930672843	89.2568036631042
rand.71	covid	1253	1	246	2	0.8227	0	0	0.0631	389785	1	246	0.0631117154328668	0.822659933785908	389785	1	246	0.0631117154328668	9.31231319830163	90.6245750862655
rand.16	covid	2883	1	29801	2	99.6589	2	0	2.4301	1226310	1	29801	2.43013593626408	99.6588971006254	1224776	1	29801	2.43317961815058	9.86694709889808	87.6998732829513
rand.36	covid	4316	3	29804	6	99.6689	8	0	1.9021	1567736	3	29820	1.90210596682094	99.7224358759991	1559505	3	29820	1.9121451999192	6.27417032968795	91.8136844703928
rand.70	covid	2658	2	29855	4	99.8395	4	0	3.2882	908303	2	29869	3.28844009102689	99.8862990335418	908303	2	29869	3.28844009102689	7.32640979937312	89.3851501096
rand.65	covid	406	1	258	2	0.8628	0	0	0.1864	138404	1	258	0.186410797375798	0.862789686653513	137672	1	258	0.187401940844907	4.75332674763205	95.059271311523
rand.9	covid	1349	2	535	4	1.7891	2	0	0.1490	359034	2	535	0.149010957179543	1.78911814868073	358349	2	535	0.149295798230217	10.1027210903337	89.7479831114361
rand.82	covid	3723	5	28690	10	95.9436	8	0	2.1919	1308926	5	28690	2.19187333737736	95.9435508142996	1307949	5	28690	2.19351060324218	3.40105004094196	94.4054393558159
rand.7	covid	668	1	29801	2	99.6589	2	0	10.8673	274226	1	29801	10.8673138214465	100	274226	2	30114	10.9814532538855	11.9718772107678	77.0466695353468
rand.98	covid	725	1	29801	2	99.6589	2	0	10.9413	272372	1	29801	10.9412861821333	99.6588971006254	271149	1	29801	10.9906361447027	7.13998576428458	81.8693780910127
rand.67	covid	3273	3	26691	6	89.2586	6	0	2.1191	1260036	3	26703	2.11922516499529	89.2987325686386	1258929	3	26703	2.1210886396294	6.29964040863305	91.5792709517375
rand.100	covid	1297	2	29855	4	99.8395	6	0	5.9420	502490	2	29858	5.94200879619495	99.8495134267465	501576	2	29858	5.9528366588513	10.0778346651355	83.9693286760132
rand.30	covid	7497	2	885	4	2.9596	2	0	0.0316	2803845	2	885	0.0315637989974481	2.95956927398589	2784645	2	885	0.0317814299488804	10.0335231241325	89.9346954459186
rand.97	covid	893	28	15896	56	53.1585	0	2	4.8901	325168	28	15902	4.89039511883088	53.1786108417216	321632	28	15902	4.94415978509601	6.24720177096806	88.8086384439359
rand.35	covid	1443	29	16136	58	53.9611	0	2	3.1434	513485	29	16142	3.14361665871447	53.9812058990737	484585	29	16142	3.33109774342994	13.2583550873428	83.4105471692273
rand.79	covid	1796	19	20711	38	69.2606	2	0	3.0214	686267	19	20735	3.02141877723976	69.3408688091496	686020	19	20735	3.0225066324597	8.11200839625667	88.8654849712836
rand.46	covid	646	3	29766	6	99.5419	6	0	12.0003	248043	3	29767	12.0007418068641	99.5451961341671	248043	3	29767	12.0007418068641	4.76893119338179	83.2303269997541
rand.78	covid	762	2	1915	4	6.4040	0	0	0.7647	250423	2	1915	0.764706117249614	6.40403972845534	250423	2	1915	0.764706117249614	1.98504131010331	97.2502525726471
rand.6	covid	6332	3	29792	6	99.6288	6	0	1.3057	2282454	3	29804	1.30578754270623	99.6689295388422	2256559	3	29804	1.32077202501685	7.46596920355284	91.2132587714303
rand.62	covid	2318	2	27249	4	91.1246	4	0	3.3609	810766	2	27249	3.36089574550487	91.1246363241146	810023	2	27249	3.36397855369539	8.29075223789942	88.3452692084052
rand.3	covid	524	7	3510	14	11.7380	0	0	2.2501	155992	7	3510	2.25011539053285	11.7379527137745	149237	7	3510	2.35196365512574	6.71080228093569	90.9372340639386
