name	xstart	xend	ystart	yend	dp	fill
ZDH221200141R	0	4	0	1	0	grey100
ZDH221200141R	4	29866	0	1	3721	grey0
ZDH221200141R	29866	29867	0	1	0	grey100
ZDH230100321R	0	42	1.5	2.5	0	grey100
ZDH230100321R	42	29839	1.5	2.5	57	grey30
ZDH230100321R	29839	29867	1.5	2.5	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	0	38	3	4	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	38	22795	3	4	369	grey15
CF231C0481-8B6AXX1LXF1-N002J019	22795	22815	3	4	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	22815	23009	3	4	132	grey25
CF231C0481-8B6AXX1LXF1-N002J019	23009	23075	3	4	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	23075	28336	3	4	364	grey15
CF231C0481-8B6AXX1LXF1-N002J019	28336	28366	3	4	0	grey100
CF231C0481-8B6AXX1LXF1-N002J019	28366	29849	3	4	793	grey10
CF231C0481-8B6AXX1LXF1-N002J019	29849	29867	3	4	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	0	20	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	20	70	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	70	74	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	74	124	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	124	200	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	200	266	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	266	277	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	277	448	4.5	5.5	5	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	448	453	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	453	839	4.5	5.5	7	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	839	841	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	841	1082	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	1082	1155	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	1155	1297	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	1297	1337	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	1337	1387	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	1387	1399	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	1399	1449	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	1449	1577	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	1577	1627	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	1627	1642	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	1642	1692	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	1692	1703	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	1703	1789	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	1789	1804	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	1804	2176	4.5	5.5	5	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	2176	2191	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	2191	2284	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	2284	2299	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	2299	2454	4.5	5.5	5	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	2454	2532	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	2532	2863	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	2863	2879	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	2879	2990	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	2990	3028	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	3028	3176	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	3176	3195	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	3195	3335	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	3335	3337	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	3337	3503	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	3503	3515	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	3515	3659	4.5	5.5	5	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	3659	3662	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	3662	3740	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	3740	3757	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	3757	3828	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	3828	3831	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	3831	4061	4.5	5.5	6	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	4061	4091	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	4091	4206	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	4206	4307	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	4307	4357	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	4357	4415	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	4415	4621	4.5	5.5	6	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	4621	4631	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	4631	4758	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	4758	4785	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	4785	4886	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	4886	4901	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	4901	5050	4.5	5.5	6	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	5050	5068	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	5068	5248	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	5248	5292	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	5292	5960	4.5	5.5	6	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	5960	5974	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	5974	6133	4.5	5.5	5	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	6133	6162	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	6162	6325	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	6325	6328	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	6328	6437	4.5	5.5	7	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	6437	6442	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	6442	6518	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	6518	6551	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	6551	6602	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	6602	6612	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	6612	6810	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	6810	6822	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	6822	6913	4.5	5.5	6	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	6913	7013	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	7013	7063	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	7063	7129	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	7129	7179	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	7179	7221	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	7221	7271	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	7271	7272	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	7272	7372	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	7372	7415	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	7415	7700	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	7700	7722	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	7722	7789	4.5	5.5	5	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	7789	7805	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	7805	7855	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	7855	7890	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	7890	8016	4.5	5.5	7	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	8016	8059	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	8059	8358	4.5	5.5	6	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	8358	8388	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	8388	8815	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	8815	8871	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	8871	8985	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	8985	9038	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	9038	9088	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	9088	9097	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	9097	9244	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	9244	9258	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	9258	9316	4.5	5.5	3	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	9316	9355	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	9355	9405	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	9405	9420	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	9420	9689	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	9689	9696	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	9696	9927	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	9927	9945	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	9945	10038	4.5	5.5	2	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	10038	10045	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	10045	10404	4.5	5.5	4	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	10404	10417	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	10417	10481	4.5	5.5	6	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	10481	10526	4.5	5.5	0	grey100
MDL001-Q24C23030015L-RNA-C19-20230113	10526	10657	4.5	5.5	6	grey40
MDL001-Q24C23030015L-RNA-C19-20230113	10657	10675	4.5	5.5	0	grey100
