sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.91	covid	2	2	29872	8	99.8963	16	0	99.7172	30413	2	30413	100	100	30413	2	30413	100	0	0
rand.73	covid	97	1	29859	2	99.8529	14	0	38.0961	78378	1	29896	38.1433565541351	99.9765909774939	39117	1	29896	76.4271288698009	23.5728711301991	0
rand.98	covid	1	1	29875	3	99.9064	11	0	99.9266	29958	1	29958	100	100	29958	1	29958	100	0	0
rand.12	covid	1	1	29855	4	99.8395	12	0	99.8499	29987	1	29987	100	100	29987	1	29987	100	0	0
rand.23	covid	7	2	29871	10	99.8930	14	1	94.4059	32284	2	30494	94.4554578119192	100	32284	2	30494	94.4554578119192	3.56213604262173	1.98240614545905
rand.94	covid	7	2	29862	8	99.8629	18	0	94.2557	32084	2	30241	94.2557037775838	100	32084	2	30241	94.2557037775838	5.74429622241616	0
rand.19	covid	4	1	29875	5	99.9064	18	0	95.6565	31403	1	30290	96.4557526350986	100	31403	1	30290	96.4557526350986	3.54424736490144	0
rand.62	covid	14	1	29871	4	99.8930	10	0	83.7117	35768	1	29965	83.7760008946544	100	35436	1	29965	84.5608985212778	15.4391014787222	5.32907051820075e-15
rand.14	covid	1	1	29865	6	99.8729	12	0	99.9867	30119	1	30119	100	100	30119	1	30119	100	0	0
rand.72	covid	4	1	29874	1	99.9030	19	0	96.2839	31027	1	30064	96.8962516517872	100	31027	1	30064	96.8962516517872	3.10374834821285	0
rand.38	covid	2	1	29871	2	99.8930	20	0	98.3310	30378	1	30023	98.8313911383238	100	30378	1	30023	98.8313911383238	1.16860886167621	6.21724893790088e-15
rand.63	covid	1	1	29862	2	99.8629	16	0	100.0000	29862	1	29862	100	99.8628900110357	29862	1	29862	100	0	0
rand.22	covid	2	1	29865	6	99.8729	10	0	99.0120	30467	1	30166	99.0120458200676	100	30166	1	30166	100	0	0
rand.66	covid	47	1	29860	2	99.8562	2	0	60.8246	49092	1	29899	60.9040169477715	99.9866234157108	33937	1	29899	88.1014821581165	11.8985178418835	0
rand.76	covid	4	1	29863	4	99.8662	16	0	96.3687	31146	1	30027	96.4072433057215	100	31146	1	30027	96.4072433057215	7.18551338855712	0
rand.82	covid	2	1	29875	1	99.9064	18	0	98.8093	30235	1	29917	98.9482387960972	100	30235	1	29917	98.9482387960972	1.05176120390276	0
rand.97	covid	20	1	29871	2	99.8930	14	0	79.1515	37739	1	29943	79.3423249158695	100	37238	1	29943	80.4097964444922	14.4959450024169	5.09425855309093
rand.52	covid	3	1	29870	4	99.8896	12	0	97.4617	30729	1	29996	97.6146311302027	100	30729	1	29996	97.6146311302027	2.38536886979726	1.77635683940025e-15
rand.32	covid	2	1	29864	4	99.8696	0	0	98.5845	30379	1	29973	98.6635504789493	100	30379	1	29973	98.6635504789493	0	1.33644952105072
rand.9	covid	1	1	29866	4	99.8763	15	0	99.9066	29971	1	29971	100	100	29971	1	29971	100	0	0
rand.21	covid	2	1	29874	1	99.9030	19	0	98.3571	30373	1	30064	98.9826490633128	100	30373	1	30064	98.9826490633128	1.01735093668719	4.66293670342566e-15
rand.67	covid	5	1	29873	4	99.8997	16	0	94.8741	31565	1	29969	94.9437668303501	100	31565	1	29969	94.9437668303501	5.05623316964993	0
rand.58	covid	55	1	29859	2	99.8529	10	0	52.8478	56500	1	29904	52.9274336283186	100	56500	1	29904	52.9274336283186	42.3823008849558	4.69026548672566
rand.30	covid	1	1	29865	4	99.8729	12	0	99.9232	29951	1	29951	100	100	29951	1	29951	100	0	0
rand.6	covid	2	1	29853	2	99.8328	20	0	97.5875	30591	1	29970	97.9699911738747	100	30591	1	29970	97.9699911738747	0	2.03000882612533
rand.1	covid	2	1	29864	2	99.8696	2	0	98.8940	30198	1	29876	98.9337042188224	99.9097080560479	30198	1	29876	98.9337042188224	1.06629578117756	0
rand.85	covid	53	1	29871	2	99.8930	12	0	54.0133	55303	1	29907	54.0784405909263	100	55303	1	29907	54.0784405909263	45.2669837079363	0.654575701137375
rand.80	covid	1	1	29854	2	99.8361	12	0	99.8796	29890	1	29890	100	99.9565261010601	29890	1	29890	100	0	0
rand.57	covid	5	1	29839	6	99.7860	12	0	94.8787	31613	1	29994	94.87868914687	100	31613	1	29994	94.87868914687	10.2426217062601	0
rand.87	covid	2	1	29853	6	99.8328	20	0	98.9150	30414	1	30085	98.9182613270204	100	30414	1	30085	98.9182613270204	1.08173867297955	5.32907051820075e-15
rand.56	covid	5	1	29857	2	99.8462	16	0	94.5800	31568	1	29909	94.7446781550938	100	31568	1	29909	94.7446781550938	4.09908768373036	1.15623416117587
rand.35	covid	6	1	29871	4	99.8930	12	0	94.7428	31614	1	29980	94.8314038084393	100	31614	1	29980	94.8314038084393	3.96659707724426	1.20199911431645
rand.2	covid	2	1	29862	2	99.8629	10	0	98.8350	30214	1	29888	98.9210299860992	99.9498378089155	30214	1	29888	98.9210299860992	1.07897001390084	2.44249065417534e-15
rand.45	covid	2	1	29873	4	99.8997	14	0	98.5634	30420	1	30005	98.6357659434583	100	30420	1	30005	98.6357659434583	1.36423405654175	0
rand.34	covid	7	1	29871	4	99.8930	12	0	92.8394	32260	1	29962	92.8766274023559	100	32260	1	29962	92.8766274023559	7.12337259764414	0
rand.65	covid	2	1	29867	4	99.8796	12	0	98.9172	30292	1	29986	98.9898322989568	100	30292	1	29986	98.9898322989568	1.01016770104318	0
rand.81	covid	1	1	29871	2	99.8930	10	0	99.7562	29944	1	29944	100	100	29944	1	29944	100	0	0
rand.74	covid	4	1	29857	6	99.8462	16	0	96.4700	31105	1	30007	96.4700208969619	100	31105	1	30007	96.4700208969619	3.5299791030381	4.88498130835069e-15
rand.40	covid	2	1	29865	4	99.8729	20	0	98.7267	30314	1	29955	98.8157287062083	100	30314	1	29955	98.8157287062083	1.18427129379165	5.77315972805081e-15
rand.100	covid	267	4	29864	14	99.8696	12	0	16.4648	189568	4	31237	16.4779920661715	100	137133	4	31237	22.778616379719	66.4048770172023	10.8165066030788
rand.93	covid	5	1	29873	4	99.8997	22	0	92.8868	32264	1	29996	92.970493429209	100	32264	1	29996	92.970493429209	7.02950657079097	0
rand.24	covid	6	1	29860	2	99.8562	18	0	93.6226	31894	1	29900	93.7480403837712	99.9899675617831	31894	1	29900	93.7480403837712	5.11694989653226	1.1350097196965
rand.71	covid	15	1	29871	6	99.8930	14	0	85.3643	35263	1	30130	85.4436661656694	100	35263	1	30130	85.4436661656694	12.7896095057142	1.7667243286164
rand.59	covid	2	1	29859	2	99.8529	18	0	98.3530	30359	1	30018	98.8767745973188	100	30359	1	30018	98.8767745973188	1.12322540268125	0
rand.70	covid	7	4	29803	14	99.6656	12	0	96.4240	32019	4	30961	96.6957119210469	100	32019	4	30961	96.6957119210469	3.30428807895312	0
rand.92	covid	1	1	29858	2	99.8495	18	0	99.8729	29896	1	29896	100	99.9765909774939	29896	1	29896	100	0	0
rand.83	covid	17	2	29863	4	99.8662	12	0	84.1736	35782	2	30361	84.8499245430664	100	35782	2	30361	84.8499245430664	15.1500754569337	0
rand.95	covid	4	2	29870	12	99.8896	10	0	97.4205	31440	2	30683	97.5922391857506	100	31440	2	30683	97.5922391857506	2.40776081424936	0
rand.5	covid	22	2	29864	8	99.8696	18	0	78.4509	38577	2	30286	78.5079192264821	100	38577	3	30710	79.6070197267802	11.149130310807	9.24384996241283
rand.27	covid	5	1	29860	8	99.8562	21	0	95.7800	31611	1	30277	95.779950017399	100	31611	1	30277	95.779950017399	4.22004998260099	3.5527136788005e-15
rand.78	covid	3	1	29854	2	99.8361	18	0	97.4634	30631	1	29948	97.7702327707225	100	30631	1	29948	97.7702327707225	2.22976722927753	0
rand.50	covid	8	1	29839	6	99.7860	12	0	92.7229	32348	1	29994	92.7228885866205	100	32348	1	29994	92.7228885866205	7.2771114133795	3.5527136788005e-15
rand.41	covid	1	1	29872	4	99.8963	14	0	99.8202	30036	1	30036	100	100	30036	1	30036	100	0	0
rand.90	covid	3	1	29872	4	99.8963	14	1	97.4212	30751	1	30017	97.6130857533088	100	30751	1	30017	97.6130857533088	2.38691424669116	0
rand.4	covid	3	1	29867	2	99.8796	12	0	97.2898	30699	1	29943	97.5373790677221	100	30699	1	29943	97.5373790677221	2.46262093227792	4.44089209850063e-15
rand.11	covid	1	1	29853	6	99.8328	20	0	99.9867	30092	1	30092	100	100	30092	1	30092	100	0	0
rand.8	covid	5	1	29855	2	99.8395	10	0	95.3651	31306	1	29881	95.4481569028301	99.9264287864094	31306	1	29881	95.4481569028301	4.55184309716987	0
rand.86	covid	6	1	29871	2	99.8930	10	0	93.7071	31877	1	29894	93.7792138532484	99.9699026853493	31877	1	29894	93.7792138532484	4.87812529409919	1.34266085265238
rand.16	covid	5	1	29871	2	99.8930	10	0	95.6607	31226	1	29883	95.6990969064241	99.933117078554	31226	1	29883	95.6990969064241	3.23128162428745	1.06962146928842
rand.51	covid	5	1	29847	4	99.8127	14	0	95.4653	31336	1	29941	95.5482512126627	100	31336	1	29941	95.5482512126627	5.61654327291294	0
rand.37	covid	11	1	29871	2	99.8930	16	0	89.0237	33554	1	30068	89.6107766585206	100	33554	1	30068	89.6107766585206	10.3892233414794	1.77635683940025e-15
rand.77	covid	1	1	29871	4	99.8930	20	0	99.7036	30025	1	30025	100	100	30025	1	30025	100	0	0
rand.61	covid	1	1	29871	2	99.8930	12	0	99.7129	29957	1	29957	100	100	29957	1	29957	100	0	0
rand.54	covid	1	1	29863	2	99.8662	20	0	99.6629	29964	1	29964	100	100	29964	1	29964	100	0	0
rand.28	covid	2	1	29863	2	99.8662	16	0	98.4343	30338	1	29973	98.796888390797	100	30338	1	29973	98.796888390797	0	1.20311160920298
rand.53	covid	13	1	29864	4	99.8696	16	0	83.2041	36104	1	30066	83.2760912918236	100	36104	1	30066	83.2760912918236	6.6779304232218	10.0459782849546
rand.31	covid	2	1	29864	2	99.8696	22	0	98.8416	30214	1	29887	98.9177202621301	99.9464936628432	30214	1	29887	98.9177202621301	1.08227973786986	6.43929354282591e-15
rand.39	covid	6	1	29871	4	99.8930	16	0	94.1698	31800	1	29967	94.2358490566038	100	31800	1	29967	94.2358490566038	4.11635220125786	1.64779874213837
rand.33	covid	23	1	29865	8	99.8729	10	0	79.3442	38028	1	30180	79.3625749447775	100	38028	1	30180	79.3625749447775	20.6374250552225	0
rand.44	covid	6	1	29862	2	99.8629	10	0	93.4092	31969	1	29862	93.4092402014452	99.8628900110357	31969	1	29862	93.4092402014452	6.59075979855485	0
rand.84	covid	71	1	29870	4	99.8896	12	0	45.8933	65260	1	30145	46.1921544590867	100	65260	1	30145	46.1921544590867	53.2516089488201	0.556236592093164
rand.96	covid	28	1	29860	4	99.8562	14	0	75.0727	39872	1	29945	75.1028290529695	100	39872	1	29945	75.1028290529695	20.5557784911718	4.34139245585875
rand.26	covid	4	2	29832	6	99.7626	14	0	97.2374	30949	2	30221	97.6477430611651	100	30949	2	30221	97.6477430611651	1.21167081327345	1.14058612556141
rand.69	covid	7	1	29866	2	99.8763	10	3	93.7997	31837	1	29888	93.8781920407073	99.9498378089155	31837	1	29888	93.8781920407073	6.12180795929265	6.21724893790088e-15
rand.46	covid	4	1	29864	2	99.8696	20	0	96.1989	31044	1	29975	96.5565004509728	100	31044	1	29975	96.5565004509728	3.44349954902719	0
rand.17	covid	4	1	29859	2	99.8529	10	0	96.5280	30933	1	29904	96.673455532926	100	30933	1	29904	96.673455532926	3.326544467074	2.22044604925031e-15
rand.47	covid	2	1	29873	4	99.8997	6	0	98.9096	30265	1	29957	98.982322815133	100	30265	1	29957	98.982322815133	1.01767718486701	3.33066907387547e-15
rand.79	covid	1	1	29865	4	99.8729	16	0	99.9266	29964	1	29964	100	100	29964	1	29964	100	0	0
rand.49	covid	23	2	428	4	1.4313	0	7	6.1581	9110	2	561	6.15806805708013	1.87606594656055	9110	2	561	6.15806805708013	59.4840834248079	34.357848518112
rand.55	covid	9	1	29859	2	99.8529	10	0	90.0914	33143	1	29897	90.2060766979453	99.9799351235662	33143	1	29897	90.2060766979453	7.64263947138159	2.15128383067315
rand.25	covid	3	1	29871	2	99.8930	12	0	97.5189	30631	1	29893	97.5906761124351	99.966558539277	30631	1	29893	97.5906761124351	2.40932388756489	0
rand.64	covid	1	1	29858	2	99.8495	0	0	99.8395	29906	1	29906	100	100	29906	1	29906	100	0	0
rand.20	covid	8	1	29866	2	99.8763	14	0	92.4444	32307	1	29887	92.5093632958801	99.9464936628432	32307	1	29887	92.5093632958801	7.49063670411985	0
rand.75	covid	19	1	29858	4	99.8495	14	0	81.1055	36905	1	29954	81.1651537732015	100	36905	1	29954	81.1651537732015	17.9352391274895	0.899607099309048
rand.15	covid	1	1	29858	2	99.8495	22	0	99.8562	29901	1	29901	100	99.9933117078554	29901	1	29901	100	0	0
rand.3	covid	2	1	29875	3	99.9064	14	0	98.8953	30325	1	30012	98.9678483099753	100	30325	1	30012	98.9678483099753	1.03215169002473	1.11022302462516e-15
rand.7	covid	1	1	29875	3	99.9064	11	0	99.9232	29959	1	29959	100	100	29959	1	29959	100	0	0
rand.18	covid	25	1	29858	2	99.8495	16	0	77.4265	38563	1	29880	77.4835982677696	99.9230846403371	38563	1	29880	77.4835982677696	21.3961569379976	1.12024479423281
rand.10	covid	1	1	29866	4	99.8763	10	0	99.9233	29970	1	29970	100	100	29970	1	29970	100	0	0
rand.68	covid	11	1	29859	2	99.8529	12	0	86.6508	34459	1	29907	86.7900983777823	100	34459	1	29907	86.7900983777823	13.2099016222177	7.105427357601e-15
rand.99	covid	68	1	29859	2	99.8529	10	0	48.2024	61945	1	29909	48.2831544111712	100	61945	1	29909	48.2831544111712	51.7168455888288	0
rand.13	covid	1	1	29874	1	99.9030	19	0	99.3680	30064	1	30064	100	100	30064	1	30064	100	0	0
rand.36	covid	1	1	29858	2	99.8495	12	0	99.8629	29899	1	29899	100	99.9866234157108	29899	1	29899	100	0	0
rand.89	covid	3	1	29859	2	99.8529	12	0	97.4924	30627	1	29908	97.6523982107291	100	30627	1	29908	97.6523982107291	2.3476017892709	0
rand.48	covid	1	1	29871	4	99.8930	14	0	99.9232	29964	1	29964	100	100	29964	1	29964	100	0	0
rand.29	covid	4	1	29859	2	99.8529	10	0	96.2417	31025	1	29899	96.3706688154714	99.9866234157108	31025	1	29899	96.3706688154714	3.62933118452861	3.99680288865056e-15
rand.43	covid	2	1	29863	2	99.8662	0	0	98.1303	30432	1	29913	98.2945583596214	100	30432	1	29913	98.2945583596214	1.70544164037855	3.33066907387547e-15
rand.60	covid	2	1	29871	4	99.8930	14	0	98.9425	30261	1	29964	99.0185387131952	100	30261	1	29964	99.0185387131952	0.981461286804798	3.33066907387547e-15
rand.42	covid	2	1	29871	2	99.8930	20	0	98.4574	30339	1	29984	98.8298889218498	100	30339	1	29984	98.8298889218498	1.17011107815024	6.43929354282591e-15
rand.88	covid	12	1	29870	4	99.8896	16	0	87.3104	34414	1	30242	87.8770267914221	100	34414	1	30242	87.8770267914221	12.1229732085779	0
