fragment	annotation	frquency	length	status
k141_139	Bacillus phage vB_BspM_AgentSmith	1	1085	Annotated
k141_77	Pseudomonas aeruginosa	19	2471	Annotated
k141_102	Exophiala lecanii-corni	1	500	Annotated
k141_396	Yellow fever virus	103	1205	Target
k141_240	NA	NA	1954	Unannotated
k141_314	Bacillus phage vB_BspM_AgentSmith	1	1729	Annotated
k141_135	Paracidovorax citrulli	12	381	Annotated
k141_432	NA	NA	363	Unannotated
k141_436	Blastochloris viridis	3	1302	Annotated
k141_360	unidentified	12	358	Annotated
k141_297	Caudoviricetes sp.	4	1088	Annotated
k141_49	Klebsiella pneumoniae	61	346	Annotated
k141_437	Bacillus phage vB_BspM_AgentSmith	1	1740	Annotated
k141_367	NA	NA	1190	Unannotated
k141_183	NA	NA	1127	Unannotated
k141_377	Mus musculus	4	790	Discard
k141_105	NA	NA	567	Unannotated
k141_37	NA	NA	353	Unannotated
k141_168	Thaumastoderma ramuliferum	2	430	Annotated
k141_226	Chaetoceros olympicus	1	838	Annotated
k141_440	Clytia sp. GL JRH-2014	15	303	Annotated
k141_380	NA	NA	359	Unannotated
k141_427	Caudoviricetes sp.	16	8335	Annotated
k141_18	Paracidovorax avenae	12	371	Annotated
k141_136	Botourmiaviridae sp.	26	474	Annotated
k141_302	NA	NA	1766	Unannotated
k141_64	NA	NA	439	Unannotated
k141_294	Bacillus phage vB_BspM_AgentSmith	1	636	Annotated
k141_258	Bacillus phage vB_BspM_AgentSmith	1	2780	Annotated
k141_400	Xanthomonas oryzae	17	1102	Annotated
k141_391	Bacillus phage vB_BspM_AgentSmith	1	1382	Annotated
k141_397	Pseudomonas phage Itty13	2	886	Annotated
k141_107	NA	NA	902	Unannotated
k141_181	Bacillus phage vB_BspM_AgentSmith	1	3094	Annotated
k141_441	NA	NA	1687	Unannotated
k141_418	Pseudomonas chlororaphis	2	11067	Annotated
k141_428	Neisseria gonorrhoeae	59	309	Annotated
k141_52	Ptychodera flava	15	1475	Annotated
k141_88	Timema genevievae	1	801	Discard
k141_8	NA	NA	367	Unannotated
k141_273	NA	NA	2124	Unannotated
k141_206	Bacillus phage vB_BspM_AgentSmith	1	2117	Annotated
k141_253	Bacillus phage vB_BspM_AgentSmith	1	1359	Annotated
k141_369	Ralstonia pseudosolanacearum	21	1291	Annotated
k141_211	Bacillus phage vB_BspM_AgentSmith	1	2458	Annotated
k141_204	Bacillus phage vB_BspM_AgentSmith	1	587	Annotated
k141_91	NA	NA	581	Unannotated
k141_368	Bacillus phage vB_BspM_AgentSmith	1	3189	Annotated
k141_443	Vibrio parahaemolyticus	58	613	Annotated
k141_184	uncultured Verrucomicrobiae bacterium	1	2078	Annotated
k141_324	Dictyostelium purpureum	1	434	Annotated
k141_14	NA	NA	348	Unannotated
k141_117	Bacillus phage vB_BspM_AgentSmith	1	1255	Annotated
k141_402	NA	NA	2195	Unannotated
k141_311	NA	NA	1420	Unannotated
k141_255	NA	NA	841	Unannotated
k141_99	Bacillus phage vB_BspM_AgentSmith	1	2219	Annotated
k141_381	Escherichia phage phi92	2	7897	Annotated
k141_309	Burkholderia pseudomallei	2	470	Annotated
k141_112	NA	NA	597	Unannotated
k141_78	Camelus ferus	5	768	Annotated
k141_398	Burkholderia multivorans	10	691	Annotated
k141_414	Caudoviricetes sp.	3	4782	Annotated
k141_387	Bacillus phage vB_BspM_AgentSmith	1	798	Annotated
k141_421	Yellow fever virus	102	9490	Target
k141_144	Bacillus phage vB_BspM_AgentSmith	1	1173	Annotated
k141_96	Bacillus phage vB_BspM_AgentSmith	1	2283	Annotated
k141_131	Cronobacter sakazakii	3	1939	Annotated
k141_89	Comamonas thiooxydans	5	897	Annotated
k141_80	Gigaspora margarita	32	494	Annotated
k141_373	NA	NA	373	Unannotated
k141_364	Pseudomonas aeruginosa	7	1371	Annotated
k141_118	Bacillus phage vB_BspM_AgentSmith	1	2059	Annotated
k141_242	Roseobacter phage RDJL Phi 2	2	3353	Annotated
k141_79	Botourmiaviridae sp.	26	566	Annotated
k141_146	Bacillus phage vB_BspM_AgentSmith	1	1973	Annotated
k141_319	Bacillus phage vB_BspM_AgentSmith	1	8475	Annotated
k141_288	uncultured alpha proteobacterium MB21A02	1	320	Annotated
k141_446	Xylella taiwanensis	22	7836	Annotated
k141_416	NA	NA	314	Unannotated
k141_337	NA	NA	342	Unannotated
k141_196	Sulfuritortus calidifontis	1	764	Annotated
k141_159	NA	NA	367	Unannotated
k141_394	NA	NA	2855	Unannotated
k141_357	NA	NA	460	Unannotated
k141_164	NA	NA	380	Unannotated
k141_267	Pseudomonas mosselii	6	2239	Annotated
k141_424	Bacillus phage vB_BspM_AgentSmith	1	3605	Annotated
k141_331	Bacillus phage vB_BspM_AgentSmith	1	410	Annotated
k141_407	Sulfuritortus calidifontis	1	7608	Annotated
k141_447	bajarodino virus 78	1	358	Annotated
k141_53	Xanthomonas phage vB_XciM_LucasX	1	1069	Annotated
k141_346	Bacillus phage vB_BspM_AgentSmith	1	1894	Annotated
k141_291	NA	NA	630	Unannotated
k141_16	NA	NA	636	Unannotated
