nc	name	host
NC_001410.1	Avocado sunblotch viroid, complete genome	plant
NC_002563.1	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 8,complete sequence	bug
NC_002566.1	Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 11,complete sequence	bug
NC_002602.2	Cucumber mosaic virus satellite RNA, complete genome	plant
NC_003012.1	Cypovirus 14 RNA 7, complete sequence	bug
NC_003015.1	Cypovirus 14 RNA 10, complete sequence	bug
NC_003016.1	Lymantria dispar cypovirus 1 segment 1, complete sequence	bug
NC_003019.1	Lymantria dispar cypovirus 1 segment 4, complete sequence	bug
NC_003022.1	Lymantria dispar cypovirus 1 segment 7, complete sequence	bug
NC_003024.1	Lymantria dispar cypovirus 1 segment 9, complete sequence	bug
NC_003497.1	Bamboo mosaic virus satellite RNA, complete genome	plant
NC_003540.1	Chrysanthemum chlorotic mottle viroid, complete genome	plant
NC_003555.1	Giardia lamblia virus, complete genome	parasite
NC_003636.1	Peach latent mosaic viroid, complete genome	plant
NC_003740.1	Raspberry bushy dwarf virus RNA 2, complete sequence	plant
NC_003757.1	Rice ragged stunt virus segment 9, complete sequence	plant
NC_003765.1	Rice dwarf virus segment 9, complete sequence	plant
NC_003766.1	Rice dwarf virus segment 10, complete sequence	plant
NC_003770.1	Rice ragged stunt virus non-structural protein Pns7 gene,complete cds	plant
NC_003823.1	Ustilago maydis virus H1, complete genome	fungi
NC_003855.1	Peanut stunt virus satellite RNA, complete genome	plant
NC_005175.1	Golden shiner reovirus segment 10, complete sequence	others
NC_005999.1	St Croix River virus chromosome segment 3, complete genome	tick
NC_006004.1	St Croix River virus chromosome segment 8, complete genome	tick
NC_006006.1	St Croix River virus chromosome segment 10, complete genome	tick
NC_006315.1	Citrus psorosis virus RNA2, complete genome	plant-like
NC_006460.1	Beet black scorch virus satellite RNA, complete genome	plant(need extensive)
NC_007567.1	Operophtera brumata reovirus segment 9, complete genome	bug
NC_007568.1	Operophtera brumata reovirus segment 10, complete genome bug
NC_007741.1	Liao ning virus segment 6, complete genome	tick
NC_007743.1	Liao ning virus segment 8, complete genome	tick
NC_007746.1	Liao ning virus segment 11, complete genome	tick
