contig	length	gc	frequency	meanDepth	meanCov	S1_fre	S1_meanDepth	S1_meanCov	Specy
k51_40	516	0.699612403100775	2	1.1514859766184	0.218367005557311	NA	NA	NA	0
k51_136	237	0.426160337552743	1	1.31608391608392	0.2	NA	NA	NA	0
k51_117	362	0.408839779005525	1	2.5323467230444	0.2	NA	NA	NA	0
k51_53	393	0.539440203562341	2	9.6486421911422	0.348076923076923	NA	NA	NA	0
k51_156	2772	0.483044733044733	5	340.225021763927	0.80881163196373	1	0.0662257972212507	0.00324194035545099	1
k51_44	303	0.392739273927393	1	1.92422680412371	0.2	NA	NA	NA	0
k51_55	1387	0.481614996395097	5	330.790782347454	0.810586317837029	1	0.0702894000572282	0.00314159221695864	1
k51_86	204	0.57843137254902	2	0.639884057971015	0.286106280193237	NA	NA	NA	0
k51_93	212	0.537735849056604	4	300.680597352832	0.742296646585045	1	0.047419653053456	0.00252868562727718	1
k51_67	210	0.514285714285714	2	1.18238555770471	0.393968868011421	NA	NA	NA	0
k51_95	1022	0.466731898238748	5	344.149805332296	0.836309177944732	1	0.0672212665304806	0.00334910224707021	1
k51_125	489	0.476482617586912	5	282.98940895644	0.807060950315416	1	0.0905589788732394	0.00329057679409792	1
k51_7	231	0.683982683982684	1	0.783269961977186	0.2	NA	NA	NA	0
k51_70	366	0.407103825136612	1	1.18620689655172	0.2	NA	NA	NA	0
k51_74	205	0.473170731707317	1	0.979916317991632	0.2	NA	NA	NA	0
k51_48	262	0.66793893129771	1	0.822	0.187333333333333	NA	NA	NA	0
k51_158	273	0.263736263736264	2	4.08928812795675	0.23695652173913	NA	NA	NA	0
k51_121	245	0.583673469387755	1	0.775451263537906	0.2	NA	NA	NA	0
k51_144	366	0.60655737704918	1	0.879326923076924	0.2	NA	NA	NA	0
k51_147	202	0.430693069306931	1	0.93648068669528	0.2	NA	NA	NA	0
k51_56	200	0.49	1	1.88267716535433	0.2	NA	NA	NA	0
k51_63	230	0.395652173913043	1	1.45371024734982	0.2	NA	NA	NA	0
k51_102	349	0.553008595988539	1	3.51513859275054	0.2	NA	NA	NA	0
k51_130	219	0.438356164383562	1	1.54945054945055	0.2	NA	NA	NA	0
k51_126	201	0.402985074626866	1	0.825217391304348	0.2	NA	NA	NA	0
k51_79	302	0.589403973509934	2	2.25465589960703	0.26546671041785	NA	NA	NA	0
k51_52	227	0.440528634361233	2	1.57838498685739	0.396747967479675	NA	NA	NA	0
k51_41	276	0.489130434782609	2	2.17157314538719	0.236559139784946	NA	NA	NA	0
k51_26	298	0.513422818791946	1	1.95172413793104	0.2	NA	NA	NA	0
k51_65	247	0.380566801619433	1	1.48187919463087	0.2	NA	NA	NA	0
k51_104	404	0.507425742574257	5	194.190049558193	0.734764295633861	1	0.0408639855662905	0.00293184728203935	1
k51_100	205	0.351219512195122	1	3.1741935483871	0.2	NA	NA	NA	0
k51_98	247	0.425101214574899	1	1.97241379310345	0.2	NA	NA	NA	0
k51_31	230	0.378260869565217	1	2.10648464163822	0.2	NA	NA	NA	0
k51_42	338	0.458579881656805	1	1.86270783847981	0.19144893111639	NA	NA	NA	0
k51_116	299	0.421404682274247	1	2.09114583333334	0.2	NA	NA	NA	0
k51_134	229	0.471615720524017	5	345.641900047456	0.820799042471198	1	0.0865273608866313	0.00314015238974833	1
k51_6	234	0.504273504273504	2	1.92970682546954	0.241193311956024	NA	NA	NA	0
k51_21	244	0.426229508196721	1	0.868817204301076	0.2	NA	NA	NA	0
k51_111	670	0.417910447761194	1	2.1530494821634	0.2	NA	NA	NA	0
k51_154	216	0.597222222222222	1	0.906772908366534	0.2	NA	NA	NA	0
k51_157	2455	0.486761710794297	5	509.634323543443	0.821946187592154	1	0.110235275288093	0.0031736471460341	1
k51_69	222	0.558558558558559	1	2.88532423208192	0.2	NA	NA	NA	0
k51_91	209	0.45933014354067	4	4.94404364384083	0.448167878478585	237	4.16201077075291	0.403246213302489	0
k51_58	242	0.570247933884298	1	3.1632530120482	0.2	NA	NA	NA	0
k51_75	246	0.585365853658537	1	0.61985294117647	0.1875	NA	NA	NA	0
k51_47	213	0.314553990610329	1	0.65593220338983	0.2	NA	NA	NA	0
k51_149	529	0.493383742911153	5	435.190427436782	0.807303536305185	1	0.0778768909754824	0.0031716223265519	1
k51_81	210	0.419047619047619	1	1.38232931726908	0.2	NA	NA	NA	0
k51_59	763	0.486238532110092	5	328.546670612396	0.828519914213728	1	0.0613378817604169	0.00315876548270914	1
k51_118	208	0.677884615384615	2	0.725065370158522	0.248341232227488	NA	NA	NA	0
k51_17	232	0.366379310344828	1	1.02255639097744	0.2	NA	NA	NA	0
k51_9	243	0.489711934156379	2	11.0856617647059	0.35	NA	NA	NA	0
k51_2	200	0.61	1	0.651555555555556	0.2	NA	NA	NA	0
k51_45	382	0.458115183246073	1	3.09142857142858	0.2	NA	NA	NA	0
k51_34	227	0.449339207048458	1	0.84942084942085	0.2	NA	NA	NA	0
k51_153	391	0.411764705882353	1	1.91779141104295	0.2	NA	NA	NA	0
k51_24	625	0.4304	1	2.18493827160494	0.2	NA	NA	NA	0
k51_5	221	0.524886877828054	2	4.81831827696376	0.329310344827586	NA	NA	NA	0
k51_30	202	0.366336633663366	1	3.99352517985612	0.2	NA	NA	NA	0
k51_127	223	0.304932735426009	1	3.6736507936508	0.2	NA	NA	NA	0
k51_124	414	0.3743961352657	2	5.0110600966463	0.224460431654676	NA	NA	NA	0
k51_110	238	0.457983193277311	1	2.46775244299674	0.2	NA	NA	NA	0
