sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.86	KM821997_KM821998	67	2	10166	3	95.5361	681	5	27.2148	37351	2	10259	27.4664667612648	96.4100777001771
rand.68	KM821997_KM821998	90	13	5765	25	54.1772	363	0	19.9457	43082	13	8848	20.537579499559	83.1500200520382
rand.97	KM821997_KM821998	320	3	10608	5	99.6899	788	3	5.5708	190405	3	10957	5.75457577269504	100
rand.99	KM821997_KM821998	116	13	7115	26	66.8640	543	0	13.0656	58306	13	8156	13.9882687888039	76.6469127196065
rand.92	KM821997_KM821998	100	3	10166	5	95.5361	683	5	21.2498	53130	3	11417	21.4888010540184	100
rand.19	KM821997_KM821998	7	4	1819	8	17.0943	148	0	66.3143	2743	4	1820	66.3507109004739	17.1036976360638
rand.21	KM821997_KM821998	340	2	10202	1	95.8744	738	5	5.4687	186534	2	10275	5.50837916948117	96.560425406783
rand.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.5	KM821997_KM821998	257	5	3025	9	28.4278	209	2	2.2621	134832	5	3146	2.33327400023733	29.564912
rand.87	KM821997_KM821998	151	5	3062	10	28.7755	236	2	3.9673	77130	5	3116	4.03993258135615	29.282971260614
rand.81	KM821997_KM821998	364	1	294	2	2.7629	16	0	0.1695	173451	1	325	0.187372802693556	3.05422619047619
rand.43	KM821997_KM821998	282	5	10592	10	99.5395	685	3	12.6061	165364	5	21294	12.8770469993469	100
rand.55	KM821997_KM821998	36	19	8237	40	77.4081	501	1	57.3543	15943	19	9463	59.3552029103682	88.9295678402331
rand.63	KM821997_KM821998	6	3	1796	6	16.8781	125	0	60.1675	2985	3	1832	61.3735343383585	17.2164138084633
rand.82	KM821997_KM821998	75	4	10140	6	95.2918	729	1	39.2241	51272	4	21195	41.3383523170541	100
rand.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.38	KM821997_KM821998	293	2	794	4	7.4617	64	0	0.4955	160250	2	812	0.506708268330733	7.63085692695214
rand.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.79	KM821997_KM821998	272	8	4283	16	40.2500	276	0	3.6335	140003	8	5241	3.74349121090262	49.2529185150595
rand.24	KM821997_KM821998	156	8	4118	16	38.6994	505	4	7.1554	80960	8	5931	7.32583992094862	55.7372854298203
rand.39	KM821997_KM821998	112	5	3209	10	30.1569	226	0	5.5881	57945	5	3274	5.65018552075244	30.7677440324088
rand.9	KM821997_KM821998	13	3	10600	5	99.6147	679	3	59.1065	18086	3	10901	60.2731394448745	100
rand.72	KM821997_KM821998	33	3	2722	6	25.5803	321	3	17.8237	15384	3	2743	17.8302132085283	25.7776498530492
rand.59	KM821997_KM821998	371	1	464	2	4.3605	40	0	0.2360	196643	1	464	0.235960598648312	4.3605
rand.91	KM821997_KM821998	187	1	3393	1	31.8861	196	0	3.4217	99161	1	3480	3.50944423714969	32.7036923076923
