sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov
rand.64	GCF_002889555	73	1	11268	0	100.0000	461	0	24.0646	46824	1	11841	25.2883136852896	100
rand.99	GCF_002889555	77	1	11268	0	100.0000	462	0	24.0292	46893	1	11870	25.3129464952125	100
rand.52	GCF_002889555	21	1	11268	0	100.0000	460	0	55.6033	20265	1	11931	58.8749074759438	100
rand.68	GCF_002889555	72	1	11268	0	100.0000	460	0	25.0751	44937	1	11900	26.4815185704431	100
rand.39	GCF_002889555	54	1	11268	0	100.0000	462	0	31.0739	36262	1	11878	32.7560531686063	100
rand.88	GCF_002889555	52	1	11268	0	100.0000	459	0	28.5259	39501	1	11883	30.0827827143617	100
rand.72	GCF_002889555	67	1	11268	0	100.0000	460	0	26.2071	42996	1	11873	27.6141966694576	100
rand.71	GCF_002889555	67	1	11268	0	100.0000	460	0	26.4507	42600	1	11881	27.8896713615023	100
rand.79	GCF_000854045	67	1	11826	2	100.0000	495	17	26.6356	44816	1	11945	26.6534273473759	100
rand.15	GCF_000854045	76	1	11826	0	100.0000	497	13	24.5598	48103	1	11843	24.6200860653182	100
rand.14	GCF_002889555	40	1	11268	0	100.0000	460	0	38.9182	28953	1	11820	40.8247849963734	100
rand.2	GCF_002889555	58	1	11268	0	100.0000	461	0	29.3774	38356	1	11843	30.8765251851079	100
rand.61	GCF_002889555	53	1	11268	0	100.0000	461	0	32.4492	34725	1	11841	34.0993520518359	100
rand.77	GCF_002889555	27	1	11268	0	100.0000	460	0	50.7773	22191	1	11939	53.8010905321977	100
rand.41	GCF_000854045	58	1	11826	2	100.0000	495	17	33.7633	35355	1	11967	33.8481120067883	100
rand.53	GCF_002889555	58	1	11268	0	100.0000	460	0	31.6410	35612	1	11837	33.2387959114905	100
rand.78	GCF_002889555	92	1	11268	0	100.0000	457	2	20.7959	54179	1	11899	21.9623839495007	100
rand.69	GCF_002889555	61	1	11268	0	100.0000	461	0	28.0578	40160	1	11910	29.656374501992	100
rand.81	GCF_002889555	74	1	11268	0	100.0000	460	0	25.7560	43749	1	11881	27.1571921643923	100
rand.82	GCF_002889555	50	1	11268	0	100.0000	460	0	34.7167	32457	1	11966	36.8672397325692	100
rand.34	GCF_002889555	44	1	11268	0	100.0000	460	0	37.7323	29863	1	11837	39.6376787328802	100
rand.5	GCF_002889555	71	1	11268	0	100.0000	460	0	25.7354	43784	1	11842	27.0464096473598	100
rand.48	GCF_002889555	49	1	11268	0	100.0000	461	0	34.9688	32223	1	11841	36.7470440368681	100
rand.66	GCF_002889555	94	1	11268	0	100.0000	461	0	19.8398	56795	1	11845	20.8557091293248	100
rand.85	GCF_002889555	71	1	11268	0	100.0000	459	0	24.3622	46252	1	11833	25.5837585401712	100
rand.25	GCF_002889555	85	1	11268	0	100.0000	461	0	21.6822	51969	1	11901	22.9001904981816	100
rand.30	GCF_002889555	62	1	11268	0	100.0000	461	0	27.4970	40979	1	11848	28.9123697503599	100
rand.17	GCF_002889555	45	1	11268	0	100.0000	460	0	37.4414	30095	1	11876	39.4617046020934	100
rand.42	GCF_002889555	63	1	11268	0	100.0000	461	0	27.0261	41693	1	11841	28.4004509150217	100
rand.96	GCF_002889555	87	1	11268	0	100.0000	459	0	21.9658	51298	1	11832	23.0652267144918	100
rand.6	GCF_002889555	64	1	11268	0	100.0000	459	0	28.9042	38984	1	11885	30.486866406731	100
rand.89	GCF_002889555	73	2	11268	2	100.0000	460	0	27.3511	42353	2	12277	28.9873208509433	100
rand.91	GCF_002889555	82	1	11268	0	100.0000	462	0	22.6862	49669	1	11848	23.8539129034206	100
rand.60	GCF_000854045	34	1	11826	2	100.0000	494	17	46.7702	25497	1	11945	46.8486488606503	100
rand.50	GCF_002889555	54	1	11268	0	100.0000	460	0	31.6980	35548	1	11947	33.6080792168336	100
rand.56	GCF_000854045	66	1	11826	0	100.0000	495	17	29.7367	39722	1	11863	29.8650621821661	100
rand.19	GCF_000854045	23	1	11826	2	100.0000	498	14	58.3150	20463	1	11953	58.4127449543078	100
rand.57	GCF_002889555	90	1	11268	0	100.0000	462	0	21.5561	52273	1	11829	22.6292732385744	100
rand.11	GCF_002889555	36	1	11268	0	100.0000	460	0	40.5120	27814	1	11939	42.9244265477817	100
rand.45	GCF_002889555	81	1	11268	0	100.0000	461	0	22.8467	49320	1	11901	24.1301703163017	100
