sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.34	GCA_003101195	562	1	8730	2	100.0000	1091	137	3.5273	252146	1	9253	3.66969930119851	100	252146	1	9253	3.66969930119851	12.6878871764771	83.6424135223244
rand.92	GCA_003112285	201	2	5080	3	99.6078	520	47	6.2396	90518	3	9500	10.4951501358846	100	90518	3	9500	10.4951501358846	14.706467221989	74.7983826421264
rand.77	GCA_003188985	77	2	782	4	9.4708	106	15	2.0174	38912	2	791	2.03279194078947	9.57975051471479	38912	2	791	2.03279194078947	74.9151932565789	23.0520148026316
rand.67	GCA_003101195	83	8	8730	14	100.0000	917	110	30.6972	45571	9	16888	37.058655724035	100	45571	9	16888	37.058655724035	9.58504311952777	53.3563011564372
rand.5	GCA_003102695	100	5	3558	9	43.6083	468	43	6.6928	53117	5	3861	7.26885931057853	47.3219757323201	53117	5	3861	7.26885931057853	67.0463316828887	25.6848090065327
rand.87	GCA_003100195	43	7	6416	14	73.8065	673	48	26.9910	26231	7	7172	27.3416949411002	82.5031634648568	26231	7	7172	27.3416949411002	66.6806450383134	5.97766002058633
rand.93	GCA_003855775	30	5	2024	10	22.9271	235	25	17.8630	11605	5	2101	18.1042654028436	23.7992750339828	11605	5	2101	18.1042654028436	55.2520465316674	26.643688065489
rand.84	GCA_003097815	417	3	9637	11	99.4530	734	99	5.5652	193127	3	11374	5.88938884775303	100	192737	3	11374	5.9013059246538	15.1947991304212	78.903894944925
rand.74	GCA_003101195	156	5	8730	8	100.0000	796	128	17.3834	97806	6	18387	18.7994601558187	100	97806	6	18387	18.7994601558187	71.2972619266712	9.90327791751017
rand.63	GCA_003112325	332	2	1145	4	21.5104	149	5	0.8214	139281	2	1351	0.969981548093423	25.3804245726094	139281	2	1351	0.969981548093423	15.8449465469088	83.1850719049978
rand.42	GCA_003112285	9	5	3510	10	68.8235	352	40	66.8676	5309	6	4204	79.1862874364287	82.4313725490196	5309	6	4204	79.1862874364287	0	20.8137125635713
rand.2	GCA_003187725	161	4	8688	6	100.0000	913	178	14.7341	74039	4	11266	15.2163049203798	100	74039	4	11266	15.2163049203798	14.736827888005	70.0468671916152
rand.96	GCA_003112285	215	3	1528	6	29.9608	169	15	1.3799	110516	4	1931	1.74725831553802	37.8627450980392	109678	4	1931	1.76060832619121	95.6071409033717	2.6322507704371
rand.71	GCA_003102955	108	16	9176	32	100.0000	1038	120	23.9954	62362	17	15924	25.5347807959976	100	62024	17	15924	25.673932671224	54.3209080355991	20.0051592931768
rand.57	GCA_003112285	22	3	4686	6	91.8824	568	39	32.3580	14627	4	7855	53.7020578382443	100	14627	4	7855	53.7020578382443	13.6118137690572	32.6861283926984
rand.48	GCA_003112285	56	4	2134	8	41.8431	237	17	5.6465	37634	5	2505	6.65621512462135	49.1176470588235	37634	5	2505	6.65621512462135	79.7124940213637	13.631290854015
rand.1	GCA_003102955	452	12	9176	24	100.0000	927	103	6.9917	204913	12	14521	7.08642204252536	100	204913	12	14521	7.08642204252536	17.6655458658065	75.2480320916682
rand.82	GCA_003188885	388	1	8904	0	100.0000	865	115	5.3328	167809	1	9178	5.46931332646044	100	167809	1	9178	5.46931332646044	16.7637015893069	77.7669850842327
rand.54	GCA_003097815	527	12	8765	26	90.4541	514	104	7.3811	238378	12	17766	7.45286897280789	100	238378	12	17766	7.45286897280789	18.1233167490289	74.4238142781633
rand.32	GCA_003101195	54	2	8730	2	100.0000	1116	113	29.6617	30332	2	9363	30.8683898193327	100	30332	3	9693	31.9563497296584	16.8963470921799	51.1473031781617
rand.3	GCA_003100495	28	6	6308	12	83.2080	702	48	25.5608	25590	6	7573	29.5935912465807	99.8944730246669	25590	6	7573	29.5935912465807	57.3231731144978	13.0832356389215
rand.76	GCA_003112285	175	2	5036	4	98.7451	637	34	6.2589	80302	2	8397	10.4567756718388	100	80302	2	8397	10.4567756718388	13.2910761873926	76.2521481407686
rand.88	GCA_003112285	547	3	2056	6	40.3137	218	12	0.9423	233164	3	2295	0.984285738793296	45	231886	3	2295	0.989710461174888	13.6097047687226	85.4005847701025
rand.75	GCA_003104595	485	8	9178	16	100.0000	893	163	6.1676	216178	9	14345	6.63573536622598	100	215517	9	14345	6.65608745481795	16.8849789111764	76.4589336340057
rand.49	GCA_003189165	72	11	6184	21	69.2110	734	69	19.2020	36793	11	7444	20.2321093686299	83.3128147733632	36793	11	7444	20.2321093686299	50.493300356046	29.2745902753241
rand.20	GCA_003112285	205	1	5063	2	99.2745	613	48	5.5587	91262	2	9540	10.4534198242423	100	90915	2	9540	10.4933179343343	15.3803002804818	74.126381785184
rand.35	GCA_003187725	283	1	8688	0	100.0000	929	178	6.9570	123358	1	8936	7.24395661408259	100	123358	1	8936	7.24395661408259	14.7213800483147	78.0346633376028
rand.17	GCA_003112285	592	3	3317	6	65.0392	359	25	1.2571	266717	5	4995	1.87277151437666	97.9411764705882	266401	5	4995	1.87499296173813	26.2457723507044	71.8792346875575
rand.15	GCA_003112285	330	5	4735	10	92.8431	446	38	2.5085	220128	5	9472	4.30295101032127	100	216963	5	9472	4.36572134419233	92.7153477781926	2.91893087761508
rand.86	GCA_003112285	8	1	5080	1	99.6078	523	47	45.4675	11219	4	9875	88.0203226669044	100	11219	4	9875	88.0203226669044	6.16810767448079	5.81156965861484
rand.6	GCA_003188885	449	2	8904	4	100.0000	838	67	4.6375	193337	2	9130	4.72232423178181	100	193337	2	9130	4.72232423178181	15.5309123447659	79.7467634234523
rand.83	GCA_003104595	44	9	4936	18	53.7808	498	45	25.0379	20449	9	5358	26.2017702577143	58.3787317498366	20449	9	5358	26.2017702577143	17.384713188909	56.4135165533767
rand.70	GCA_003100495	69	2	770	4	10.1570	96	4	1.8090	42564	2	807	1.8959684240203	10.6450336367234	42564	2	807	1.8959684240203	81.625317169439	16.4787144065407
rand.58	GCA_003101195	549	7	8730	14	100.0000	866	139	5.0445	251520	7	13118	5.21548982188295	100	251520	7	13118	5.21548982188295	27.3059796437659	67.4785305343511
rand.72	GCA_003101195	428	20	8730	37	100.0000	795	102	12.7823	197007	24	27885	14.1543193896664	100	197007	24	27885	14.1543193896664	15.0365215449197	70.8091590654139
