sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.100	KU182898	58	9	8125	18	42.8556	130	0	22.7897	35674	9	8402	23.5521668442003	44.316683369376	35674	9	8402	23.5521668442003	6.42204406570612	70.0257890900936
rand.82	AF086833	11	1	18853	2	99.4409	369	0	75.5117	24967	1	18929	75.816077221933	99.8417638061079	24967	1	18929	75.816077221933	0	24.183922778067
rand.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.35	AF086833	16	1	221	2	1.1657	2	0	2.3451	9424	1	334	3.54414261460102	1.76169629199852	9424	1	334	3.54414261460102	3.25764006791171	93.1982173174873
rand.39	AF086833	117	3	18801	8	99.1666	368	0	23.7721	81377	3	20048	24.6359536478366	100	81377	3	20048	24.6359536478366	25.8500559126043	49.5139904395591
rand.78	AF086833	8	1	18853	2	99.4409	365	0	87.0005	21670	1	18929	87.3511767420397	99.8417638061079	21670	1	18929	87.3511767420397	1.33825565297647	11.3105676049839
rand.6	AF086833	22	2	18850	4	99.4251	369	0	64.2806	29337	2	18944	64.5737464635102	99.920881903054	29337	2	18944	64.5737464635102	1.11804206292395	34.3082114735658
rand.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.1	AF086833	79	2	18898	4	99.6783	367	0	32.7421	57846	2	19013	32.8683055008125	100	57846	2	19013	32.8683055008125	10.4121287556616	56.7195657435259
rand.56	AF086833	87	2	18858	6	99.4673	368	0	29.4791	64717	2	19731	30.4881252221209	100	64717	2	19731	30.4881252221209	13.8958851615495	55.6159896163296
rand.53	LT605058	28	16	10602	34	55.9207	410	3	58.0145	18323	16	11071	60.4213283850898	58.394430085975	18323	16	11071	60.4213283850898	1.75735414506358	37.8213174698466
rand.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.89	AF086833	51	1	18853	2	99.4409	365	0	41.3298	45616	1	18929	41.496404770256	99.8417638061079	45616	1	18929	41.496404770256	2.35224482637671	56.1513504033672
rand.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.3	AF086833	48	1	18858	2	99.4673	367	0	41.2612	45704	1	18982	41.5324698057063	100	45704	1	18982	41.5324698057063	3.59049536145633	54.8770348328374
rand.63	AF086833	104	2	18873	4	99.5464	367	0	26.9840	70475	2	19617	27.8354026250443	100	69570	2	19617	28.1974989219491	7.49029754204398	64.3122035360069
rand.15	AF086833	12	1	18858	2	99.4673	367	0	73.6813	25594	1	18915	73.9040400093772	99.7679202489583	25594	1	18915	73.9040400093772	2.10986950066422	23.9860904899586
rand.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.27	AF086833	12	1	18858	2	99.4673	367	0	75.3597	25024	1	18917	75.5954283887468	99.7784693285511	25024	1	18917	75.5954283887468	0	24.4045716112532
rand.38	AF086833	17	1	18858	2	99.4673	367	0	64.6110	29187	1	18916	64.8096755404804	99.7731947887547	29187	1	18916	64.8096755404804	1.10323089046493	34.0870935690547
rand.66	AF086833	83	3	18801	8	99.1666	368	0	31.0968	62209	3	19999	32.1480814673118	100	61669	3	19999	32.4295837454799	9.77962995994746	57.7907862945726
rand.95	KU182898	70	19	13076	44	68.9699	156	1	30.8235	43535	19	14056	32.2866659009992	74.1389313782372	42873	19	14056	32.7852028082943	3.29111562055373	63.923681571152
rand.21	AF086833	107	2	18873	6	99.5464	367	0	26.7018	71452	2	19679	27.5415663662319	100	71452	2	19679	27.5415663662319	15.9281755584168	56.5302580753513
rand.60	AF086833	45	1	18858	2	99.4673	367	0	41.6844	45240	1	18907	41.7926613616269	99.7257239305871	45240	1	18907	41.7926613616269	0	58.2073386383731
rand.54	AF086833	15	1	622	2	3.2808	12	0	9.0803	6850	1	637	9.2992700729927	3.35988185030856	6850	1	637	9.2992700729927	0	90.7007299270073
rand.64	AF086833	12	1	401	2	2.1151	8	0	4.6677	8591	1	417	4.85391688976836	2.19948309509995	8591	1	417	4.85391688976836	4.55127458968688	90.5948085205448
rand.41	AF086833	23	1	18858	4	99.4673	367	0	59.6442	31760	1	18975	59.7449622166247	100	31760	1	18975	59.7449622166247	0	40.2550377833753
rand.55	AF086833	46	2	962	4	5.0741	17	0	3.7834	25427	2	985	3.87383489990955	5.19542169945672	25427	2	985	3.87383489990955	0	96.1261651000905
rand.40	AF086833	103	1	18873	2	99.5464	367	0	25.7395	73323	1	18913	25.7940891671099	99.7573711693655	73323	1	18913	25.7940891671099	30.7693356791184	43.4365751537717
rand.81	AF086833	17	1	18853	2	99.4409	367	0	69.9166	26965	1	18917	70.153903207862	99.7784693285511	26648	1	18917	70.9884419093365	0	29.0115580906635
rand.71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.23	AF086833	14	1	18853	2	99.4409	365	0	76.1215	24767	1	18929	76.4283118665967	99.8417638061079	24767	1	18929	76.4283118665967	0	23.5716881334033
rand.43	AF086833	87	2	18898	4	99.6783	367	0	30.2590	62930	2	19621	31.1790878754171	100	62012	2	19621	31.6406501967361	7.35986583241953	60.9994839708444
