contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k41_317	302	0.589403973509934	2	1.61046849971931	0.189619078869893	99	2.02571672185627	0.0193187110708169	N	N
k41_337	247	0.425101214574899	1	1.40886699507389	0.142857142857143	154	1.99536084017403	0.0404716284527692	N	N
k41_209	273	0.263736263736264	3	2.94731760692563	0.195652173913043	234	0.300297439363158	0.0312028924390801	N	N
k41_223	433	0.466512702078522	7	334.027639958304	0.892939545880722	1	0.00875499661632003	0.000377269304224389	Y	N
k41_130	247	0.380566801619433	1	1.05848513902205	0.142857142857143	105	3.83141358703719	0.0321703541932481	N	N
k41_106	212	0.509433962264151	6	317.894591252409	0.850449188684483	1	0.010807467266993	0.000403521253889202	Y	N
k41_253	338	0.458579881656805	1	1.33050559891415	0.136749236511707	109	2.16665249076301	0.031530033651143	N	N
k41_110	349	0.553008595988539	1	2.5108132805361	0.142857142857143	202	2.49292497260085	0.0487624524536744	N	N
k41_244	298	0.513422818791946	1	1.39408866995074	0.142857142857143	104	0.470038750040564	0.0194514465949657	N	N
k41_365	243	0.489711934156379	2	7.91832983193277	0.25	241	27.6209511402812	0.0775165369348036	N	N
k41_359	205	0.473170731707317	1	0.69994022713688	0.142857142857143	102	0.644978016820018	0.0244805959846847	N	N
k41_330	202	0.430693069306931	1	0.668914776210914	0.142857142857143	94	1.80925014325357	0.029756382394379	N	N
k41_115	482	0.477178423236515	7	392.03619401935	0.861424713777894	1	0.00894398888189362	0.00036703335170677	Y	N
k41_214	303	0.392739273927393	1	1.37444771723122	0.142857142857143	109	3.46162829088266	0.0332430735123558	N	N
k41_350	210	0.419047619047619	1	0.987378083763626	0.142857142857143	95	1.76944138352591	0.0293340701283481	N	N
k41_112	224	0.459821428571429	7	229.925979011789	0.854232909608132	1	0.00200939483118766	0.000311174817350313	Y	N
k41_363	221	0.524886877828054	2	3.44165591211697	0.235221674876847	207	11.6477069796759	0.0643991704692136	N	N
k41_166	393	0.539440203562341	2	6.89188727938728	0.248626373626374	247	30.1007786686399	0.0790620792947012	N	N
