sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.5	GCA_003099855	145	17	3390	40	40.4921	284	3	7.3908	73903	20	7791	10.5421972044437	93.0602006688963	73903	20	7791	10.5421972044437	1.09332503416641	88.3644777613899
rand.77	GCA_003101195	161	22	7962	59	91.2027	782	77	15.7939	80873	35	22103	27.3305058548589	100	80873	35	22103	27.3305058548589	4.67523153586487	67.9942626092763
rand.8	GCA_003099635	228	21	6940	62	79.0883	537	52	9.0421	118379	27	16140	13.6341749803597	100	117744	28	16487	14.0024120125017	6.90226253567061	79.0953254518277
rand.95	GCA_003099955	90	53	8801	166	100.0000	638	119	54.0914	49348	71	42207	85.5293020993759	100	47897	72	42606	88.9533791260413	0.659749044825354	10.3868718291333
rand.62	GCA_003112285	73	9	3327	20	65.2353	294	7	12.7716	35070	17	11877	33.8665526090676	100	34012	17	11877	34.9200282253322	2.53733976243679	62.542632012231
rand.60	GCA_003112285	91	12	4753	32	93.1961	504	21	14.4018	47744	19	15124	31.6772788203753	100	47170	19	15124	32.062751748993	4.38414246343015	63.5531057875768
rand.97	GCA_003188925	926	76	8950	215	100.0000	741	99	7.5424	452163	129	71897	15.9006818337635	100	452163	129	71897	15.9006818337635	23.8498063751346	60.2495117911019
rand.93	GCA_003112285	214	10	5086	26	99.7255	493	47	6.7372	119782	25	19106	15.9506436693326	100	118908	25	19106	16.0678844148417	30.9802536414707	52.9518619436876
rand.41	GCA_003112285	426	3	4671	8	91.5882	545	38	2.0754	239132	8	9948	4.16004549788401	100	239132	8	9948	4.16004549788401	3.59006741046786	92.2498870916481
rand.85	GCA_003097875	250	30	8861	96	96.7358	626	60	15.6818	124584	38	28608	22.9628202658447	100	124202	38	28608	23.0334455161753	21.372441667606	55.5941128162187
rand.25	GCA_003099235	402	120	8797	376	99.8865	546	73	23.9184	198989	134	69403	34.8778073159823	100	198662	134	69403	34.9352165990476	1.07418630638975	63.9905970945626
rand.94	GCA_003112285	56	6	2720	14	53.3333	220	42	13.6469	26768	6	5915	22.097280334728	100	25642	6	5915	23.0676234303096	2.30481241712815	74.6275641525622
rand.30	GCA_003187725	306	60	7821	163	90.0207	598	81	15.7099	154266	77	41240	26.7330455187793	100	153941	77	41240	26.7894842829396	9.56470336037833	63.6458123566821
rand.29	GCA_003101175	146	45	8475	105	97.3802	673	50	24.6429	88358	54	35869	40.5950791099844	100	86824	54	35869	41.3123099603796	11.8216161430019	46.8660738966184
rand.9	GCA_003112285	430	3	4550	10	89.2157	500	41	2.3252	211986	7	9440	4.45312426292302	100	211287	7	9440	4.46785651743837	8.34883357707762	87.183309905484
rand.33	GCA_003188765	146	50	8954	139	99.8773	832	96	28.7993	88707	70	45337	51.1087061900414	100	87431	70	45337	51.8546053459299	24.2579862977662	23.8874083563038
rand.52	GCA_003187725	266	106	8688	304	100.0000	634	199	31.2152	130145	135	68740	52.8180106803949	100	129719	136	69059	53.2373823418312	5.76553935815108	40.9970783000177
rand.45	GCA_003112285	139	9	4788	22	93.8824	462	53	9.4350	71553	17	15406	21.5308931840733	100	71243	17	15406	21.6245806605561	9.01421894080822	69.3612003986357
rand.71	GCA_003112285	95	7	3056	20	59.9216	306	18	6.9934	54151	12	8404	15.5195656589906	100	53256	12	8404	15.7803815532522	44.4663512092534	39.7532672374944
rand.10	GCA_003187595	341	25	7387	82	90.4383	573	75	8.8306	173046	28	22982	13.2808617361858	100	173046	28	22982	13.2808617361858	43.515019127862	43.2041191359523
rand.74	GCA_003104855	186	44	8577	137	95.8110	648	142	23.2309	100039	53	33947	33.9337658313258	100	99689	53	33947	34.0529045330979	14.5301888874399	51.4169065794621
rand.6	GCA_003101175	373	35	8569	106	98.4603	823	118	10.0703	190967	42	26331	13.7882461367671	100	190967	42	26331	13.7882461367671	12.0722428482408	74.1395110149921
rand.68	GCA_003102495	279	124	8916	325	99.7427	626	106	31.3385	148185	180	93975	63.4173499342039	100	148185	183	95314	64.3209501636468	1.68168168168168	33.9973681546715
rand.44	GCA_003112285	154	5	3916	16	76.7843	409	9	5.4219	87553	10	8806	10.0579077815723	100	86966	10	8806	10.1257962882046	21.9557068279558	67.9184968838397
rand.69	GCA_003112285	1634	71	5012	182	98.2745	432	10	4.0300	610601	172	85282	13.9668949117345	100	610601	174	86037	14.0905435791949	77.4215895486578	8.48786687214728
rand.55	GCA_003102575	647	61	8755	163	98.0184	792	112	9.1893	328437	87	51522	15.687026735721	100	327351	87	51522	15.7390690726468	4.8532003873518	79.4077305400014
rand.79	GCA_003112285	211	17	4617	40	90.5294	475	18	8.2210	100401	46	26761	26.6541169908666	100	99790	46	26761	26.8173163643652	26.6960617296322	46.4866219060026
rand.12	GCA_003104855	88	27	7347	86	82.0710	390	13	29.8440	49092	31	19558	39.8394850484804	100	48743	31	19558	40.124735859508	14.1538272162157	45.7214369242763
rand.17	GCA_003099235	407	152	8399	435	95.3673	504	38	25.3565	214793	204	94969	44.2141969244808	100	213930	205	95455	44.6197354274763	5.23722713036975	50.143037442154
rand.7	GCA_003112285	65	8	3774	22	74.0000	315	9	14.2381	38671	18	14709	38.0362545576789	100	37968	18	14709	38.7405183312263	6.03139485882849	55.2280868099452
rand.18	GCA_003099635	222	153	8773	413	99.9772	664	122	52.0745	97733	179	80144	82.0030081957988	100	97095	179	80144	82.5418404655234	3.66548225964262	13.7926772748339
rand.21	GCA_003112285	538	70	4941	178	96.8824	501	13	8.6641	269966	157	75628	28.0138980464207	100	269343	160	76877	28.5424161756571	8.58533542731758	62.8722483970254
rand.61	GCA_003104755	155	55	8593	200	95.4884	561	132	30.8343	88473	63	39481	44.6249138155143	100	87796	64	39865	45.4063966467721	1.2722675292724	53.3213358239555
rand.65	GCA_003112285	57	15	4374	36	85.7647	411	40	28.0791	30959	30	16919	54.6496979876611	100	30236	30	16919	55.9564757243022	2.19275036380474	41.8507739118931
rand.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
rand.39	GCA_003188925	336	134	8944	449	99.9330	687	119	32.1357	166550	167	85138	51.1185830081057	100	166550	168	85351	51.2464725307715	34.2803962773942	14.4731311918343
rand.59	GCA_003099235	384	90	8782	257	99.7161	730	114	19.8016	200585	133	77305	38.5397711693297	100	200295	133	77305	38.5955715319903	3.0130557427794	58.3913727252303
rand.11	GCA_003098095	1469	43	7417	117	82.5028	659	55	2.9281	584366	85	43140	7.38235968553954	100	583711	85	43140	7.39064365756342	67.7984482046766	24.81090813776
