sample	gca	fragment_num	mapped_fragment_num	mapped_ref_bases	BreakPoint	cov	snp	indel	signal_ratio	totalBases	adjust_mapped_fragment_num	adjust_mapped_ref_bases	adjust_signal_ratio	adjusted_cov	adjusted_total_bases	adjusted_mapped_fragment_num	adjusted_mapped_ref_bases	adjusted_signal_ratio	Annotated_ratio	Unnotated_ratio
rand.19	covid	11	1	29875	5	99.9064	18	0	88.1944	34060	1	30290	88.9312977099237	100	34060	1	30290	88.9312977099237	8.30593071051086	2.76277157956547
rand.20	covid	35	1	29866	2	99.8763	14	0	68.9014	43346	1	29887	68.9498454297974	99.9464936628432	43346	1	29887	68.9498454297974	25.2295482858857	5.8206062843169
rand.100	covid	332	4	29864	14	99.8696	12	0	12.9502	241015	4	31237	12.9606041117773	100	172618	4	31237	18.0960270655436	69.0078670822278	12.8961058522286
rand.79	covid	4	1	29865	4	99.8729	16	0	96.7838	30937	1	29964	96.8548986650289	100	30937	1	29964	96.8548986650289	3.14510133497107	3.10862446895044e-15
rand.8	covid	22	1	29855	2	99.8395	10	0	77.5173	38514	1	29881	77.5847743677624	99.9264287864094	38514	1	29881	77.5847743677624	15.570961208911	6.84426442332657
rand.26	covid	4	2	29832	6	99.7626	14	0	97.2374	30949	2	30221	97.6477430611651	100	30949	2	30221	97.6477430611651	1.21167081327345	1.14058612556141
rand.89	covid	11	1	29859	2	99.8529	12	0	87.3096	34199	1	29908	87.4528494985233	100	34199	1	29908	87.4528494985233	5.18143805374426	7.36571244773239
rand.87	covid	7	1	29853	6	99.8328	20	0	93.6001	32141	1	30085	93.6031859618556	100	32141	1	30085	93.6031859618556	4.30913786129865	2.08767617684577
rand.31	covid	9	1	29864	2	99.8696	22	0	91.6805	32574	1	29887	91.7510898262418	99.9464936628432	32574	1	29887	91.7510898262418	5.21581629520476	3.03309387855345
rand.23	covid	9	2	29871	10	99.8930	14	1	91.8040	33199	2	30494	91.8521642218139	100	33199	2	30494	91.8521642218139	4.86159221663303	3.28624356155306
rand.52	covid	33	1	29870	4	99.8896	12	0	70.5114	42474	1	29996	70.6220275933512	100	42474	1	29996	70.6220275933512	17.2505532796534	12.1274191269953
rand.90	covid	6	1	29872	4	99.8963	14	1	94.2846	31774	1	30017	94.4703216466293	100	31774	1	30017	94.4703216466293	4.47535721029773	1.05432114307296
rand.81	covid	3	1	29871	2	99.8930	10	0	97.4616	30649	1	29944	97.6997618193089	100	30649	1	29944	97.6997618193089	2.30023818069105	3.10862446895044e-15
rand.7	covid	1	1	29875	3	99.9064	11	0	99.9232	29959	1	29959	100	100	29959	1	29959	100	0	0
rand.18	covid	144	1	29858	2	99.8495	16	0	33.3058	89648	1	29880	33.3303587363912	99.9230846403371	89648	1	29880	33.3303587363912	45.2346956987328	21.434945564876
rand.45	covid	16	1	29873	4	99.8997	14	0	84.8968	35317	1	30005	84.9590848599825	100	35317	1	30005	84.9590848599825	11.6884220063992	3.35249313361836
