contig	length	gc	frequency	meanDepth	meanCov	S1_fre	S1_meanDepth	S1_meanCov	Specy
k49_20235	209	0.62200956937799	2	0.553374966990956	0.155076922000724	NA	NA	NA	0
k49_23007	378	0.634920634920635	2	0.706643089938285	0.176571204031158	NA	NA	NA	0
k49_20520	337	0.679525222551929	2	0.70576925491969	0.181340968742544	NA	NA	NA	0
k49_12095	257	0.653696498054475	2	0.584507690890669	0.172469374597034	NA	NA	NA	0
k49_13516	260	0.25	2	0.79000113870012	0.107760778441184	NA	NA	NA	0
k49_18719	216	0.625	2	0.312610368099	0.169155795266321	NA	NA	NA	0
k49_4035	641	0.634945397815913	2	1.18765998299199	0.181091877496671	NA	NA	NA	0
k49_3636	2546	0.638648860958366	3	1.25793553488087	0.180798035627984	NA	NA	NA	0
k49_17915	751	0.612516644474035	3	0.86048761042866	0.183649917628602	NA	NA	NA	0
k49_12321	321	0.654205607476635	2	0.538896759420135	0.155699898128596	NA	NA	NA	0
k49_24289	406	0.62807881773399	2	0.518807200657004	0.171897145171087	NA	NA	NA	0
k49_14656	211	0.611374407582938	2	0.497557753064362	0.167592564068335	NA	NA	NA	0
k49_11717	949	0.622760800842993	2	0.792044038567322	0.181058260479101	NA	NA	NA	0
k49_3799	725	0.677241379310345	2	0.896266883624818	0.169797814801956	NA	NA	NA	0
k49_4169	256	0.62109375	2	0.393956499686725	0.153773905779157	NA	NA	NA	0
k49_22672	239	0.556485355648536	2	0.344596996356527	0.146527592641962	NA	NA	NA	0
k49_16376	210	0.604761904761905	2	0.352764153722035	0.135468138003706	NA	NA	NA	0
k49_16847	241	0.643153526970954	2	0.430772512603385	0.157953431604187	NA	NA	NA	0
k49_1252	372	0.338709677419355	2	0.944206488365505	0.129598860669357	NA	NA	NA	0
k49_12199	248	0.57258064516129	2	0.696037619488128	0.175559947299078	NA	NA	NA	0
k49_14575	438	0.694063926940639	2	1.17219457189517	0.17748440235046	NA	NA	NA	0
k49_15705	235	0.353191489361702	1	0.564748201438849	0.0909090909090909	NA	NA	NA	0
k49_158	258	0.596899224806202	2	0.760478468899522	0.173987240829346	NA	NA	NA	0
k49_3972	542	0.409594095940959	5	1.50687960770514	0.260521905723094	NA	NA	NA	0
k49_15974	1722	0.629500580720093	3	1.07312954452529	0.18610525248626	NA	NA	NA	0
k49_22272	249	0.650602409638554	2	0.532038799547825	0.163767640301936	NA	NA	NA	0
k49_2616	524	0.662213740458015	2	0.662176805367105	0.169297923262476	NA	NA	NA	0
k49_14256	529	0.625708884688091	2	0.770400054490964	0.176962683780866	NA	NA	NA	0
k49_12819	218	0.522935779816514	2	0.461092365404745	0.176425269645609	NA	NA	NA	0
k49_5284	259	0.617760617760618	2	0.560519874513048	0.174588558712747	NA	NA	NA	0
k49_11083	274	0.642335766423358	2	0.587954701307607	0.174641148325359	NA	NA	NA	0
k49_7402	252	0.626984126984127	2	0.341558441558442	0.134315684315684	NA	NA	NA	0
k49_18188	297	0.69023569023569	2	1.13255646742359	0.177182590780324	NA	NA	NA	0
k49_11929	323	0.606811145510836	2	0.342538787153627	0.149519938596263	NA	NA	NA	0
k49_9964	1095	0.646575342465753	3	0.994366079332267	0.183785659621688	NA	NA	NA	0
k49_16014	721	0.643550624133148	2	0.734675958027658	0.175679188124562	NA	NA	NA	0
k49_6066	215	0.66046511627907	2	0.491409775412504	0.165438693796573	NA	NA	NA	0
k49_967	965	0.580310880829015	2	0.845994549654145	0.179447419098983	NA	NA	NA	0
k49_18515	328	0.615853658536585	2	1.01485556068297	0.177004768497154	NA	NA	NA	0
k49_14404	302	0.642384105960265	2	0.713548521321025	0.174085746428516	NA	NA	NA	0
k49_19497	374	0.633689839572192	2	0.793956379721933	0.179915412774228	NA	NA	NA	0
k49_8710	206	0.660194174757282	2	0.378509054141005	0.143845941722585	NA	NA	NA	0
k49_12364	300	0.633333333333333	2	0.424431775147521	0.17481564107331	NA	NA	NA	0
k49_10045	1405	0.58576512455516	2	1.12150456619245	0.179840917834619	NA	NA	NA	0
k49_12782	246	0.58130081300813	2	0.521603551343328	0.174745947980149	NA	NA	NA	0
k49_23219	915	0.510382513661202	3	0.912514720890136	0.185174405204581	NA	NA	NA	0
k49_6026	360	0.641666666666667	2	0.902232043141134	0.181818181818182	NA	NA	NA	0
k49_22711	211	0.587677725118483	2	0.523221790256122	0.161303404470849	NA	NA	NA	0
k49_11760	221	0.615384615384615	2	0.565397777736372	0.161809734980467	NA	NA	NA	0
k49_23619	243	0.534979423868313	2	0.265689095823321	0.124218963652744	NA	NA	NA	0
k49_6341	212	0.617924528301887	3	0.300379417094534	0.173350196315313	NA	NA	NA	0
k49_13330	275	0.632727272727273	2	0.447748503370692	0.170872605655214	NA	NA	NA	0
k49_11425	635	0.645669291338583	2	0.631328962299836	0.173307275249023	NA	NA	NA	0
k49_15509	731	0.645690834473324	2	0.821238115573521	0.180603114989506	NA	NA	NA	0
k49_5011	210	0.614285714285714	2	0.799043397404053	0.173303017565313	NA	NA	NA	0
k49_32	400	0.6175	2	0.477676701179005	0.173858399664851	NA	NA	NA	0
k49_19480	375	0.648	2	0.624341394631123	0.164851677441669	NA	NA	NA	0
k49_810	243	0.584362139917695	2	0.521236015462995	0.176360052226005	NA	NA	NA	0
k49_20965	227	0.255506607929515	1	1.13017215342796	0.0909090909090909	NA	NA	NA	0
k49_13178	356	0.648876404494382	2	0.665885434697316	0.175019040365575	NA	NA	NA	0
k49_8657	262	0.66030534351145	2	0.511272261583188	0.163097686217045	NA	NA	NA	0
k49_14779	455	0.452747252747253	3	0.841970900058637	0.179485867043497	NA	NA	NA	0
k49_17784	257	0.727626459143969	2	0.530877890645783	0.178916827852998	NA	NA	NA	0
k49_16820	457	0.520787746170678	4	1.47714592061654	0.245452752092853	NA	NA	NA	0
k49_11591	825	0.644848484848485	2	0.902514557123108	0.178368956409757	NA	NA	NA	0
k49_14802	205	0.321951219512195	1	0.495034377387318	0.0909090909090909	NA	NA	NA	0
k49_21588	236	0.453389830508475	2	0.524814173485684	0.110308101939901	NA	NA	NA	0
k49_1025	462	0.640692640692641	2	0.654137460712803	0.181471861471861	NA	NA	NA	0
k49_14213	471	0.632696390658174	2	0.765125363863609	0.18062498289292	NA	NA	NA	0
k49_12201	233	0.566523605150215	3	1.22819316277907	0.204303206940816	NA	NA	NA	0
k49_5925	246	0.638211382113821	2	0.518836526465367	0.176029962546816	NA	NA	NA	0
k49_21115	509	0.616895874263261	3	0.917341452555702	0.188865519433543	NA	NA	NA	0
k49_22348	233	0.639484978540773	2	0.449049669131286	0.170457061839808	NA	NA	NA	0
k49_20547	341	0.671554252199413	2	0.667583246010146	0.177090793497627	NA	NA	NA	0
