fragment	annotation	frquency	length	status
rand.1.k141_4069	Paracidovorax avenae	17	310	Annotated
rand.1.k141_7697	Serratia marcescens	6	451	Annotated
rand.1.k141_1347	Citrobacter freundii	24	429	Annotated
rand.1.k141_7197	Pseudomonas aeruginosa	7	323	Annotated
rand.1.k141_8804	Eurosta solidaginis	7	269	Annotated
rand.1.k141_5430	Stenotrophomonas maltophilia	1	393	Annotated
rand.1.k141_5824	Variovorax paradoxus	8	304	Annotated
rand.1.k141_1522	Cupriavidus taiwanensis	9	406	Annotated
rand.1.k141_6774	Methylorubrum extorquens	1	367	Annotated
rand.1.k141_5153	Variovorax paradoxus	9	383	Annotated
rand.1.k141_3824	Stenotrophomonas maltophilia	11	301	Annotated
rand.1.k141_5181	Paracidovorax avenae	15	328	Annotated
rand.1.k141_3836	Burkholderia vietnamiensis	18	308	Annotated
rand.1.k141_3139	Delftia acidovorans	6	397	Annotated
rand.1.k141_6331	Achromobacter xylosoxidans	31	317	Annotated
rand.1.k141_1760	Paracidovorax avenae	14	365	Annotated
rand.1.k141_4971	Paracidovorax avenae	17	402	Annotated
rand.1.k141_1448	Burkholderia multivorans	6	436	Annotated
rand.1.k141_3752	Staphylococcus aureus	1	309	Annotated
rand.1.k141_5425	Xanthomonas oryzae pv. oryzae	45	313	Annotated
rand.1.k141_8700	Burkholderia multivorans	4	336	Annotated
rand.1.k141_5140	Streptococcus thermophilus	58	374	Annotated
rand.1.k141_6315	Pseudomonas aeruginosa	69	388	Annotated
rand.1.k141_8447	Stenotrophomonas maltophilia	2	510	Annotated
rand.1.k141_5409	Stenotrophomonas maltophilia	2	627	Annotated
rand.1.k141_2387	uncultured Solirubrobacteraceae bacterium	4	335	Annotated
rand.1.k141_3291	Stenotrophomonas maltophilia	17	447	Annotated
rand.1.k141_1719	Achromobacter xylosoxidans	7	312	Annotated
rand.1.k141_1437	Ralstonia insidiosa	2	339	Annotated
rand.1.k141_5119	Burkholderia pseudomallei	39	373	Annotated
rand.1.k141_7624	Stenotrophomonas maltophilia	6	345	Annotated
rand.1.k141_2160	Salvia miltiorrhiza	13	456	Annotated
rand.1.k141_3056	Ralstonia solanacearum	3	417	Annotated
rand.1.k141_758	Janthinobacterium lividum	3	325	Annotated
rand.1.k141_6855	Uranotaenia lowii	6	1418	Annotated
rand.1.k141_2843	Rhizobium leguminosarum	4	307	Annotated
rand.1.k141_1226	Stenotrophomonas maltophilia	59	390	Annotated
rand.1.k141_1687	Achromobacter xylosoxidans	7	512	Annotated
rand.1.k141_6474	Stenotrophomonas maltophilia	31	1051	Annotated
rand.1.k141_8055	Xanthomonas arboricola	11	351	Annotated
rand.1.k141_4908	Ralstonia solanacearum	3	422	Annotated
rand.1.k141_1031	Stenotrophomonas maltophilia	5	534	Annotated
rand.1.k141_4649	Pseudomonas aeruginosa	35	692	Annotated
rand.1.k141_6830	Variovorax paradoxus	4	453	Annotated
rand.1.k141_1877	Stenotrophomonas maltophilia	20	492	Annotated
rand.1.k141_724	Paracidovorax avenae	8	397	Annotated
rand.1.k141_327	Hypoxylon fragiforme	2	308	Annotated
rand.1.k141_5518	Rhodococcus ruber	5	564	Annotated
rand.1.k141_6427	Burkholderia multivorans	5	343	Annotated
rand.1.k141_8206	Stenotrophomonas maltophilia	58	504	Annotated
rand.1.k141_2083	Burkholderia pseudomallei	54	313	Annotated
rand.1.k141_4104	Bordetella hinzii	11	329	Annotated
