contig	length	gc	case.fre	case.mean.depth	case.mean.cov	control.fre	control.mean.depth	control.mean.cov	annotation	human
k141_1970	612	0.413398692810457	1	5.91023622047244	1	70	0.0422390392844766	0.0233619115162313	N	N
k141_8288	465	0.372043010752688	1	6.94583333333333	1	3	0.000802710361533892	0.0005113350701586	N	N
k141_11197	416	0.447115384615385	1	7.59725400457666	1	9	0.0027714490032984	0.00225724596023757	N	N
k141_16894	418	0.502392344497608	1	8.41647597254005	1	1	0.000640204865556979	0.00048329190831262	N	N
k141_14692	438	0.536529680365297	1	4.44766146993318	1	1	0.00023342670401494	0.00023342670401494	N	N
k141_8133	380	0.268421052631579	1	6.36591478696742	1	1	0.000178020413007358	0.000178020413007358	N	N
k141_15635	352	0.485795454545455	1	5.84297520661157	1	1	0.00026361376817052	0.00026361376817052	N	N
k141_24837	665	0.473684210526316	1	8.89571428571429	1	18	0.00483151898642304	0.00358440478465925	N	N
k141_21691	482	0.535269709543568	1	6.74900398406374	1	6	0.00412189800666924	0.00176279037336594	N	N
k141_7235	504	0.450396825396825	1	15.2206148282098	1	5	0.002023936829843	0.00129527886136603	N	N
k141_2401	899	0.479421579532814	1	85.4404865334492	0.993049522154648	42	0.0205038728198013	0.0107657292859439	N	N
k141_7875	383	0.522193211488251	1	2.35897435897436	1	1	0.000266686985675099	0.000266686985675099	N	N
k141_20191	3368	0.439726840855107	1	62.6824552924118	1	24	0.00253071574349105	0.00209588610619566	N	N
k141_12205	1130	0.483185840707965	1	15.8899835796388	1	2	0.000269895547987111	0.000269895547987111	N	N
k141_13248	698	0.494269340974212	1	2861.57242757243	1	2	0.000594582288759091	0.000301485752214681	N	N
k141_25108	557	0.533213644524237	1	4.3080985915493	1	1	0.000367647058823529	0.000183823529411765	N	N
k141_27260	373	0.67828418230563	1	7.61224489795918	1	3	0.00182081108644254	0.00128105157625042	N	N
k141_26811	469	0.50319829424307	1	5.97154471544715	1	0	0	0	N	N
k141_9617	333	0.465465465465465	1	7.37570621468927	1	0	0	0	N	N
k141_10658	311	0.469453376205788	1	2.86206896551724	0.990595611285266	0	0	0	N	N
k141_27038	301	0.667774086378738	1	7.94339622641509	0.990566037735849	0	0	0	N	N
